2	3	4	5
Diamond	DarkGray	Background	Hat
Diamond	DarkGray	Background	Hat
Diamond	DarkGray	Background	Hat
Diamond	DarkGray	Background	Hat
Diamond	DarkGray	Background	Hat
Diamond_Choice	DarkGray_Choice	Background	Hat_Choice
DarkTurquiose	Background	Hat	Tie
DarkTurquiose	Background	Hat	Tie
DarkTurquiose	Background	Hat	Tie
DarkTurquiose	Background	Hat	Tie
DarkTurquiose	Background	Hat	Tie
DarkTurquiose_Choice	Background	Hat_Choice	Tie_Choice
Spike	Ditto	DarkBlue	Background
Spike	Ditto	DarkBlue	Background
Spike	Ditto	DarkBlue	Background
Spike	Ditto	DarkBlue	Background
Spike	Ditto	DarkBlue	Background
Spike_Choice	Ditto_Choice	DarkBlue_Choice	Background
Background	Spike	Tie	DarkGreen
Background	Spike	Tie	DarkGreen
Background	Spike	Tie	DarkGreen
Background	Spike	Tie	DarkGreen
Background	Spike	Tie	DarkGreen
Background	Spike_Choice	Tie_Choice	DarkGreen_Choice
Stickyhand	DarkRed	Background	Bar
Stickyhand	DarkRed	Background	Bar
Stickyhand	DarkRed	Background	Bar
Stickyhand	DarkRed	Background	Bar
Stickyhand	DarkRed	Background	Bar
Stickyhand_Choice	DarkRed_Choice	Background	Bar_Choice
DarkGray	Background	Dodecagon	Ditto
DarkGray	Background	Dodecagon	Ditto
DarkGray	Background	Dodecagon	Ditto
DarkGray	Background	Dodecagon	Ditto
DarkGray	Background	Dodecagon	Ditto
DarkGray_Choice	Background	Dodecagon_Choice	Ditto_Choice
Bar	Diamond	DarkGray	Background
Bar	Diamond	DarkGray	Background
Bar	Diamond	DarkGray	Background
Bar	Diamond	DarkGray	Background
Bar	Diamond	DarkGray	Background
Bar_Choice	Diamond_Choice	DarkGray_Choice	Background
Background	Puzzle	House	DarkBlue
Background	Puzzle	House	DarkBlue
Background	Puzzle	House	DarkBlue
Background	Puzzle	House	DarkBlue
Background	Puzzle	House	DarkBlue
Background	Puzzle_Choice	House_Choice	DarkBlue_Choice
Star	DarkBlue	Background	Dodecagon
Star	DarkBlue	Background	Dodecagon
Star	DarkBlue	Background	Dodecagon
Star	DarkBlue	Background	Dodecagon
Star	DarkBlue	Background	Dodecagon
Star_Choice	DarkBlue_Choice	Background	Dodecagon_Choice
DarkRed	Background	Bar	Stickyhand
DarkRed	Background	Bar	Stickyhand
DarkRed	Background	Bar	Stickyhand
DarkRed	Background	Bar	Stickyhand
DarkRed	Background	Bar	Stickyhand
DarkRed_Choice	Background	Bar_Choice	Stickyhand_Choice
Hat	Stickyhand	DarkGreen	Background
Hat	Stickyhand	DarkGreen	Background
Hat	Stickyhand	DarkGreen	Background
Hat	Stickyhand	DarkGreen	Background
Hat	Stickyhand	DarkGreen	Background
Hat_Choice	Stickyhand_Choice	DarkGreen_Choice	Background
Background	Bar	Stickyhand	DarkPurple
Background	Bar	Stickyhand	DarkPurple
Background	Bar	Stickyhand	DarkPurple
Background	Bar	Stickyhand	DarkPurple
Background	Bar	Stickyhand	DarkPurple
Background	Bar_Choice	Stickyhand_Choice	DarkPurple_Choice
Ditto	DarkYellow	Background	Puzzle
Ditto	DarkYellow	Background	Puzzle
