2	 3	 4	 5	 6	 7	 9	11	12	13	14
Diamond	DarkGray	Background	Hat	Diamond	DarkGray	Hat	Background	Star	DarkPurple	Background
Diamond	DarkGray	Background	Hat	Diamond	DarkGray	Hat	Background	Star	DarkPurple	Background
Diamond	DarkGray	Background	Hat	Diamond	DarkGray	Hat	Background	Star	DarkPurple	Background
Diamond	DarkGray	Background	Hat	Diamond	DarkGray	Hat	Background	Star	DarkPurple	Background
Diamond	DarkGray	Background	Hat	Diamond	DarkGray	Hat	Background	Star	DarkPurple	Background
Diamond_Choice	DarkGray_Choice	Background	Hat_Choice	Diamond_Choice	DarkGray_Choice	Hat_Choice	Background	Star_Choice	DarkPurple_Choice	Background
DarkTurquiose	Background	Hat	Tie	DarkPurple	Background	Stickyhand	Hat	DarkRed	Background	Nail
DarkTurquiose	Background	Hat	Tie	DarkPurple	Background	Stickyhand	Hat	DarkRed	Background	Nail
DarkTurquiose	Background	Hat	Tie	DarkPurple	Background	Stickyhand	Hat	DarkRed	Background	Nail
DarkTurquiose	Background	Hat	Tie	DarkPurple	Background	Stickyhand	Hat	DarkRed	Background	Nail
DarkTurquiose	Background	Hat	Tie	DarkPurple	Background	Stickyhand	Hat	DarkRed	Background	Nail
DarkTurquiose_Choice	Background	Hat_Choice	Tie_Choice	DarkPurple_Choice	Background	Stickyhand_Choice	Hat_Choice	DarkRed_Choice	Background	Nail_Choice
Spike	Ditto	DarkBlue	Background	UpArrow	Diamond	Background	DarkGreen	Hat	Stickyhand	DarkBlue
Spike	Ditto	DarkBlue	Background	UpArrow	Diamond	Background	DarkGreen	Hat	Stickyhand	DarkBlue
Spike	Ditto	DarkBlue	Background	UpArrow	Diamond	Background	DarkGreen	Hat	Stickyhand	DarkBlue
Spike	Ditto	DarkBlue	Background	UpArrow	Diamond	Background	DarkGreen	Hat	Stickyhand	DarkBlue
Spike	Ditto	DarkBlue	Background	UpArrow	Diamond	Background	DarkGreen	Hat	Stickyhand	DarkBlue
Spike_Choice	Ditto_Choice	DarkBlue_Choice	Background	UpArrow_Choice	Diamond_Choice	Background	DarkGreen_Choice	Hat_Choice	Stickyhand_Choice	DarkBlue_Choice
Background	Spike	Tie	DarkGreen	Background	Puzzle	DarkBlue	House	Background	Spike	Ditto
Background	Spike	Tie	DarkGreen	Background	Puzzle	DarkBlue	House	Background	Spike	Ditto
Background	Spike	Tie	DarkGreen	Background	Puzzle	DarkBlue	House	Background	Spike	Ditto
Background	Spike	Tie	DarkGreen	Background	Puzzle	DarkBlue	House	Background	Spike	Ditto
Background	Spike	Tie	DarkGreen	Background	Puzzle	DarkBlue	House	Background	Spike	Ditto
Background	Spike_Choice	Tie_Choice	DarkGreen_Choice	Background	Puzzle_Choice	DarkBlue_Choice	House_Choice	Background	Spike_Choice	Ditto_Choice
Stickyhand	DarkRed	Background	Bar	Stickyhand	DarkPurple	Dodecagon	Background	Stickyhand	DarkGray	Background
Stickyhand	DarkRed	Background	Bar	Stickyhand	DarkPurple	Dodecagon	Background	Stickyhand	DarkGray	Background
Stickyhand	DarkRed	Background	Bar	Stickyhand	DarkPurple	Dodecagon	Background	Stickyhand	DarkGray	Background
Stickyhand	DarkRed	Background	Bar	Stickyhand	DarkPurple	Dodecagon	Background	Stickyhand	DarkGray	Background
Stickyhand	DarkRed	Background	Bar	Stickyhand	DarkPurple	Dodecagon	Background	Stickyhand	DarkGray	Background
Stickyhand_Choice	DarkRed_Choice	Background	Bar_Choice	Stickyhand_Choice	DarkPurple_Choice	Dodecagon_Choice	Background	Stickyhand_Choice	DarkGray_Choice	Background
DarkGray	Background	Dodecagon	Ditto	DarkTurquiose	Background	Diamond	Puzzle	DarkBlue	Background	UpArrow
DarkGray	Background	Dodecagon	Ditto	DarkTurquiose	Background	Diamond	Puzzle	DarkBlue	Background	UpArrow
DarkGray	Background	Dodecagon	Ditto	DarkTurquiose	Background	Diamond	Puzzle	DarkBlue	Background	UpArrow
DarkGray	Background	Dodecagon	Ditto	DarkTurquiose	Background	Diamond	Puzzle	DarkBlue	Background	UpArrow
DarkGray	Background	Dodecagon	Ditto	DarkTurquiose	Background	Diamond	Puzzle	DarkBlue	Background	UpArrow
