4	 5	 6	 7	 8	10	11	12
Jellyfish	LightTurquiose	Background	Sawblade	Star	Background	Hat	LeftArrow
Jellyfish	LightTurquiose	Background	Sawblade	Star	Background	Hat	LeftArrow
Jellyfish	LightTurquiose	Background	Sawblade	Star	Background	Hat	LeftArrow
Jellyfish	LightTurquiose	Background	Sawblade	Star	Background	Hat	LeftArrow
Jellyfish	LightTurquiose	Background	Sawblade	Star	Background	Hat	LeftArrow
Jellyfish_Choice	LightTurquiose_Choice	Background	Sawblade_Choice	Star_Choice	Background	Hat_Choice	LeftArrow_Choice
DarkTurquiose	Background	Nail	Ditto	LightGray	Spike	Acorn	LightBlue
DarkTurquiose	Background	Nail	Ditto	LightGray	Spike	Acorn	LightBlue
DarkTurquiose	Background	Nail	Ditto	LightGray	Spike	Acorn	LightBlue
DarkTurquiose	Background	Nail	Ditto	LightGray	Spike	Acorn	LightBlue
DarkTurquiose	Background	Nail	Ditto	LightGray	Spike	Acorn	LightBlue
DarkTurquiose_Choice	Background	Nail_Choice	Ditto_Choice	LightGray_Choice	Spike_Choice	Acorn_Choice	LightBlue_Choice
Dodecagon	Heart	DarkYellow	Background	Diamond	LightYellow	Background	Puzzle
Dodecagon	Heart	DarkYellow	Background	Diamond	LightYellow	Background	Puzzle
Dodecagon	Heart	DarkYellow	Background	Diamond	LightYellow	Background	Puzzle
Dodecagon	Heart	DarkYellow	Background	Diamond	LightYellow	Background	Puzzle
Dodecagon	Heart	DarkYellow	Background	Diamond	LightYellow	Background	Puzzle
Dodecagon_Choice	Heart_Choice	DarkYellow_Choice	Background	Diamond_Choice	LightYellow_Choice	Background	Puzzle_Choice
Background	Nail	Bell	LightBlue	Background	Bell	DarkGray	Background
Background	Nail	Bell	LightBlue	Background	Bell	DarkGray	Background
Background	Nail	Bell	LightBlue	Background	Bell	DarkGray	Background
Background	Nail	Bell	LightBlue	Background	Bell	DarkGray	Background
Background	Nail	Bell	LightBlue	Background	Bell	DarkGray	Background
Background	Nail_Choice	Bell_Choice	LightBlue_Choice	Background	Bell_Choice	DarkGray_Choice	Background
Heart	DarkYellow	Background	Dodecagon	Bell	Background	Venn	Tie
Heart	DarkYellow	Background	Dodecagon	Bell	Background	Venn	Tie
Heart	DarkYellow	Background	Dodecagon	Bell	Background	Venn	Tie
Heart	DarkYellow	Background	Dodecagon	Bell	Background	Venn	Tie
Heart	DarkYellow	Background	Dodecagon	Bell	Background	Venn	Tie
Heart_Choice	DarkYellow_Choice	Background	Dodecagon_Choice	Bell_Choice	Background	Venn_Choice	Tie_Choice
DarkYellow	Background	Sawblade	Stickyhand	DarkGreen	Nail	Bell	DarkPurple
DarkYellow	Background	Sawblade	Stickyhand	DarkGreen	Nail	Bell	DarkPurple
DarkYellow	Background	Sawblade	Stickyhand	DarkGreen	Nail	Bell	DarkPurple
DarkYellow	Background	Sawblade	Stickyhand	DarkGreen	Nail	Bell	DarkPurple
DarkYellow	Background	Sawblade	Stickyhand	DarkGreen	Nail	Bell	DarkPurple
DarkYellow_Choice	Background	Sawblade_Choice	Stickyhand_Choice	DarkGreen_Choice	Nail_Choice	Bell_Choice	DarkPurple_Choice
Diamond	Chevron	DarkTurquiose	Background	UpArrow	LightBlue	Background	Hat
Diamond	Chevron	DarkTurquiose	Background	UpArrow	LightBlue	Background	Hat
Diamond	Chevron	DarkTurquiose	Background	UpArrow	LightBlue	Background	Hat
Diamond	Chevron	DarkTurquiose	Background	UpArrow	LightBlue	Background	Hat
Diamond	Chevron	DarkTurquiose	Background	UpArrow	LightBlue	Background	Hat
Diamond_Choice	Chevron_Choice	DarkTurquiose_Choice	Background	UpArrow_Choice	LightBlue_Choice	Background	Hat_Choice
Background	Diamond	Gem	DarkTurquiose	Background	Jellyfish	DarkPurple	Background
Background	Diamond	Gem	DarkTurquiose	Background	Jellyfish	DarkPurple	Background
Background	Diamond	Gem	DarkTurquiose	Background	Jellyfish	DarkPurple	Background
Background	Diamond	Gem	DarkTurquiose	Background	Jellyfish	DarkPurple	Background
Background	Diamond	Gem	DarkTurquiose	Background	Jellyfish	DarkPurple	Background
Background	Diamond_Choice	Gem_Choice	DarkTurquiose_Choice	Background	Jellyfish_Choice	DarkPurple_Choice	Background
Crowbar	LightRed	Background	Rabbit	Gem	Background	Puzzle	Acorn
Crowbar	LightRed	Background	Rabbit	Gem	Background	Puzzle	Acorn
Crowbar	LightRed	Background	Rabbit	Gem	Background	Puzzle	Acorn
