2	 6	 8	10	11	12	13
Chevron	LightTurquiose	Background	Puzzle	Gem	LightBlue	Background
Chevron	LightTurquiose	Background	Puzzle	Gem	LightBlue	Background
Chevron	LightTurquiose	Background	Puzzle	Gem	LightBlue	Background
Chevron	LightTurquiose	Background	Puzzle	Gem	LightBlue	Background
Chevron	LightTurquiose	Background	Puzzle	Gem	LightBlue	Background
Chevron_Choice	LightTurquiose_Choice	Background	Puzzle_Choice	Gem_Choice	LightBlue_Choice	Background
DarkGreen	Background	Hourglass	Stickyhand	LightGreen	Background	Venn
DarkGreen	Background	Hourglass	Stickyhand	LightGreen	Background	Venn
DarkGreen	Background	Hourglass	Stickyhand	LightGreen	Background	Venn
DarkGreen	Background	Hourglass	Stickyhand	LightGreen	Background	Venn
DarkGreen	Background	Hourglass	Stickyhand	LightGreen	Background	Venn
DarkGreen_Choice	Background	Hourglass_Choice	Stickyhand_Choice	LightGreen_Choice	Background	Venn_Choice
Rabbit	Heart	LightGray	Background	Spike	Chevron	DarkPurple
Rabbit	Heart	LightGray	Background	Spike	Chevron	DarkPurple
Rabbit	Heart	LightGray	Background	Spike	Chevron	DarkPurple
Rabbit	Heart	LightGray	Background	Spike	Chevron	DarkPurple
Rabbit	Heart	LightGray	Background	Spike	Chevron	DarkPurple
Rabbit_Choice	Heart_Choice	LightGray_Choice	Background	Spike_Choice	Chevron_Choice	DarkPurple_Choice
Background	Dodecagon	Bell	LightGreen	Background	Diamond	Jellyfish
Background	Dodecagon	Bell	LightGreen	Background	Diamond	Jellyfish
Background	Dodecagon	Bell	LightGreen	Background	Diamond	Jellyfish
Background	Dodecagon	Bell	LightGreen	Background	Diamond	Jellyfish
Background	Dodecagon	Bell	LightGreen	Background	Diamond	Jellyfish
Background	Dodecagon_Choice	Bell_Choice	LightGreen_Choice	Background	Diamond_Choice	Jellyfish_Choice
Pacman	LightGreen	Background	Spike	Star	LightGray	Background
Pacman	LightGreen	Background	Spike	Star	LightGray	Background
Pacman	LightGreen	Background	Spike	Star	LightGray	Background
Pacman	LightGreen	Background	Spike	Star	LightGray	Background
Pacman	LightGreen	Background	Spike	Star	LightGray	Background
Pacman_Choice	LightGreen_Choice	Background	Spike_Choice	Star_Choice	LightGray_Choice	Background
DarkBlue	Background	Rabbit	House	DarkPurple	Background	Diamond
DarkBlue	Background	Rabbit	House	DarkPurple	Background	Diamond
DarkBlue	Background	Rabbit	House	DarkPurple	Background	Diamond
DarkBlue	Background	Rabbit	House	DarkPurple	Background	Diamond
DarkBlue	Background	Rabbit	House	DarkPurple	Background	Diamond
DarkBlue_Choice	Background	Rabbit_Choice	House_Choice	DarkPurple_Choice	Background	Diamond_Choice
UpArrow	LeftArrow	DarkRed	Background	Hat	Pacman	DarkGreen
UpArrow	LeftArrow	DarkRed	Background	Hat	Pacman	DarkGreen
UpArrow	LeftArrow	DarkRed	Background	Hat	Pacman	DarkGreen
UpArrow	LeftArrow	DarkRed	Background	Hat	Pacman	DarkGreen
UpArrow	LeftArrow	DarkRed	Background	Hat	Pacman	DarkGreen
UpArrow_Choice	LeftArrow_Choice	DarkRed_Choice	Background	Hat_Choice	Pacman_Choice	DarkGreen_Choice
Background	Rabbit	House	DarkYellow	Background	Spade	Crowbar
Background	Rabbit	House	DarkYellow	Background	Spade	Crowbar
Background	Rabbit	House	DarkYellow	Background	Spade	Crowbar
Background	Rabbit	House	DarkYellow	Background	Spade	Crowbar
Background	Rabbit	House	DarkYellow	Background	Spade	Crowbar
Background	Rabbit_Choice	House_Choice	DarkYellow_Choice	Background	Spade_Choice	Crowbar_Choice
Tie	DarkYellow	Background	Bar	Crowbar	DarkGray	Background
Tie	DarkYellow	Background	Bar	Crowbar	DarkGray	Background
Tie	DarkYellow	Background	Bar	Crowbar	DarkGray	Background
Tie	DarkYellow	Background	Bar	Crowbar	DarkGray	Background
Tie	DarkYellow	Background	Bar	Crowbar	DarkGray	Background
Tie_Choice	DarkYellow_Choice	Background	Bar_Choice	Crowbar_Choice	DarkGray_Choice	Background
DarkPurple	Background	Sawblade	LeftArrow	DarkTurquiose	Background	Hourglass
DarkPurple	Background	Sawblade	LeftArrow	DarkTurquiose	Background	Hourglass
DarkPurple	Background	Sawblade	LeftArrow	DarkTurquiose	Background	Hourglass
DarkPurple	Background	Sawblade	LeftArrow	DarkTurquiose	Background	Hourglass
DarkPurple	Background	Sawblade	LeftArrow	DarkTurquiose	Background	Hourglass
DarkPurple_Choice	Background	Sawblade_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Background	Hourglass_Choice
Dodecagon	Star	DarkTurquiose	Background	UpArrow	Star	DarkYellow
Dodecagon	Star	DarkTurquiose	Background	UpArrow	Star	DarkYellow
Dodecagon	Star	DarkTurquiose	Background	UpArrow	Star	DarkYellow
Dodecagon	Star	DarkTurquiose	Background	UpArrow	Star	DarkYellow
Dodecagon	Star	DarkTurquiose	Background	UpArrow	Star	DarkYellow
Dodecagon_Choice	Star_Choice	DarkTurquiose_Choice	Background	UpArrow_Choice	Star_Choice	DarkYellow_Choice
Background	Bar	Acorn	DarkRed	Background	Rabbit	House
Background	Bar	Acorn	DarkRed	Background	Rabbit	House
Background	Bar	Acorn	DarkRed	Background	Rabbit	House
Background	Bar	Acorn	DarkRed	Background	Rabbit	House
