5	6	8
Crowbar	LightGray	Venn
Crowbar	LightGray	Venn
Crowbar	LightGray	Venn
Crowbar	LightGray	Venn
Crowbar	LightGray	Venn
Background	Background	Background
Background	Background	Background
Crowbar_Choice	LightGray_Choice	Venn_Choice
LightGray	Background	LeftArrow
LightGray	Background	LeftArrow
LightGray	Background	LeftArrow
LightGray	Background	LeftArrow
LightGray	Background	LeftArrow
Background	Background	Background
Background	Background	Background
LightGray_Choice	Background	LeftArrow_Choice
Hat	Stickyhand	Background
Hat	Stickyhand	Background
Hat	Stickyhand	Background
Hat	Stickyhand	Background
Hat	Stickyhand	Background
Background	Background	Background
Background	Background	Background
Hat_Choice	Stickyhand_Choice	Background
Background	Sawblade	DarkGreen
Background	Sawblade	DarkGreen
Background	Sawblade	DarkGreen
Background	Sawblade	DarkGreen
Background	Sawblade	DarkGreen
Background	Background	Background
Background	Background	Background
Background	Sawblade_Choice	DarkGreen_Choice
Heart	DarkYellow	Spade
Heart	DarkYellow	Spade
Heart	DarkYellow	Spade
Heart	DarkYellow	Spade
Heart	DarkYellow	Spade
Background	Background	Background
Background	Background	Background
Heart_Choice	DarkYellow_Choice	Spade_Choice
DarkGreen	Background	Bell
DarkGreen	Background	Bell
DarkGreen	Background	Bell
DarkGreen	Background	Bell
DarkGreen	Background	Bell
Background	Background	Background
Background	Background	Background
DarkGreen_Choice	Background	Bell_Choice
Puzzle	Crowbar	Background
Puzzle	Crowbar	Background
Puzzle	Crowbar	Background
Puzzle	Crowbar	Background
Puzzle	Crowbar	Background
Background	Background	Background
Background	Background	Background
Puzzle_Choice	Crowbar_Choice	Background
Background	Hourglass	LightRed
Background	Hourglass	LightRed
Background	Hourglass	LightRed
Background	Hourglass	LightRed
Background	Hourglass	LightRed
Background	Background	Background
Background	Background	Background
Background	Hourglass_Choice	LightRed_Choice
Jellyfish	DarkGray	Lock
Jellyfish	DarkGray	Lock
Jellyfish	DarkGray	Lock
Jellyfish	DarkGray	Lock
Jellyfish	DarkGray	Lock
Background	Background	Background
Background	Background	Background
Jellyfish_Choice	DarkGray_Choice	Lock_Choice
LightBlue	Background	Gem
LightBlue	Background	Gem
LightBlue	Background	Gem
LightBlue	Background	Gem
LightBlue	Background	Gem
Background	Background	Background
Background	Background	Background
LightBlue_Choice	Background	Gem_Choice
Sawblade	Acorn	Background
Sawblade	Acorn	Background
Sawblade	Acorn	Background
Sawblade	Acorn	Background
Sawblade	Acorn	Background
Background	Background	Background
Background	Background	Background
Sawblade_Choice	Acorn_Choice	Background
Background	Diamond	DarkTurquiose
Background	Diamond	DarkTurquiose
Background	Diamond	DarkTurquiose
Background	Diamond	DarkTurquiose
Background	Diamond	DarkTurquiose
