IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA26	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Hat	UpArrow	Gem	DarkGray	Acorn	LightGreen	DarkGreen	Puzzle_Probe	Dodecagon_Probe	Venn	LeftArrow_Probe	Pacman	Acorn	DarkRed	Spade	Sawblade	Stickyhand	DarkBlue	Stickyhand	Jellyfish	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Puzzle_Choice	Dodecagon_Choice	Background	LeftArrow_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	LightGray_Choice
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Chevron	LightBlue	Diamond	House	DarkBlue	Diamond	Spike_Probe	Star	DarkPurple	DarkGray	LightYellow	Nail_Probe	Puzzle_Probe	Hat	Stickyhand_Probe	LightGreen	Spade	Star	LightRed_Probe	DarkPurple	Diamond
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Spike_Choice	Background	Background	Background	Background	Nail_Choice	Puzzle_Choice	Background	Stickyhand_Choice	Background	Background	Background	LightRed_Choice	Background	Background
DarkBlue	Pacman	DarkPurple_Probe	Puzzle	UpArrow_Probe	Gem	Acorn	LightGreen	Gem	Bell_Probe	Hourglass_Probe	LightBlue	LightYellow	Crowbar_Probe	DarkYellow	Gem	DarkTurquiose	Spade	Lock	Nail	Chevron
DarkBlue	Pacman	DarkPurple_Probe	Puzzle	UpArrow_Probe	Gem	Acorn	LightGreen	Gem	Bell_Probe	Hourglass_Probe	LightBlue	LightYellow	Crowbar_Probe	DarkYellow	Gem	DarkTurquiose	Spade	Lock	Nail	Chevron
DarkBlue	Pacman	DarkPurple_Probe	Puzzle	UpArrow_Probe	Gem	Acorn	LightGreen	Gem	Bell_Probe	Hourglass_Probe	LightBlue	LightYellow	Crowbar_Probe	DarkYellow	Gem	DarkTurquiose	Spade	Lock	Nail	Chevron
DarkBlue	Pacman	DarkPurple_Probe	Puzzle	UpArrow_Probe	Gem	Acorn	LightGreen	Gem	Bell_Probe	Hourglass_Probe	LightBlue	LightYellow	Crowbar_Probe	DarkYellow	Gem	DarkTurquiose	Spade	Lock	Nail	Chevron
