IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Rabbit	Lock	Pacman	DarkGreen	Heart_Probe	DarkGray	Hourglass	Spike	Tie	Ditto	Pacman	LightBlue_Probe	Stickyhand	DarkGreen	Diamond	Lock	Nail_Probe	Dodecagon	Sawblade	DarkBlue	Lock	Venn	Acorn	LightPurple	Acorn	Chevron_Probe	DarkTurquiose
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Heart_Choice	Background	Background	Background	Background	Background	Background	LightBlue_Choice	Background	Background	Background	Background	Nail_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Chevron_Choice	Background
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Tie	DarkPurple	Hourglass	Gem	LightPurple	Diamond_Probe	Crowbar	LightRed	Spade	Hat	LightTurquiose	Star	DarkGray	Puzzle_Probe	Tie	DarkPurple	DarkYellow	DarkRed	DarkRed	Dodecagon	Acorn_Probe	DarkRed	Hat_Probe	Bell	LightBlue	LightBlue	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Diamond_Choice	Background	Background	Background	Background	Background	Background	Background	Puzzle_Choice	Background	Background	Background	Background	Background	Background	Acorn_Choice	Background	Hat_Choice	Background	Background	Background	Puzzle_Choice
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
DarkGreen	Tie	LightPurple_Probe	Hat	Bar_Probe	Bell	LightBlue_Probe	Stickyhand	DarkTurquiose	LightYellow	Hourglass_Probe	Diamond	UpArrow	Crowbar	LightBlue	Acorn_Probe	Tie	Gem_Probe	Chevron	Stickyhand	DarkBlue	Ditto_Probe	LightPurple	Dodecagon	Venn_Probe	Puzzle	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	LightPurple_Choice	Background	Bar_Choice	Background	LightBlue_Choice	Background	Background	Background	Hourglass_Choice	Background	Background	Background	Background	Acorn_Choice	Background	Gem_Choice	Background	Background	Background	Ditto_Choice	Background	Background	Venn_Choice	Background	Ditto_Choice
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Sawblade	Diamond	Heart	DarkTurquiose_Probe	Tie	LightPurple	Spike	Dodecagon	LeftArrow	Gem_Probe	Ditto	LightRed	Heart	LightRed	Nail	Spike	Sawblade	Diamond	Dodecagon	DarkYellow	Spade	Spade_Probe	Heart	DarkYellow	Star	Pacman_Probe	LightBlue
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	DarkTurquiose_Choice	Background	Background	Background	Background	Background	Gem_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Spade_Choice	Background	Background	Background	Pacman_Choice	Background
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
House	DarkYellow	Puzzle	Star	LightTurquiose	Spade	Bell	DarkRed	Lock	Lock	DarkRed	Stickyhand	DarkRed_Probe	Hat	Crowbar	LightYellow	DarkBlue	LightGray	LightYellow_Probe	Sawblade_Probe	Crowbar	DarkBlue	Hourglass	Heart	DarkRed_Probe	DarkGreen	Spade
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	DarkRed_Choice	Background	Background	Background	Background	Background	LightYellow_Choice	Sawblade_Choice	Background	Background	Background	Background	DarkRed_Choice	Background	Background
DarkBlue	Chevron	DarkBlue	Rabbit_Probe	Dodecagon	Tie_Probe	DarkPurple_Probe	Star_Probe	DarkGray	DarkBlue_Probe	Lock	Nail	Spike	Stickyhand_Probe	DarkGray_Probe	Heart	Chevron	Heart	Crowbar	Chevron	LightYellow_Probe	Pacman	LightYellow	Rabbit_Probe	Hat	Spade	LeftArrow
DarkBlue	Chevron	DarkBlue	Rabbit_Probe	Dodecagon	Tie_Probe	DarkPurple_Probe	Star_Probe	DarkGray	DarkBlue_Probe	Lock	Nail	Spike	Stickyhand_Probe	DarkGray_Probe	Heart	Chevron	Heart	Crowbar	Chevron	LightYellow_Probe	Pacman	LightYellow	Rabbit_Probe	Hat	Spade	LeftArrow
DarkBlue	Chevron	DarkBlue	Rabbit_Probe	Dodecagon	Tie_Probe	DarkPurple_Probe	Star_Probe	DarkGray	DarkBlue_Probe	Lock	Nail	Spike	Stickyhand_Probe	DarkGray_Probe	Heart	Chevron	Heart	Crowbar	Chevron	LightYellow_Probe	Pacman	LightYellow	Rabbit_Probe	Hat	Spade	LeftArrow
DarkBlue	Chevron	DarkBlue	Rabbit_Probe	Dodecagon	Tie_Probe	DarkPurple_Probe	Star_Probe	DarkGray	DarkBlue_Probe	Lock	Nail	Spike	Stickyhand_Probe	DarkGray_Probe	Heart	Chevron	Heart	Crowbar	Chevron	LightYellow_Probe	Pacman	LightYellow	Rabbit_Probe	Hat	Spade	LeftArrow
DarkBlue	Chevron	DarkBlue	Rabbit_Probe	Dodecagon	Tie_Probe	DarkPurple_Probe	Star_Probe	DarkGray	DarkBlue_Probe	Lock	Nail	Spike	Stickyhand_Probe	DarkGray_Probe	Heart	Chevron	Heart	Crowbar	Chevron	LightYellow_Probe	Pacman	LightYellow	Rabbit_Probe	Hat	Spade	LeftArrow
