IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA33	IMA34	IMA35	IMA36	IMA37	IMA38	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Hat	Stickyhand	LightBlue	DarkRed	Tie	LightBlue	Diamond	Hourglass	Dodecagon	LightGray	Tie_Probe	Ditto	DarkGreen	Hourglass	Spike	Crowbar_Probe	LightGray	Bell	LightBlue	Sawblade	Hourglass	LightPurple_Probe	Heart_Probe	LightPurple	Bell	LightTurquiose	Dodecagon	UpArrow	LeftArrow	LightBlue	Diamond_Probe	Dodecagon	Jellyfish	DarkYellow	Acorn	LightPurple	Bar
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Tie_Choice	Background	Background	Background	Background	Crowbar_Choice	Background	Background	Background	Background	Background	LightPurple_Choice	Heart_Choice	Background	Background	Background	Background	Background	Background	Background	Diamond_Choice	Background	Background	Background	Background	Background	Background
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
LightGreen	Nail	LeftArrow	Star	DarkRed_Probe	Spade_Probe	House	LightGreen	LightRed_Probe	House	LightRed	LightGreen	Venn	LeftArrow	DarkPurple	Lock	Acorn	LightRed	Hat	Acorn	DarkBlue	Nail_Probe	Spade	Pacman	DarkGray_Probe	Spike	Crowbar	DarkTurquiose	Hourglass_Probe	Gem	LeftArrow	DarkGray	Dodecagon	Jellyfish	DarkPurple	Bar	LeftArrow
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	DarkRed_Choice	Spade_Choice	Background	Background	LightRed_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Nail_Choice	Background	Background	DarkGray_Choice	Background	Background	Background	Hourglass_Choice	Background	Background	Background	Background	Background	Background	Background	Background
Tie_Probe	LightPurple_Probe	Nail	Dodecagon	Bar	Tie	DarkBlue_Probe	Bell	Crowbar	Nail	Puzzle	Diamond	Chevron_Probe	DarkGreen	Acorn	LightRed	Spike	Diamond_Probe	Bell	LightRed_Probe	Acorn	Acorn	LightGray	Bar	Sawblade	Gem	DarkBlue	Heart	DarkGray	Hat_Probe	LightBlue	Acorn	DarkBlue	Diamond	Rabbit	Star_Probe	LightBlue_Probe
Tie_Probe	LightPurple_Probe	Nail	Dodecagon	Bar	Tie	DarkBlue_Probe	Bell	Crowbar	Nail	Puzzle	Diamond	Chevron_Probe	DarkGreen	Acorn	LightRed	Spike	Diamond_Probe	Bell	LightRed_Probe	Acorn	Acorn	LightGray	Bar	Sawblade	Gem	DarkBlue	Heart	DarkGray	Hat_Probe	LightBlue	Acorn	DarkBlue	Diamond	Rabbit	Star_Probe	LightBlue_Probe
Tie_Probe	LightPurple_Probe	Nail	Dodecagon	Bar	Tie	DarkBlue_Probe	Bell	Crowbar	Nail	Puzzle	Diamond	Chevron_Probe	DarkGreen	Acorn	LightRed	Spike	Diamond_Probe	Bell	LightRed_Probe	Acorn	Acorn	LightGray	Bar	Sawblade	Gem	DarkBlue	Heart	DarkGray	Hat_Probe	LightBlue	Acorn	DarkBlue	Diamond	Rabbit	Star_Probe	LightBlue_Probe
Tie_Probe	LightPurple_Probe	Nail	Dodecagon	Bar	Tie	DarkBlue_Probe	Bell	Crowbar	Nail	Puzzle	Diamond	Chevron_Probe	DarkGreen	Acorn	LightRed	Spike	Diamond_Probe	Bell	LightRed_Probe	Acorn	Acorn	LightGray	Bar	Sawblade	Gem	DarkBlue	Heart	DarkGray	Hat_Probe	LightBlue	Acorn	DarkBlue	Diamond	Rabbit	Star_Probe	LightBlue_Probe
