IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Hourglass	House	LightYellow_Probe	Heart_Probe	LightYellow	UpArrow_Probe	Bar	Puzzle	Heart	DarkGreen	Ditto	Pacman	LightRed	Nail	Rabbit	Stickyhand	LightGreen	Jellyfish	LightYellow	Hat	Spike_Probe	LightBlue	Pacman_Probe	LightYellow	Spade	Dodecagon_Probe	Star_Probe	LightRed	Heart	LightGreen	Lock
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	LightYellow_Choice	Heart_Choice	Background	UpArrow_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Spike_Choice	Background	Pacman_Choice	Background	Background	Dodecagon_Choice	Star_Choice	Background	Background	Background	Background
