IMA12	IMA2	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	IMA11
Spike_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Hourglass_Probe	Rabbit_Probe	Ditto_Probe	LightGray_Probe	LeftArrow_Probe	LightPurple_Probe	Sawblade_Probe
Spike_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Hourglass_Probe	Rabbit_Probe	Ditto_Probe	LightGray_Probe	LeftArrow_Probe	LightPurple_Probe	Sawblade_Probe
Spike_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Hourglass_Probe	Rabbit_Probe	Ditto_Probe	LightGray_Probe	LeftArrow_Probe	LightPurple_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Hourglass_Choice	Rabbit_Choice	Ditto_Choice	LightGray_Choice	LeftArrow_Choice	LightPurple_Choice	Sawblade_Choice
LightYellow_Probe	LightGray_Probe	Hourglass_Probe	Chevron_Probe	DarkTurquiose_Probe	Sawblade_Probe	LeftArrow_Probe	LightGray_Probe	UpArrow_Probe	Star_Probe
LightYellow_Probe	LightGray_Probe	Hourglass_Probe	Chevron_Probe	DarkTurquiose_Probe	Sawblade_Probe	LeftArrow_Probe	LightGray_Probe	UpArrow_Probe	Star_Probe
LightYellow_Probe	LightGray_Probe	Hourglass_Probe	Chevron_Probe	DarkTurquiose_Probe	Sawblade_Probe	LeftArrow_Probe	LightGray_Probe	UpArrow_Probe	Star_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	LightGray_Choice	Hourglass_Choice	Chevron_Choice	DarkTurquiose_Choice	Sawblade_Choice	LeftArrow_Choice	LightGray_Choice	UpArrow_Choice	Star_Choice
Bell_Probe	Hourglass_Probe	Pacman_Probe	DarkGreen_Probe	Star_Probe	DarkGray_Probe	Hat_Probe	Hourglass_Probe	Chevron_Probe	LightGreen_Probe
Bell_Probe	Hourglass_Probe	Pacman_Probe	DarkGreen_Probe	Star_Probe	DarkGray_Probe	Hat_Probe	Hourglass_Probe	Chevron_Probe	LightGreen_Probe
Bell_Probe	Hourglass_Probe	Pacman_Probe	DarkGreen_Probe	Star_Probe	DarkGray_Probe	Hat_Probe	Hourglass_Probe	Chevron_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bell_Choice	Hourglass_Choice	Pacman_Choice	DarkGreen_Choice	Star_Choice	DarkGray_Choice	Hat_Choice	Hourglass_Choice	Chevron_Choice	LightGreen_Choice
Hat_Probe	Heart_Probe	DarkRed_Probe	Hat_Probe	Lock_Probe	Gem_Probe	DarkTurquiose_Probe	Gem_Probe	DarkPurple_Probe	Dodecagon_Probe
Hat_Probe	Heart_Probe	DarkRed_Probe	Hat_Probe	Lock_Probe	Gem_Probe	DarkTurquiose_Probe	Gem_Probe	DarkPurple_Probe	Dodecagon_Probe
Hat_Probe	Heart_Probe	DarkRed_Probe	Hat_Probe	Lock_Probe	Gem_Probe	DarkTurquiose_Probe	Gem_Probe	DarkPurple_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Heart_Choice	DarkRed_Choice	Hat_Choice	Lock_Choice	Gem_Choice	DarkTurquiose_Choice	Gem_Choice	DarkPurple_Choice	Dodecagon_Choice
