IMA7	IMA8	IMA9	IMA10	IMA11	IMA12
Chevron_Probe	LightGray_Probe	Dodecagon_Probe	Diamond_Probe	Ditto_Probe	DarkGray_Probe
Chevron_Probe	LightGray_Probe	Dodecagon_Probe	Diamond_Probe	Ditto_Probe	DarkGray_Probe
Chevron_Choice	LightGray_Choice	Dodecagon_Choice	Diamond_Choice	Ditto_Choice	DarkGray_Choice
DarkYellow_Probe	Nail_Probe	Star_Probe	DarkPurple_Probe	Rabbit_Probe	Crowbar_Probe
DarkYellow_Probe	Nail_Probe	Star_Probe	DarkPurple_Probe	Rabbit_Probe	Crowbar_Probe
DarkYellow_Choice	Nail_Choice	Star_Choice	DarkPurple_Choice	Rabbit_Choice	Crowbar_Choice
Lock_Probe	Acorn_Probe	DarkPurple_Probe	LeftArrow_Probe	LightTurquiose_Probe	Lock_Probe
Lock_Probe	Acorn_Probe	DarkPurple_Probe	LeftArrow_Probe	LightTurquiose_Probe	Lock_Probe
Lock_Choice	Acorn_Choice	DarkPurple_Choice	LeftArrow_Choice	LightTurquiose_Choice	Lock_Choice
Stickyhand_Probe	LightBlue_Probe	Sawblade_Probe	Lock_Probe	Acorn_Probe	DarkGreen_Probe
Stickyhand_Probe	LightBlue_Probe	Sawblade_Probe	Lock_Probe	Acorn_Probe	DarkGreen_Probe
Stickyhand_Choice	LightBlue_Choice	Sawblade_Choice	Lock_Choice	Acorn_Choice	DarkGreen_Choice
LightBlue_Probe	Bar_Probe	Bell_Probe	DarkGreen_Probe	Puzzle_Probe	Bell_Probe
LightBlue_Probe	Bar_Probe	Bell_Probe	DarkGreen_Probe	Puzzle_Probe	Bell_Probe
LightBlue_Choice	Bar_Choice	Bell_Choice	DarkGreen_Choice	Puzzle_Choice	Bell_Choice
Spade_Probe	Gem_Probe	DarkRed_Probe	Acorn_Probe	LightRed_Probe	Venn_Probe
Spade_Probe	Gem_Probe	DarkRed_Probe	Acorn_Probe	LightRed_Probe	Venn_Probe
Spade_Choice	Gem_Choice	DarkRed_Choice	Acorn_Choice	LightRed_Choice	Venn_Choice
Pacman_Probe	LightGreen_Probe	Lock_Probe	Rabbit_Probe	Tie_Probe	LightPurple_Probe
Pacman_Probe	LightGreen_Probe	Lock_Probe	Rabbit_Probe	Tie_Probe	LightPurple_Probe
Pacman_Choice	LightGreen_Choice	Lock_Choice	Rabbit_Choice	Tie_Choice	LightPurple_Choice
LightGray_Probe	Puzzle_Probe	Tie_Probe	DarkTurquiose_Probe	Hourglass_Probe	Pacman_Probe
LightGray_Probe	Puzzle_Probe	Tie_Probe	DarkTurquiose_Probe	Hourglass_Probe	Pacman_Probe
LightGray_Choice	Puzzle_Choice	Tie_Choice	DarkTurquiose_Choice	Hourglass_Choice	Pacman_Choice
Spike_Probe	Bell_Probe	DarkYellow_Probe	Bell_Probe	LightGray_Probe	Sawblade_Probe
Spike_Probe	Bell_Probe	DarkYellow_Probe	Bell_Probe	LightGray_Probe	Sawblade_Probe
Spike_Choice	Bell_Choice	DarkYellow_Choice	Bell_Choice	LightGray_Choice	Sawblade_Choice
Gem_Probe	DarkBlue_Probe	Hat_Probe	Hat_Probe	Heart_Probe	DarkPurple_Probe
