IMA2	IMA3
Tie_Probe	DarkBlue_Probe
Tie_Probe	DarkBlue_Probe
Tie_Probe	DarkBlue_Probe
Background	Background
Tie_Choice	DarkBlue_Choice
DarkYellow_Probe	Spike_Probe
DarkYellow_Probe	Spike_Probe
DarkYellow_Probe	Spike_Probe
Background	Background
DarkYellow_Choice	Spike_Choice
Lock_Probe	Crowbar_Probe
Lock_Probe	Crowbar_Probe
Lock_Probe	Crowbar_Probe
Background	Background
Lock_Choice	Crowbar_Choice
Bell_Probe	LightBlue_Probe
Bell_Probe	LightBlue_Probe
Bell_Probe	LightBlue_Probe
Background	Background
Bell_Choice	LightBlue_Choice
DarkGray_Probe	Diamond_Probe
DarkGray_Probe	Diamond_Probe
DarkGray_Probe	Diamond_Probe
Background	Background
DarkGray_Choice	Diamond_Choice
Spade_Probe	Stickyhand_Probe
Spade_Probe	Stickyhand_Probe
Spade_Probe	Stickyhand_Probe
Background	Background
Spade_Choice	Stickyhand_Choice
House_Probe	DarkGray_Probe
House_Probe	DarkGray_Probe
House_Probe	DarkGray_Probe
Background	Background
House_Choice	DarkGray_Choice
LightPurple_Probe	Sawblade_Probe
LightPurple_Probe	Sawblade_Probe
LightPurple_Probe	Sawblade_Probe
Background	Background
LightPurple_Choice	Sawblade_Choice
UpArrow_Probe	Star_Probe
UpArrow_Probe	Star_Probe
UpArrow_Probe	Star_Probe
Background	Background
UpArrow_Choice	Star_Choice
Acorn_Probe	LightPurple_Probe
Acorn_Probe	LightPurple_Probe
Acorn_Probe	LightPurple_Probe
Background	Background
Acorn_Choice	LightPurple_Choice
LightRed_Probe	Lock_Probe
LightRed_Probe	Lock_Probe
LightRed_Probe	Lock_Probe
Background	Background
LightRed_Choice	Lock_Choice
Rabbit_Probe	Acorn_Probe
Rabbit_Probe	Acorn_Probe
Rabbit_Probe	Acorn_Probe
Background	Background
Rabbit_Choice	Acorn_Choice
Crowbar_Probe	LightGray_Probe
Crowbar_Probe	LightGray_Probe
Crowbar_Probe	LightGray_Probe
Background	Background
Crowbar_Choice	LightGray_Choice
LightGray_Probe	Bar_Probe
LightGray_Probe	Bar_Probe
LightGray_Probe	Bar_Probe
Background	Background
LightGray_Choice	Bar_Choice
Diamond_Probe	Gem_Probe
Diamond_Probe	Gem_Probe
Diamond_Probe	Gem_Probe
Background	Background
Diamond_Choice	Gem_Choice
Gem_Probe	LightTurquiose_Probe
Gem_Probe	LightTurquiose_Probe
Gem_Probe	LightTurquiose_Probe
Background	Background
Gem_Choice	LightTurquiose_Choice
DarkGreen_Probe	Venn_Probe
DarkGreen_Probe	Venn_Probe
DarkGreen_Probe	Venn_Probe
Background	Background
DarkGreen_Choice	Venn_Choice
Nail_Probe	Chevron_Probe
Nail_Probe	Chevron_Probe
Nail_Probe	Chevron_Probe
Background	Background
Nail_Choice	Chevron_Choice
Chevron_Probe	LightGreen_Probe
Chevron_Probe	LightGreen_Probe
Chevron_Probe	LightGreen_Probe
Background	Background
Chevron_Choice	LightGreen_Choice
DarkRed_Probe	Rabbit_Probe
DarkRed_Probe	Rabbit_Probe
DarkRed_Probe	Rabbit_Probe
Background	Background
DarkRed_Choice	Rabbit_Choice
Spike_Probe	Tie_Probe
Spike_Probe	Tie_Probe
Spike_Probe	Tie_Probe
Background	Background
Spike_Choice	Tie_Choice
Heart_Probe	DarkPurple_Probe
Heart_Probe	DarkPurple_Probe
Heart_Probe	DarkPurple_Probe
Background	Background
Heart_Choice	DarkPurple_Choice
DarkBlue_Probe	Hat_Probe
DarkBlue_Probe	Hat_Probe
DarkBlue_Probe	Hat_Probe
Background	Background
DarkBlue_Choice	Hat_Choice
Bar_Probe	LeftArrow_Probe
Bar_Probe	LeftArrow_Probe
Bar_Probe	LeftArrow_Probe
Background	Background
Bar_Choice	LeftArrow_Choice
Star_Probe	DarkYellow_Probe
Star_Probe	DarkYellow_Probe
Star_Probe	DarkYellow_Probe
Background	Background
Star_Choice	DarkYellow_Choice
LightBlue_Probe	Dodecagon_Probe
LightBlue_Probe	Dodecagon_Probe
LightBlue_Probe	Dodecagon_Probe
Background	Background
LightBlue_Choice	Dodecagon_Choice
Dodecagon_Probe	Heart_Probe
Dodecagon_Probe	Heart_Probe
Dodecagon_Probe	Heart_Probe
Background	Background
Dodecagon_Choice	Heart_Choice
Ditto_Probe	DarkTurquiose_Probe
Ditto_Probe	DarkTurquiose_Probe
Ditto_Probe	DarkTurquiose_Probe
Background	Background
Ditto_Choice	DarkTurquiose_Choice
LightGreen_Probe	Puzzle_Probe
LightGreen_Probe	Puzzle_Probe
LightGreen_Probe	Puzzle_Probe
Background	Background
LightGreen_Choice	Puzzle_Choice
Hourglass_Probe	Ditto_Probe
Hourglass_Probe	Ditto_Probe
Hourglass_Probe	Ditto_Probe
Background	Background
Hourglass_Choice	Ditto_Choice
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
