Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
6,7,Jeeves,2022-12-30,1,Achromatic,Ditto,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Chevron,Ditto,Pacman,Jellyfish,Ditto,LowerLeft,Pacman,0.53072625698324,0.92779330282496,1
6,7,Jeeves,2022-12-30,2,Chromatic,Hourglass,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,DarkYellow,DarkBlue,LightRed,LightGray,LightRed,UpperRight,DarkYellow,0.377777777777778,1.35918690237418,1
6,7,Jeeves,2022-12-30,3,Colors,LightPurple,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Bar,Rabbit,UpArrow,Dodecagon,Rabbit,UpperRight,Bar,0.633333333333333,0.534986001357434,1
6,7,Jeeves,2022-12-30,4,Achromatic,Stickyhand,1,1,2,0.166666666666667,0.833333333333333,UpperRight,Stickyhand,Ditto,Jellyfish,Heart,Stickyhand,UpperRight,Stickyhand,0.911111111111111,0.43929150790852,1
6,7,Jeeves,2022-12-30,5,Chromatic,Venn,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,LightYellow,LightGreen,LightGray,LightBlue,LightGray,UpperRight,LightYellow,0.577777777777778,0.624735746923669,1
6,7,Jeeves,2022-12-30,6,Colors,LightGreen,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Bar,Nail,Lock,Venn,Lock,LowerRight,Nail,0.6,0.543039052863422,1
6,7,Jeeves,2022-12-30,7,Achromatic,Gem,1,1,2,0.166666666666667,0.833333333333333,LowerRight,Acorn,Gem,Bell,Heart,Gem,LowerRight,Gem,0.933333333333333,0.534986001357434,1
6,7,Jeeves,2022-12-30,8,Chromatic,Nail,1,0,2,0.166666666666667,0.833333333333333,UpperLeft,DarkRed,LightPurple,DarkGreen,DarkBlue,DarkBlue,UpperRight,DarkRed,0.477777777777778,1.44002642367184,1
6,7,Jeeves,2022-12-30,9,Colors,DarkRed,1,1,2,0.166666666666667,0.833333333333333,LowerRight,Lock,UpArrow,Rabbit,Venn,UpArrow,LowerRight,UpArrow,0.644444444444444,0.543039052863422,1
6,7,Jeeves,2022-12-30,10,Achromatic,LeftArrow,1,0,2,0.166666666666667,0.833333333333333,LowerRight,House,LeftArrow,Acorn,Gem,LeftArrow,UpperLeft,Gem,0.927777777777778,0.43929150790852,1
6,7,Jeeves,2022-12-30,11,Chromatic,Rabbit,1,1,2,0.166666666666667,0.833333333333333,UpperLeft,LightTurquiose,DarkTurquiose,LightGray,LightPurple,LightPurple,UpperLeft,LightPurple,0.35,4.12419748838392,1
6,7,Jeeves,2022-12-30,12,Colors,DarkGreen,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Venn,Bar,Diamond,Dodecagon,Bar,None,None,0.6,0.682941861036087,1
6,7,Jeeves,2022-12-30,13,Achromatic,Acorn,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Heart,Acorn,Chevron,Gem,Acorn,UpperLeft,Gem,0.855555555555556,0.512923288044432,1
6,7,Jeeves,2022-12-30,14,Chromatic,Diamond,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,DarkRed,DarkYellow,LightYellow,LightRed,LightYellow,UpperRight,DarkRed,0.411111111111111,1.56049641022572,1
6,7,Jeeves,2022-12-30,15,Colors,LightRed,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Bar,Spade,Hourglass,Nail,Hourglass,UpperRight,Bar,0.394444444444444,1.44949778885999,1
6,7,Jeeves,2022-12-30,16,Achromatic,Bell,1,1,2,0.166666666666667,0.833333333333333,UpperRight,Bell,Crowbar,Ditto,Tie,Bell,UpperRight,Bell,0.861111111111111,0.512923288044432,1
6,7,Jeeves,2022-12-30,17,Chromatic,Sawblade,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,DarkTurquiose,DarkRed,LightBlue,LightTurquiose,LightBlue,LowerRight,DarkRed,0.505555555555556,0.903188159321,1
6,7,Jeeves,2022-12-30,18,Colors,LightTurquiose,1,0,2,0.166666666666667,0.833333333333333,UpperRight,Spade,Puzzle,UpArrow,Venn,Spade,LowerLeft,UpArrow,0.633333333333333,0.593281211992252,1
6,7,Jeeves,2022-12-30,19,Achromatic,Tie,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Acorn,Tie,Chevron,Heart,Tie,LowerLeft,Chevron,0.722222222222222,0.543039052863422,1
6,7,Jeeves,2022-12-30,20,Chromatic,Spade,1,0,2,0.166666666666667,0.833333333333333,UpperRight,LightTurquiose,LightGreen,DarkBlue,LightRed,LightTurquiose,UpperLeft,LightRed,0.527777777777778,0.848031619550335,1
6,7,Jeeves,2022-12-30,21,Colors,LightYellow,1,1,2,0.166666666666667,0.833333333333333,LowerRight,Lock,Diamond,Hat,Spade,Diamond,LowerRight,Diamond,0.605555555555556,0.624735746923669,1
6,7,Jeeves,2022-12-30,22,Achromatic,Jellyfish,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Tie,Jellyfish,Stickyhand,Chevron,Jellyfish,LowerLeft,Stickyhand,0.766666666666667,0.543039052863422,1
