Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
13,13,Wooster,2022-12-30,1,Achromatic,Chevron,1,1,2,0.166666666666667,0.833333333333333,UpperRight,Chevron,Tie,Pacman,Bell,Chevron,UpperRight,Chevron,0.686046511627907,0.443601244661898,1
13,13,Wooster,2022-12-30,2,Colors,LightBlue,1,0,2,0.166666666666667,0.833333333333333,LowerRight,Venn,Sawblade,Lock,UpArrow,Sawblade,UpperLeft,UpArrow,0.611111111111111,0.494336504248546,1
13,13,Wooster,2022-12-30,3,Chromatic,UpArrow,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,DarkYellow,DarkGray,DarkRed,DarkPurple,DarkRed,UpperRight,DarkYellow,0.603658536585366,0.446188447499679,1
13,13,Wooster,2022-12-30,4,Achromatic,Acorn,1,1,2,0.166666666666667,0.833333333333333,LowerRight,Star,Acorn,Crowbar,Tie,Acorn,LowerRight,Acorn,0.82258064516129,0.410156697759041,1
13,13,Wooster,2022-12-30,5,Colors,LightGreen,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Nail,Spade,Lock,Sawblade,Lock,LowerRight,Spade,0.691891891891892,0.487572496100987,1
13,13,Wooster,2022-12-30,6,Chromatic,Hourglass,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,DarkRed,LightYellow,LightRed,DarkYellow,LightRed,UpperLeft,DarkYellow,0.688524590163934,0.453666331903287,1
13,13,Wooster,2022-12-30,7,Achromatic,Crowbar,1,0,2,0.166666666666667,0.833333333333333,UpperRight,Crowbar,Stickyhand,LeftArrow,Tie,Crowbar,LowerRight,Stickyhand,0.930232558139535,0.363842996209684,1
13,13,Wooster,2022-12-30,8,Colors,DarkBlue,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Lock,Hat,Nail,Sawblade,Nail,UpperRight,Lock,0.589189189189189,0.570520813379448,1
13,13,Wooster,2022-12-30,9,Chromatic,Bar,1,1,2,0.166666666666667,0.833333333333333,UpperRight,DarkGreen,LightTurquiose,DarkRed,LightGreen,DarkGreen,UpperRight,DarkGreen,0.635869565217391,0.428099665575125,1
13,13,Wooster,2022-12-30,10,Achromatic,Pacman,1,1,2,0.166666666666667,0.833333333333333,UpperRight,Pacman,LeftArrow,Acorn,Crowbar,Pacman,UpperRight,Pacman,0.845714285714286,0.391950589819468,1
13,13,Wooster,2022-12-30,11,Colors,LightRed,1,1,2,0.166666666666667,0.833333333333333,LowerRight,Rabbit,Hourglass,Venn,Lock,Hourglass,LowerRight,Hourglass,0.648351648351648,0.412388528508076,1
13,13,Wooster,2022-12-30,12,Chromatic,Sawblade,1,1,2,0.166666666666667,0.833333333333333,UpperLeft,DarkGray,DarkPurple,DarkGreen,LightBlue,LightBlue,UpperLeft,LightBlue,0.691891891891892,0.405430149949594,1
13,13,Wooster,2022-12-30,13,Achromatic,LeftArrow,1,0,2,0.166666666666667,0.833333333333333,UpperLeft,Heart,Gem,Ditto,LeftArrow,LeftArrow,LowerRight,Gem,0.923076923076923,0.336226115844284,1
13,13,Wooster,2022-12-30,14,Colors,DarkPurple,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Rabbit,Spade,Puzzle,Lock,Puzzle,UpperRight,Rabbit,0.517857142857143,0.720261529218319,1
13,13,Wooster,2022-12-30,15,Chromatic,Diamond,1,1,2,0.166666666666667,0.833333333333333,UpperLeft,DarkRed,LightRed,LightBlue,LightYellow,LightYellow,UpperLeft,LightYellow,0.645161290322581,0.370078704465929,1
13,13,Wooster,2022-12-30,16,Achromatic,Jellyfish,1,1,2,0.166666666666667,0.833333333333333,UpperRight,Jellyfish,Ditto,Acorn,Stickyhand,Jellyfish,UpperRight,Jellyfish,0.848648648648649,0.365417394613879,1
13,13,Wooster,2022-12-30,17,Colors,DarkGreen,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,Hourglass,UpArrow,Bar,Dodecagon,Bar,UpperLeft,Dodecagon,0.64804469273743,0.438507839972086,1
13,13,Wooster,2022-12-30,18,Chromatic,Spike,1,0,2,0.166666666666667,0.833333333333333,LowerLeft,LightPurple,LightGreen,DarkYellow,LightBlue,DarkYellow,LowerRight,LightGreen,0.733333333333333,0.329686625692292,1
13,13,Wooster,2022-12-30,19,Achromatic,Stickyhand,1,1,2,0.166666666666667,0.833333333333333,LowerLeft,Bell,Pacman,Stickyhand,Ditto,Stickyhand,LowerLeft,Stickyhand,0.82258064516129,0.32466642057608,1
