IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA1	IMA20	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Hourglass	Pacman	LightPurple	Star	LightBlue	Hourglass	Lock_Probe	LeftArrow	DarkBlue_Probe	Gem_Probe	Acorn	DarkGray_Probe	LightGreen_Probe	Hat	Hat	Gem	DarkPurple	Pacman	LightGreen	Lock_Probe
Hourglass	Pacman	LightPurple	Star	LightBlue	Hourglass	Lock_Probe	LeftArrow	DarkBlue_Probe	Gem_Probe	Acorn	DarkGray_Probe	LightGreen_Probe	Hat	Hat	Gem	DarkPurple	Pacman	LightGreen	Lock_Probe
Hourglass	Pacman	LightPurple	Star	LightBlue	Hourglass	Lock_Probe	LeftArrow	DarkBlue_Probe	Gem_Probe	Acorn	DarkGray_Probe	LightGreen_Probe	Hat	Hat	Gem	DarkPurple	Pacman	LightGreen	Lock_Probe
DarkBlue_Probe	Bar_Probe	Acorn_Probe	DarkPurple	Lock	Tie_Probe	DarkRed_Probe	Diamond_Probe	Heart_Probe	LightGray_Probe	DarkGreen	Puzzle_Probe	Spade	Heart_Probe	DarkYellow	Puzzle_Probe	LeftArrow_Probe	DarkBlue	Diamond_Probe	Tie_Probe
DarkBlue_Probe	Bar_Probe	Acorn_Probe	DarkPurple	Lock	Tie_Probe	DarkRed_Probe	Diamond_Probe	Heart_Probe	LightGray_Probe	DarkGreen	Puzzle_Probe	Spade	Heart_Probe	DarkYellow	Puzzle_Probe	LeftArrow_Probe	DarkBlue	Diamond_Probe	Tie_Probe
DarkBlue_Probe	Bar_Probe	Acorn_Probe	DarkPurple	Lock	Tie_Probe	DarkRed_Probe	Diamond_Probe	Heart_Probe	LightGray_Probe	DarkGreen	Puzzle_Probe	Spade	Heart_Probe	DarkYellow	Puzzle_Probe	LeftArrow_Probe	DarkBlue	Diamond_Probe	Tie_Probe
Stickyhand	DarkBlue_Probe	Hat	Hourglass_Probe	Jellyfish_Probe	LightRed	Pacman	DarkRed	Lock_Probe	UpArrow_Probe	Sawblade	Jellyfish	Acorn_Probe	DarkRed	Chevron_Probe	DarkBlue	Puzzle_Probe	Lock_Probe	Heart_Probe	DarkBlue_Probe
Stickyhand	DarkBlue_Probe	Hat	Hourglass_Probe	Jellyfish_Probe	LightRed	Pacman	DarkRed	Lock_Probe	UpArrow_Probe	Sawblade	Jellyfish	Acorn_Probe	DarkRed	Chevron_Probe	DarkBlue	Puzzle_Probe	Lock_Probe	Heart_Probe	DarkBlue_Probe
Stickyhand	DarkBlue_Probe	Hat	Hourglass_Probe	Jellyfish_Probe	LightRed	Pacman	DarkRed	Lock_Probe	UpArrow_Probe	Sawblade	Jellyfish	Acorn_Probe	DarkRed	Chevron_Probe	DarkBlue	Puzzle_Probe	Lock_Probe	Heart_Probe	DarkBlue_Probe
Puzzle_Probe	Tie	LightBlue	Chevron_Probe	LightGreen_Probe	Venn	Spike	Chevron	LightPurple_Probe	Heart_Probe	Pacman_Probe	LightYellow_Probe	LightRed	Rabbit_Probe	UpArrow	Pacman_Probe	LightYellow_Probe	Tie	DarkYellow	Puzzle_Probe
