IMA1	IMA2	IMA3	IMA4
Tie_Probe	DarkGray_Probe	Spade_Probe	Diamond_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Tie_Choice	DarkGray_Choice	Spade_Choice	Diamond_Choice
LightGray_Probe	Hourglass_Probe	Gem_Probe	DarkYellow_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightGray_Choice	Hourglass_Choice	Gem_Choice	DarkYellow_Choice
Rabbit_Probe	Ditto_Probe	DarkGray_Probe	Crowbar_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Rabbit_Choice	Ditto_Choice	DarkGray_Choice	Crowbar_Choice
Ditto_Probe	LightBlue_Probe	Puzzle_Probe	Bar_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Ditto_Choice	LightBlue_Choice	Puzzle_Choice	Bar_Choice
DarkBlue_Probe	Puzzle_Probe	House_Probe	LightGray_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkBlue_Choice	Puzzle_Choice	House_Choice	LightGray_Choice
Sawblade_Probe	Stickyhand_Probe	LightYellow_Probe	Gem_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Sawblade_Choice	Stickyhand_Choice	LightYellow_Choice	Gem_Choice
Crowbar_Probe	DarkBlue_Probe	Rabbit_Probe	Nail_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Crowbar_Choice	DarkBlue_Choice	Rabbit_Choice	Nail_Choice
LightPurple_Probe	UpArrow_Probe	Acorn_Probe	DarkTurquiose_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightPurple_Choice	UpArrow_Choice	Acorn_Choice	DarkTurquiose_Choice
Puzzle_Probe	House_Probe	LightBlue_Probe	Tie_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Puzzle_Choice	House_Choice	LightBlue_Choice	Tie_Choice
House_Probe	LightGray_Probe	Hat_Probe	Venn_Probe
Background	Background	Background	Background
Background	Background	Background	Background
House_Choice	LightGray_Choice	Hat_Choice	Venn_Choice
DarkRed_Probe	Dodecagon_Probe	Pacman_Probe	LightTurquiose_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkRed_Choice	Dodecagon_Choice	Pacman_Choice	LightTurquiose_Choice
Dodecagon_Probe	Jellyfish_Probe	LightTurquiose_Probe	Star_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Dodecagon_Choice	Jellyfish_Choice	LightTurquiose_Choice	Star_Choice
LeftArrow_Probe	DarkTurquiose_Probe	Hourglass_Probe	Hat_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LeftArrow_Choice	DarkTurquiose_Choice	Hourglass_Choice	Hat_Choice
LightGreen_Probe	Spade_Probe	Star_Probe	LightYellow_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightGreen_Choice	Spade_Choice	Star_Choice	LightYellow_Choice
Bar_Probe	Acorn_Probe	DarkGreen_Probe	Heart_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Bar_Choice	Acorn_Choice	DarkGreen_Choice	Heart_Choice
Bell_Probe	DarkPurple_Probe	Dodecagon_Probe	UpArrow_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Bell_Choice	DarkPurple_Choice	Dodecagon_Choice	UpArrow_Choice
DarkTurquiose_Probe	Venn_Probe	Chevron_Probe	LightGreen_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkTurquiose_Choice	Venn_Choice	Chevron_Choice	LightGreen_Choice
Spade_Probe	Tie_Probe	LightGray_Probe	Stickyhand_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Spade_Choice	Tie_Choice	LightGray_Choice	Stickyhand_Choice
Jellyfish_Probe	LightTurquiose_Probe	Bar_Probe	Puzzle_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Jellyfish_Choice	LightTurquiose_Choice	Bar_Choice	Puzzle_Choice
LightBlue_Probe	Bar_Probe	Bell_Probe	LightPurple_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightBlue_Choice	Bar_Choice	Bell_Choice	LightPurple_Choice
Hat_Probe	Chevron_Probe	LightPurple_Probe	Acorn_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Hat_Choice	Chevron_Choice	LightPurple_Choice	Acorn_Choice
Pacman_Probe	DarkRed_Probe	Diamond_Probe	Rabbit_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Pacman_Choice	DarkRed_Choice	Diamond_Choice	Rabbit_Choice
DarkGreen_Probe	Rabbit_Probe	Crowbar_Probe	LightRed_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkGreen_Choice	Rabbit_Choice	Crowbar_Choice	LightRed_Choice
Hourglass_Probe	Crowbar_Probe	DarkYellow_Probe	Pacman_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Hourglass_Choice	Crowbar_Choice	DarkYellow_Choice	Pacman_Choice
Heart_Probe	LightPurple_Probe	UpArrow_Probe	Sawblade_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Heart_Choice	LightPurple_Choice	UpArrow_Choice	Sawblade_Choice
LightTurquiose_Probe	Nail_Probe	LeftArrow_Probe	DarkPurple_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightTurquiose_Choice	Nail_Choice	LeftArrow_Choice	DarkPurple_Choice
Venn_Probe	LeftArrow_Probe	DarkPurple_Probe	Jellyfish_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Venn_Choice	LeftArrow_Choice	DarkPurple_Choice	Jellyfish_Choice
Acorn_Probe	DarkGreen_Probe	Nail_Probe	Lock_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Acorn_Choice	DarkGreen_Choice	Nail_Choice	Lock_Choice
DarkYellow_Probe	Diamond_Probe	Heart_Probe	DarkGray_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkYellow_Choice	Diamond_Choice	Heart_Choice	DarkGray_Choice
Nail_Probe	Gem_Probe	DarkBlue_Probe	House_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Nail_Choice	Gem_Choice	DarkBlue_Choice	House_Choice
Stickyhand_Probe	LightYellow_Probe	Lock_Probe	Dodecagon_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Stickyhand_Choice	LightYellow_Choice	Lock_Choice	Dodecagon_Choice
LightRed_Probe	Hat_Probe	Ditto_Probe	DarkBlue_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightRed_Choice	Hat_Choice	Ditto_Choice	DarkBlue_Choice
Lock_Probe	Star_Probe	LightRed_Probe	LeftArrow_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Lock_Choice	Star_Choice	LightRed_Choice	LeftArrow_Choice
Star_Probe	LightGreen_Probe	Sawblade_Probe	Spike_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Star_Choice	LightGreen_Choice	Sawblade_Choice	Spike_Choice
LightYellow_Probe	Sawblade_Probe	Jellyfish_Probe	LightBlue_Probe
Background	Background	Background	Background
Background	Background	Background	Background
LightYellow_Choice	Sawblade_Choice	Jellyfish_Choice	LightBlue_Choice
Spike_Probe	Pacman_Probe	DarkTurquiose_Probe	Ditto_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Spike_Choice	Pacman_Choice	DarkTurquiose_Choice	Ditto_Choice
Chevron_Probe	LightRed_Probe	Venn_Probe	Spade_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Chevron_Choice	LightRed_Choice	Venn_Choice	Spade_Choice
DarkPurple_Probe	Spike_Probe	Tie_Probe	DarkRed_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkPurple_Choice	Spike_Choice	Tie_Choice	DarkRed_Choice
UpArrow_Probe	Heart_Probe	LightGreen_Probe	Bell_Probe
Background	Background	Background	Background
Background	Background	Background	Background
UpArrow_Choice	Heart_Choice	LightGreen_Choice	Bell_Choice
Gem_Probe	DarkYellow_Probe	Spike_Probe	Hourglass_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Gem_Choice	DarkYellow_Choice	Spike_Choice	Hourglass_Choice
DarkGray_Probe	Lock_Probe	Stickyhand_Probe	DarkGreen_Probe
Background	Background	Background	Background
Background	Background	Background	Background
DarkGray_Choice	Lock_Choice	Stickyhand_Choice	DarkGreen_Choice
Diamond_Probe	Bell_Probe	DarkRed_Probe	Chevron_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Diamond_Choice	Bell_Choice	DarkRed_Choice	Chevron_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
