Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
1,1,Wooster,2023-01-17,1,Achromatic,Tie,1,1,1,2,1,UpperLeft,Star,Stickyhand,Chevron,Tie,Tie,UpperLeft,Tie,0.888888888888889,0.663594838450089,1
1,1,Wooster,2023-01-17,2,Colors,LightGray,1,0,1,2,1,UpperLeft,Bar,Dodecagon,Spike,Venn,Venn,LowerLeft,Spike,0.912087912087912,0.162622662392566,1
1,1,Wooster,2023-01-17,3,Chromatic,Rabbit,1,0,1,2,1,UpperLeft,LightTurquiose,DarkTurquiose,LightBlue,LightPurple,LightPurple,LowerLeft,LightBlue,1,0.2721613933287,1
1,1,Wooster,2023-01-17,4,Achromatic,Ditto,1,1,1,2,1,LowerRight,Bell,Ditto,Pacman,Jellyfish,Ditto,LowerRight,Ditto,0.0769230769230769,3.9407152707875,1
1,1,Wooster,2023-01-17,5,Colors,DarkBlue,1,0,1,2,1,UpperRight,Nail,Sawblade,Hourglass,Hat,Nail,LowerRight,Sawblade,0.967032967032967,0.120573369123109,1
1,1,Wooster,2023-01-17,6,Chromatic,Sawblade,1,1,1,2,1,UpperLeft,DarkTurquiose,LightGreen,DarkRed,LightBlue,LightBlue,UpperLeft,LightBlue,0.923076923076923,0.256868450777411,1
1,1,Wooster,2023-01-17,7,Achromatic,Crowbar,1,1,1,2,1,LowerRight,Star,Crowbar,Jellyfish,Pacman,Crowbar,LowerRight,Crowbar,1,0.270693582044658,1
1,1,Wooster,2023-01-17,8,Colors,LightPurple,1,0,1,2,1,UpperLeft,Spade,UpArrow,Spike,Rabbit,Rabbit,LowerLeft,Spike,0.122222222222222,4.40842727417577,1
1,1,Wooster,2023-01-17,9,Chromatic,Puzzle,1,0,1,2,1,LowerLeft,LightBlue,LightPurple,DarkPurple,LightGreen,DarkPurple,LowerRight,LightPurple,1,0.15120719777126,1
1,1,Wooster,2023-01-17,10,Achromatic,House,1,0,1,2,1,UpperRight,House,Bell,Ditto,Star,House,LowerRight,Bell,0.922222222222222,0.230135622896585,1
1,1,Wooster,2023-01-17,11,Colors,DarkRed,1,0,1,2,1,UpperLeft,Puzzle,Venn,Spade,UpArrow,UpArrow,UpperRight,Puzzle,1,0.285329852483456,1
1,1,Wooster,2023-01-17,12,Chromatic,Dodecagon,1,0,1,2,1,LowerRight,LightYellow,DarkTurquiose,DarkBlue,LightPurple,DarkTurquiose,LowerLeft,DarkBlue,0.0666666666666667,4.02995434475733,1
1,1,Wooster,2023-01-17,13,Achromatic,LeftArrow,1,1,1,2,1,LowerLeft,Heart,Chevron,LeftArrow,Crowbar,LeftArrow,LowerLeft,LeftArrow,0.844444444444444,0.274544654866833,1
1,1,Wooster,2023-01-17,14,Colors,LightGreen,1,0,1,2,1,LowerLeft,Hat,Dodecagon,Lock,Spade,Lock,UpperLeft,Spade,0.833333333333333,0.269099217324233,1
1,1,Wooster,2023-01-17,15,Chromatic,Bar,1,0,1,2,1,LowerLeft,LightRed,LightGray,DarkGreen,DarkRed,DarkGreen,UpperLeft,DarkRed,0.923076923076923,0.158919728314419,1
1,1,Wooster,2023-01-17,16,Achromatic,Bell,1,1,1,2,1,LowerRight,Star,Bell,Tie,Crowbar,Bell,LowerRight,Bell,0.0666666666666667,4.64031734336465,1
1,1,Wooster,2023-01-17,17,Colors,DarkTurquiose,1,0,1,2,1,UpperLeft,UpArrow,Puzzle,Venn,Dodecagon,Dodecagon,UpperRight,UpArrow,0.923076923076923,0.20512406027325,1
1,1,Wooster,2023-01-17,18,Chromatic,Spade,1,1,1,2,1,UpperLeft,DarkYellow,DarkBlue,DarkGray,LightTurquiose,LightTurquiose,UpperLeft,LightTurquiose,1,0.143980877328038,1
1,1,Wooster,2023-01-17,19,Achromatic,Jellyfish,1,0,1,2,1,UpperRight,Jellyfish,Stickyhand,Chevron,Tie,Jellyfish,LowerRight,Stickyhand,0.879120879120879,0.208221870455329,1
1,1,Wooster,2023-01-17,20,Colors,LightBlue,1,1,1,2,1,LowerLeft,Spade,Bar,Sawblade,Diamond,Sawblade,LowerLeft,Sawblade,0.0444444444444444,4.83157125326643,1
1,1,Wooster,2023-01-17,21,Chromatic,Hat,1,0,1,2,1,UpperLeft,DarkPurple,DarkYellow,LightTurquiose,DarkGray,DarkGray,UpperRight,DarkPurple,0.877777777777778,0.27337282598758,1
1,1,Wooster,2023-01-17,22,Achromatic,Pacman,1,0,1,2,1,LowerLeft,Stickyhand,Tie,Pacman,Chevron,Pacman,UpperRight,Stickyhand,0.571428571428571,0.383853854739589,1
1,1,Wooster,2023-01-17,23,Colors,DarkGreen,1,0,1,2,1,UpperRight,Bar,Puzzle,Lock,Spike,Bar,LowerLeft,Lock,0.677777777777778,0.475155566424715,1
1,1,Wooster,2023-01-17,24,Chromatic,Hourglass,1,0,1,2,1,UpperLeft,LightBlue,DarkTurquiose,DarkGray,LightRed,LightRed,UpperRight,LightBlue,0.0549450549450549,4.22613845342679,1
1,1,Wooster,2023-01-17,25,Achromatic,Heart,1,1,1,2,1,LowerLeft,LeftArrow,Bell,Heart,Jellyfish,Heart,LowerLeft,Heart,0.955555555555556,0.217248245421772,1
1,1,Wooster,2023-01-17,26,Colors,LightTurquiose,1,0,1,2,1,LowerRight,Dodecagon,Spade,Venn,Hourglass,Spade,None,None,0.901098901098901,0.208221870455329,1
1,1,Wooster,2023-01-17,27,Chromatic,Venn,1,1,1,2,1,UpperRight,LightGray,DarkGray,LightGreen,DarkGreen,LightGray,UpperRight,LightGray,0.923076923076923,0.231060662273646,1
1,1,Wooster,2023-01-17,28,Achromatic,Acorn,1,1,1,2,1,UpperLeft,Gem,LeftArrow,Jellyfish,Acorn,Acorn,UpperLeft,Acorn,0.177777777777778,4.95173479189357,1
1,1,Wooster,2023-01-17,29,Colors,DarkYellow,1,1,1,2,1,UpperRight,Spike,Bar,Nail,Lock,Spike,UpperRight,Spike,1,0.198461506201908,1
1,1,Wooster,2023-01-17,30,Chromatic,Nail,1,0,1,2,1,UpperLeft,DarkPurple,LightTurquiose,LightRed,DarkBlue,DarkBlue,UpperRight,DarkPurple,0.934065934065934,0.217520146481801,1
1,1,Wooster,2023-01-17,31,Achromatic,Stickyhand,1,1,1,2,1,LowerLeft,Tie,Bell,Stickyhand,House,Stickyhand,LowerLeft,Stickyhand,0.989010989010989,0.163809245763965,1
1,1,Wooster,2023-01-17,32,Colors,LightRed,1,0,1,2,1,LowerLeft,Rabbit,Spike,Hourglass,UpArrow,Hourglass,LowerRight,Spike,0.0111111111111111,4.83121984293287,1
1,1,Wooster,2023-01-17,33,Chromatic,Lock,1,1,1,2,1,LowerRight,DarkYellow,LightGreen,LightYellow,DarkRed,LightGreen,LowerRight,LightGreen,1,0.217248245421772,1
1,1,Wooster,2023-01-17,34,Achromatic,Star,1,1,1,2,1,LowerLeft,Jellyfish,Heart,Star,Acorn,Star,LowerLeft,Star,0.912087912087912,0.17394539366398,1
1,1,Wooster,2023-01-17,35,Colors,LightYellow,1,0,1,2,1,LowerLeft,Bar,UpArrow,Diamond,Lock,Diamond,LowerRight,UpArrow,1,0.263108473919433,1
1,1,Wooster,2023-01-17,36,Chromatic,Spike,1,0,1,2,1,LowerLeft,DarkGreen,LightBlue,DarkYellow,LightYellow,DarkYellow,LowerRight,LightBlue,0.582417582417582,0.937121990699234,1
1,1,Wooster,2023-01-17,37,Achromatic,Chevron,1,0,1,2,1,UpperLeft,LeftArrow,Acorn,Gem,Chevron,Chevron,LowerRight,Acorn,0.923076923076923,0.20512406027325,1
1,1,Wooster,2023-01-17,38,Colors,DarkPurple,1,0,1,2,1,LowerLeft,Venn,Diamond,Puzzle,Hat,Puzzle,LowerRight,Diamond,0.922222222222222,0.226309254458419,1
1,1,Wooster,2023-01-17,39,Chromatic,UpArrow,1,0,1,2,1,UpperLeft,DarkPurple,DarkGray,LightRed,DarkRed,DarkRed,UpperRight,DarkPurple,1,0.176408397399804,1
1,1,Wooster,2023-01-17,40,Achromatic,Gem,1,1,1,2,1,UpperRight,Gem,House,LeftArrow,Pacman,Gem,UpperRight,Gem,0.384615384615385,3.740617265637,1
1,1,Wooster,2023-01-17,41,Colors,DarkGray,1,0,1,2,1,LowerRight,UpArrow,Hat,Venn,Rabbit,Hat,UpperRight,UpArrow,0.912087912087912,0.15238511711226,1
1,1,Wooster,2023-01-17,42,Chromatic,Diamond,1,0,1,2,1,LowerRight,LightGreen,LightYellow,LightGray,DarkBlue,LightYellow,UpperRight,LightGreen,0.922222222222222,0.186828333834555,1
2,2,Wooster,2023-01-17,1,Colors,DarkGray,1,1,1,2,1,UpperLeft,Diamond,Rabbit,Bar,Hat,Hat,UpperLeft,Hat,0.98876404494382,0.4260206962386,1
2,2,Wooster,2023-01-17,2,Chromatic,Hourglass,1,1,1,2,1,UpperRight,LightRed,LightTurquiose,DarkBlue,LightYellow,LightRed,UpperRight,LightRed,1,0.293423711479141,1
2,2,Wooster,2023-01-17,3,Achromatic,Ditto,1,0,1,2,1,UpperLeft,Stickyhand,Pacman,Heart,Ditto,Ditto,UpperRight,Stickyhand,1,0.36055443298482,1
2,2,Wooster,2023-01-17,4,Colors,LightBlue,1,0,1,2,1,UpperLeft,Spike,Dodecagon,Venn,Sawblade,Sawblade,UpperRight,Spike,0.1,3.48416675885114,1
