Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
4,4,Wooster,2023-01-17,1,Chromatic,Diamond,1,0,1,2,1,LowerRight,DarkGray,LightYellow,DarkBlue,DarkTurquiose,LightYellow,LowerLeft,DarkBlue,0.9,0.577569473904016,0
4,4,Wooster,2023-01-17,2,Colors,DarkYellow,1,1,1,2,1,LowerLeft,Spade,Venn,Spike,Bar,Spike,LowerLeft,Spike,1,0.474036289828141,0
4,4,Wooster,2023-01-17,3,Achromatic,Crowbar,1,1,1,2,1,UpperRight,Crowbar,Ditto,Acorn,Pacman,Crowbar,UpperRight,Crowbar,1,0.426951413163159,0
4,4,Wooster,2023-01-17,4,Chromatic,Bar,1,0,1,2,1,UpperRight,DarkGreen,LightBlue,DarkPurple,LightRed,DarkGreen,LowerRight,LightBlue,0.153846153846154,3.99975710812298,0
4,4,Wooster,2023-01-17,5,Colors,LightGray,1,0,1,2,1,LowerRight,Hourglass,Venn,Sawblade,Spade,Venn,UpperRight,Hourglass,1,0.332671488392723,0
4,4,Wooster,2023-01-17,6,Achromatic,Gem,1,1,1,2,1,UpperRight,Gem,Star,Pacman,Heart,Gem,UpperRight,Gem,1,0.460943428929645,0
4,4,Wooster,2023-01-17,7,Chromatic,Nail,1,0,1,2,1,LowerLeft,DarkRed,DarkGreen,DarkBlue,LightBlue,DarkBlue,UpperRight,DarkRed,1,0.299664866800428,0
4,4,Wooster,2023-01-17,8,Colors,DarkTurquiose,1,0,1,2,1,LowerLeft,Lock,UpArrow,Dodecagon,Sawblade,Dodecagon,LowerRight,UpArrow,0.0549450549450549,4.65794306542643,0
4,4,Wooster,2023-01-17,9,Achromatic,Tie,1,0,1,2,1,UpperRight,Tie,Heart,LeftArrow,Gem,Tie,LowerLeft,LeftArrow,0.677777777777778,0.594322244749144,0
4,4,Wooster,2023-01-17,10,Chromatic,Venn,1,0,1,2,1,UpperRight,LightGray,LightPurple,LightTurquiose,DarkBlue,LightGray,LowerLeft,LightTurquiose,0.258426966292135,10.8732250092999,0
4,4,Wooster,2023-01-17,11,Colors,LightTurquiose,1,0,1,2,1,LowerLeft,Nail,Diamond,Spade,Dodecagon,Spade,LowerRight,Diamond,0,13.0865687715396,0
4,4,Wooster,2023-01-17,12,Achromatic,Star,1,0,1,2,1,LowerRight,Gem,Star,Stickyhand,Acorn,Star,LowerLeft,Stickyhand,0,4.63488840022888,0
4,4,Wooster,2023-01-17,13,Chromatic,Hat,1,0,1,2,1,UpperRight,DarkGray,DarkPurple,DarkYellow,LightRed,DarkGray,None,None,0.0459770114942529,13.499336940355,0
4,4,Wooster,2023-01-17,14,Colors,LightYellow,1,0,1,2,1,UpperLeft,Rabbit,Lock,Hourglass,Diamond,Diamond,None,None,0.923913043478261,0.405822824544621,0
4,4,Wooster,2023-01-17,15,Achromatic,Heart,1,0,1,2,1,LowerLeft,Bell,Star,Heart,Acorn,Heart,None,None,1,0.300903934333232,0
4,4,Wooster,2023-01-17,16,Chromatic,UpArrow,1,0,1,2,1,LowerRight,DarkGray,DarkRed,LightPurple,DarkBlue,DarkRed,None,None,0.443181818181818,4.16137239057762,0
4,4,Wooster,2023-01-17,17,Colors,LightGreen,1,0,1,2,1,LowerLeft,Nail,Spade,Lock,Dodecagon,Lock,None,None,1,0.402751318051105,0
4,4,Wooster,2023-01-17,18,Achromatic,Stickyhand,1,0,1,2,1,LowerRight,Bell,Stickyhand,Gem,Crowbar,Stickyhand,None,None,1,0.35912082074631,0
4,4,Wooster,2023-01-17,19,Chromatic,Puzzle,1,0,1,2,1,UpperLeft,DarkGray,DarkGreen,DarkBlue,DarkPurple,DarkPurple,None,None,1,0.570522268686267,0
4,4,Wooster,2023-01-17,20,Colors,LightPurple,1,0,1,2,1,LowerRight,,,,,,None,None,NaN,NaN,0
4,4,Wooster,2023-01-17,21,Achromatic,Acorn,1,0,1,2,1,LowerRight,,,,,,None,None,NaN,NaN,0
4,4,Wooster,2023-01-17,22,Chromatic,Rabbit,1,0,1,2,1,LowerLeft,,,,,,None,None,NaN,NaN,0
