IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Rabbit_Probe	Heart_Probe	DarkPurple_Probe	Tie_Probe	DarkGray_Probe	Diamond_Probe	UpArrow_Probe	Acorn_Probe	DarkRed_Probe	Star_Probe	DarkRed_Probe	Dodecagon_Probe	Rabbit_Probe	Chevron_Probe	LightBlue_Probe	Heart_Probe	DarkGreen_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	Heart_Choice	DarkPurple_Choice	Tie_Choice	DarkGray_Choice	Diamond_Choice	UpArrow_Choice	Acorn_Choice	DarkRed_Choice	Star_Choice	DarkRed_Choice	Dodecagon_Choice	Rabbit_Choice	Chevron_Choice	LightBlue_Choice	Heart_Choice	DarkGreen_Choice	Rabbit_Choice
DarkGray_Probe	Bar_Probe	Bell_Probe	DarkGray_Probe	Lock_Probe	Crowbar_Probe	LightBlue_Probe	Venn_Probe	Stickyhand_Probe	LightPurple_Probe	Hourglass_Probe	Chevron_Probe	LightGreen_Probe	Lock_Probe	Jellyfish_Probe	LightBlue_Probe	Sawblade_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	Bar_Choice	Bell_Choice	DarkGray_Choice	Lock_Choice	Crowbar_Choice	LightBlue_Choice	Venn_Choice	Stickyhand_Choice	LightPurple_Choice	Hourglass_Choice	Chevron_Choice	LightGreen_Choice	Lock_Choice	Jellyfish_Choice	LightBlue_Choice	Sawblade_Choice	Gem_Choice
Acorn_Probe	LightBlue_Probe	Diamond_Probe	UpArrow_Probe	House_Probe	DarkGray_Probe	Crowbar_Probe	DarkYellow_Probe	UpArrow_Probe	Hat_Probe	Pacman_Probe	DarkTurquiose_Probe	Stickyhand_Probe	LightBlue_Probe	Hat_Probe	Hourglass_Probe	Heart_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Acorn_Choice	LightBlue_Choice	Diamond_Choice	UpArrow_Choice	House_Choice	DarkGray_Choice	Crowbar_Choice	DarkYellow_Choice	UpArrow_Choice	Hat_Choice	Pacman_Choice	DarkTurquiose_Choice	Stickyhand_Choice	LightBlue_Choice	Hat_Choice	Hourglass_Choice	Heart_Choice	LightGreen_Choice
Nail_Probe	Chevron_Probe	DarkBlue_Probe	Heart_Probe	LightGreen_Probe	Bar_Probe	Lock_Probe	Stickyhand_Probe	LightGray_Probe	Acorn_Probe	DarkBlue_Probe	Lock_Probe	Diamond_Probe	Heart_Probe	LightGreen_Probe	Bell_Probe	LightRed_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail_Choice	Chevron_Choice	DarkBlue_Choice	Heart_Choice	LightGreen_Choice	Bar_Choice	Lock_Choice	Stickyhand_Choice	LightGray_Choice	Acorn_Choice	DarkBlue_Choice	Lock_Choice	Diamond_Choice	Heart_Choice	LightGreen_Choice	Bell_Choice	LightRed_Choice	Diamond_Choice
LightGray_Probe	Diamond_Probe	LeftArrow_Probe	DarkGreen_Probe	Hourglass_Probe	Gem_Probe	LightTurquiose_Probe	Hat_Probe	Gem_Probe	LightGreen_Probe	Hat_Probe	Pacman_Probe	DarkYellow_Probe	Puzzle_Probe	Bell_Probe	LightPurple_Probe	Diamond_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGray_Choice	Diamond_Choice	LeftArrow_Choice	DarkGreen_Choice	Hourglass_Choice	Gem_Choice	LightTurquiose_Choice	Hat_Choice	Gem_Choice	LightGreen_Choice	Hat_Choice	Pacman_Choice	DarkYellow_Choice	Puzzle_Choice	Bell_Choice	LightPurple_Choice	Diamond_Choice	Crowbar_Choice
Stickyhand_Probe	DarkBlue_Probe	Nail_Probe	Venn_Probe	Acorn_Probe	DarkRed_Probe	Chevron_Probe	LightTurquiose_Probe	Spike_Probe	Nail_Probe	Heart_Probe	LightTurquiose_Probe	Pacman_Probe	DarkBlue_Probe	Rabbit_Probe	Dodecagon_Probe	Pacman_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Stickyhand_Choice	DarkBlue_Choice	Nail_Choice	Venn_Choice	Acorn_Choice	DarkRed_Choice	Chevron_Choice	LightTurquiose_Choice	Spike_Choice	Nail_Choice	Heart_Choice	LightTurquiose_Choice	Pacman_Choice	DarkBlue_Choice	Rabbit_Choice	Dodecagon_Choice	Pacman_Choice	DarkBlue_Choice
Dodecagon_Probe	Stickyhand_Probe	LightGray_Probe	Ditto_Probe	DarkBlue_Probe	Hat_Probe	Bar_Probe	Crowbar_Probe	DarkPurple_Probe	Tie_Probe	LightGreen_Probe	Venn_Probe	Lock_Probe	Star_Probe	DarkPurple_Probe	Stickyhand_Probe	LightGreen_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Stickyhand_Choice	LightGray_Choice	Ditto_Choice	DarkBlue_Choice	Hat_Choice	Bar_Choice	Crowbar_Choice	DarkPurple_Choice	Tie_Choice	LightGreen_Choice	Venn_Choice	Lock_Choice	Star_Choice	DarkPurple_Choice	Stickyhand_Choice	LightGreen_Choice	Puzzle_Choice
DarkYellow_Probe	Hat_Probe	Crowbar_Probe	DarkRed_Probe	Hat_Probe	Ditto_Probe	DarkGray_Probe	Dodecagon_Probe	House_Probe	DarkGray_Probe	Diamond_Probe	Heart_Probe	DarkTurquiose_Probe	Spike_Probe	Ditto_Probe	LightYellow_Probe	Hat_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	Hat_Choice	Crowbar_Choice	DarkRed_Choice	Hat_Choice	Ditto_Choice	DarkGray_Choice	Dodecagon_Choice	House_Choice	DarkGray_Choice	Diamond_Choice	Heart_Choice	DarkTurquiose_Choice	Spike_Choice	Ditto_Choice	LightYellow_Choice	Hat_Choice	Acorn_Choice
Heart_Probe	LightPurple_Probe	Sawblade_Probe	Hat_Probe	Tie_Probe	DarkGreen_Probe	Star_Probe	DarkRed_Probe	Lock_Probe	Hourglass_Probe	Bell_Probe	LightBlue_Probe	LeftArrow_Probe	DarkPurple_Probe	Spade_Probe	Puzzle_Probe	Gem_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Heart_Choice	LightPurple_Choice	Sawblade_Choice	Hat_Choice	Tie_Choice	DarkGreen_Choice	Star_Choice	DarkRed_Choice	Lock_Choice	Hourglass_Choice	Bell_Choice	LightBlue_Choice	LeftArrow_Choice	DarkPurple_Choice	Spade_Choice	Puzzle_Choice	Gem_Choice	LightGray_Choice
Sawblade_Probe	Ditto_Probe	LightTurquiose_Probe	Stickyhand_Probe	LightRed_Probe	Nail_Probe	Nail_Probe	Bell_Probe	LightPurple_Probe	Chevron_Probe	DarkGray_Probe	Diamond_Probe	UpArrow_Probe	Ditto_Probe	DarkYellow_Probe	Gem_Probe	LightPurple_Probe	Bar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Ditto_Choice	LightTurquiose_Choice	Stickyhand_Choice	LightRed_Choice	Nail_Choice	Nail_Choice	Bell_Choice	LightPurple_Choice	Chevron_Choice	DarkGray_Choice	Diamond_Choice	UpArrow_Choice	Ditto_Choice	DarkYellow_Choice	Gem_Choice	LightPurple_Choice	Bar_Choice
LightGreen_Probe	Venn_Probe	Jellyfish_Probe	DarkTurquiose_Probe	Dodecagon_Probe	Heart_Probe	DarkTurquiose_Probe	Puzzle_Probe	Ditto_Probe	DarkTurquiose_Probe	Spade_Probe	Jellyfish_Probe	DarkGray_Probe	Dodecagon_Probe	House_Probe	DarkRed_Probe	Bar_Probe	LeftArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	Venn_Choice	Jellyfish_Choice	DarkTurquiose_Choice	Dodecagon_Choice	Heart_Choice	DarkTurquiose_Choice	Puzzle_Choice	Ditto_Choice	DarkTurquiose_Choice	Spade_Choice	Jellyfish_Choice	DarkGray_Choice	Dodecagon_Choice	House_Choice	DarkRed_Choice	Bar_Choice	LeftArrow_Choice
Chevron_Probe	DarkYellow_Probe	Spike_Probe	Diamond_Probe	Jellyfish_Probe	LightYellow_Probe	Bell_Probe	DarkTurquiose_Probe	Rabbit_Probe	Bar_Probe	Acorn_Probe	LightGray_Probe	Star_Probe	DarkGray_Probe	Venn_Probe	Sawblade_Probe	Star_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Chevron_Choice	DarkYellow_Choice	Spike_Choice	Diamond_Choice	Jellyfish_Choice	LightYellow_Choice	Bell_Choice	DarkTurquiose_Choice	Rabbit_Choice	Bar_Choice	Acorn_Choice	LightGray_Choice	Star_Choice	DarkGray_Choice	Venn_Choice	Sawblade_Choice	Star_Choice	DarkTurquiose_Choice
Spike_Probe	Bell_Probe	LightPurple_Probe	Star_Probe	DarkTurquiose_Probe	Spike_Probe	Sawblade_Probe	House_Probe	LightRed_Probe	Pacman_Probe	LightTurquiose_Probe	Nail_Probe	Spike_Probe	Bell_Probe	DarkBlue_Probe	House_Probe	DarkGray_Probe	Spike_Probe
