IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Sawblade_Probe	Hat_Probe	Bell_Probe	LightPurple_Probe	Stickyhand_Probe	DarkGray_Probe	UpArrow_Probe	Spike_Probe	Heart_Probe	LightPurple_Probe	Bell_Probe	LightGreen_Probe	Dodecagon_Probe	Hourglass_Probe	Heart_Probe	LightRed_Probe	Chevron_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Hat_Choice	Bell_Choice	LightPurple_Choice	Stickyhand_Choice	DarkGray_Choice	UpArrow_Choice	Spike_Choice	Heart_Choice	LightPurple_Choice	Bell_Choice	LightGreen_Choice	Dodecagon_Choice	Hourglass_Choice	Heart_Choice	LightRed_Choice	Chevron_Choice	DarkTurquiose_Choice
Ditto_Probe	DarkRed_Probe	Spike_Probe	Bell_Probe	DarkGreen_Probe	Hourglass_Probe	Acorn_Probe	LightPurple_Probe	Hourglass_Probe	Ditto_Probe	DarkBlue_Probe	Spike_Probe	Crowbar_Probe	DarkGray_Probe	Diamond_Probe	Acorn_Probe	DarkRed_Probe	Spike_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	DarkRed_Choice	Spike_Choice	Bell_Choice	DarkGreen_Choice	Hourglass_Choice	Acorn_Choice	LightPurple_Choice	Hourglass_Choice	Ditto_Choice	DarkBlue_Choice	Spike_Choice	Crowbar_Choice	DarkGray_Choice	Diamond_Choice	Acorn_Choice	DarkRed_Choice	Spike_Choice
LightGray_Probe	Jellyfish_Probe	LightPurple_Probe	Spade_Probe	Puzzle_Probe	LeftArrow_Probe	DarkYellow_Probe	Heart_Probe	DarkTurquiose_Probe	UpArrow_Probe	Venn_Probe	Heart_Probe	DarkBlue_Probe	Chevron_Probe	DarkRed_Probe	Spade_Probe	Sawblade_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGray_Choice	Jellyfish_Choice	LightPurple_Choice	Spade_Choice	Puzzle_Choice	LeftArrow_Choice	DarkYellow_Choice	Heart_Choice	DarkTurquiose_Choice	UpArrow_Choice	Venn_Choice	Heart_Choice	DarkBlue_Choice	Chevron_Choice	DarkRed_Choice	Spade_Choice	Sawblade_Choice	Chevron_Choice
Spade_Probe	UpArrow_Probe	House_Probe	DarkTurquiose_Probe	Pacman_Probe	LightRed_Probe	Hourglass_Probe	Dodecagon_Probe	Acorn_Probe	DarkTurquiose_Probe	Jellyfish_Probe	DarkTurquiose_Probe	Bar_Probe	Sawblade_Probe	Pacman_Probe	LightGreen_Probe	House_Probe	DarkGray_Probe
