IMA9	IMA10	IMA11	IMA12	IMA13	IMA1	IMA2	IMA3	IMA4	IMA6	IMA7	IMA8
LightGray_Probe	Nail_Probe	Diamond_Probe	Heart_Probe	DarkGreen_Probe	LightTurquiose_Probe	Venn_Probe	Spike_Probe	Heart_Probe	Tie_Probe	DarkPurple_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGray_Choice	Nail_Choice	Diamond_Choice	Heart_Choice	DarkGreen_Choice	LightTurquiose_Choice	Venn_Choice	Spike_Choice	Heart_Choice	Tie_Choice	DarkPurple_Choice	Stickyhand_Choice
Spike_Probe	Chevron_Probe	DarkPurple_Probe	UpArrow_Probe	Ditto_Probe	Diamond_Probe	Acorn_Probe	DarkGreen_Probe	Spade_Probe	DarkGreen_Probe	Acorn_Probe	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Chevron_Choice	DarkPurple_Choice	UpArrow_Choice	Ditto_Choice	Diamond_Choice	Acorn_Choice	DarkGreen_Choice	Spade_Choice	DarkGreen_Choice	Acorn_Choice	LightGreen_Choice
Stickyhand_Probe	DarkGray_Probe	House_Probe	DarkGray_Probe	Spike_Probe	Heart_Probe	DarkTurquiose_Probe	Crowbar_Probe	DarkTurquiose_Probe	Lock_Probe	Rabbit_Probe	Bar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Stickyhand_Choice	DarkGray_Choice	House_Choice	DarkGray_Choice	Spike_Choice	Heart_Choice	DarkTurquiose_Choice	Crowbar_Choice	DarkTurquiose_Choice	Lock_Choice	Rabbit_Choice	Bar_Choice
DarkGreen_Probe	Sawblade_Probe	Dodecagon_Probe	Pacman_Probe	DarkTurquiose_Probe	DarkTurquiose_Probe	Nail_Probe	Hat_Probe	Jellyfish_Probe	Jellyfish_Probe	LightGray_Probe	Tie_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen_Choice	Sawblade_Choice	Dodecagon_Choice	Pacman_Choice	DarkTurquiose_Choice	DarkTurquiose_Choice	Nail_Choice	Hat_Choice	Jellyfish_Choice	Jellyfish_Choice	LightGray_Choice	Tie_Choice
Rabbit_Probe	Bell_Probe	LightRed_Probe	Puzzle_Probe	Star_Probe	Puzzle_Probe	Ditto_Probe	LightPurple_Probe	Dodecagon_Probe	DarkTurquiose_Probe	Heart_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	Bell_Choice	LightRed_Choice	Puzzle_Choice	Star_Choice	Puzzle_Choice	Ditto_Choice	LightPurple_Choice	Dodecagon_Choice	DarkTurquiose_Choice	Heart_Choice	DarkBlue_Choice
Tie_Probe	DarkPurple_Probe	Gem_Probe	DarkBlue_Probe	Lock_Probe	Crowbar_Probe	LightRed_Probe	Bell_Probe	LightBlue_Probe	Hat_Probe	Puzzle_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Tie_Choice	DarkPurple_Choice	Gem_Choice	DarkBlue_Choice	Lock_Choice	Crowbar_Choice	LightRed_Choice	Bell_Choice	LightBlue_Choice	Hat_Choice	Puzzle_Choice	Puzzle_Choice
LightPurple_Probe	Spade_Probe	Spade_Probe	Star_Probe	LightBlue_Probe	LightYellow_Probe	Rabbit_Probe	Hourglass_Probe	Acorn_Probe	Bell_Probe	DarkRed_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple_Choice	Spade_Choice	Spade_Choice	Star_Choice	LightBlue_Choice	LightYellow_Choice	Rabbit_Choice	Hourglass_Choice	Acorn_Choice	Bell_Choice	DarkRed_Choice	Crowbar_Choice
Diamond_Probe	Pacman_Probe	DarkGreen_Probe	Bar_Probe	Heart_Probe	Spike_Probe	House_Probe	DarkRed_Probe	UpArrow_Probe	LightGray_Probe	House_Probe	LightRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond_Choice	Pacman_Choice	DarkGreen_Choice	Bar_Choice	Heart_Choice	Spike_Choice	House_Choice	DarkRed_Choice	UpArrow_Choice	LightGray_Choice	House_Choice	LightRed_Choice
Bell_Probe	DarkTurquiose_Probe	Heart_Probe	DarkYellow_Probe	Spade_Probe	Pacman_Probe	DarkGray_Probe	Star_Probe	DarkYellow_Probe	Nail_Probe	Bar_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bell_Choice	DarkTurquiose_Choice	Heart_Choice	DarkYellow_Choice	Spade_Choice	Pacman_Choice	DarkGray_Choice	Star_Choice	DarkYellow_Choice	Nail_Choice	Bar_Choice	Sawblade_Choice
DarkYellow_Probe	Spike_Probe	Sawblade_Probe	Ditto_Probe	LightGreen_Probe	DarkBlue_Probe	Puzzle_Probe	Lock_Probe	Ditto_Probe	Crowbar_Probe	LightBlue_Probe	Star_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	Spike_Choice	Sawblade_Choice	Ditto_Choice	LightGreen_Choice	DarkBlue_Choice	Puzzle_Choice	Lock_Choice	Ditto_Choice	Crowbar_Choice	LightBlue_Choice	Star_Choice
Nail_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Spade_Probe	LeftArrow_Probe	Hat_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Spike_Probe	LightTurquiose_Probe	Bell_Probe	DarkRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Spade_Choice	LeftArrow_Choice	Hat_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Spike_Choice	LightTurquiose_Choice	Bell_Choice	DarkRed_Choice
Acorn_Probe	DarkRed_Probe	Star_Probe	DarkRed_Probe	Venn_Probe	Acorn_Probe	LightPurple_Probe	Ditto_Probe	DarkGray_Probe	Diamond_Probe	Spike_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Acorn_Choice	DarkRed_Choice	Star_Choice	DarkRed_Choice	Venn_Choice	Acorn_Choice	LightPurple_Choice	Ditto_Choice	DarkGray_Choice	Diamond_Choice	Spike_Choice	Diamond_Choice
