IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8
Crowbar_Probe	LightYellow_Probe	Hat_Probe	Hourglass_Probe	Heart_Probe	LightYellow_Probe	House_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Crowbar_Choice	LightYellow_Choice	Hat_Choice	Hourglass_Choice	Heart_Choice	LightYellow_Choice	House_Choice	LightBlue_Choice
DarkTurquiose_Probe	Sawblade_Probe	Acorn_Probe	LightTurquiose_Probe	Venn_Probe	LeftArrow_Probe	LightTurquiose_Probe	UpArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose_Choice	Sawblade_Choice	Acorn_Choice	LightTurquiose_Choice	Venn_Choice	LeftArrow_Choice	LightTurquiose_Choice	UpArrow_Choice
Sawblade_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Star_Probe	DarkBlue_Probe	Diamond_Probe	Diamond_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Star_Choice	DarkBlue_Choice	Diamond_Choice	Diamond_Choice	Acorn_Choice
Tie_Probe	LightBlue_Probe	Sawblade_Probe	Rabbit_Probe	Acorn_Probe	DarkGray_Probe	Heart_Probe	LightPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Tie_Choice	LightBlue_Choice	Sawblade_Choice	Rabbit_Choice	Acorn_Choice	DarkGray_Choice	Heart_Choice	LightPurple_Choice
LightGreen_Probe	Rabbit_Probe	Pacman_Probe	LightGreen_Probe	Sawblade_Probe	Ditto_Probe	DarkBlue_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	Rabbit_Choice	Pacman_Choice	LightGreen_Choice	Sawblade_Choice	Ditto_Choice	DarkBlue_Choice	Sawblade_Choice
Puzzle_Probe	Gem_Probe	DarkYellow_Probe	Ditto_Probe	DarkTurquiose_Probe	Lock_Probe	Hat_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Puzzle_Choice	Gem_Choice	DarkYellow_Choice	Ditto_Choice	DarkTurquiose_Choice	Lock_Choice	Hat_Choice	Chevron_Choice
Stickyhand_Probe	DarkGreen_Probe	Bar_Probe	Sawblade_Probe	Ditto_Probe	DarkRed_Probe	Star_Probe	LightGray_Probe
