IMA1	IMA2	IMA3	IMA4	IMA5	IMA6
Tie_Probe	DarkYellow_Probe	Sawblade_Probe	Dodecagon_Probe	Bell_Probe	DarkPurple_Probe
Tie_Choice	DarkYellow_Choice	Sawblade_Choice	Dodecagon_Choice	Bell_Choice	DarkPurple_Choice
DarkGray_Probe	Dodecagon_Probe	Crowbar_Probe	LightGreen_Probe	Spade_Probe	Heart_Probe
DarkGray_Choice	Dodecagon_Choice	Crowbar_Choice	LightGreen_Choice	Spade_Choice	Heart_Choice
Rabbit_Probe	Ditto_Probe	DarkRed_Probe	Gem_Probe	LightGreen_Probe	Rabbit_Probe
Rabbit_Choice	Ditto_Choice	DarkRed_Choice	Gem_Choice	LightGreen_Choice	Rabbit_Choice
LeftArrow_Probe	DarkTurquiose_Probe	Nail_Probe	Spike_Probe	Chevron_Probe	DarkRed_Probe
LeftArrow_Choice	DarkTurquiose_Choice	Nail_Choice	Spike_Choice	Chevron_Choice	DarkRed_Choice
LightGreen_Probe	Spade_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Hourglass_Probe	Crowbar_Probe
LightGreen_Choice	Spade_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Hourglass_Choice	Crowbar_Choice
Sawblade_Probe	Jellyfish_Probe	LightTurquiose_Probe	Stickyhand_Probe	DarkBlue_Probe	Nail_Probe
Sawblade_Choice	Jellyfish_Choice	LightTurquiose_Choice	Stickyhand_Choice	DarkBlue_Choice	Nail_Choice
Star_Probe	LightRed_Probe	Lock_Probe	Hourglass_Probe	Ditto_Probe	DarkYellow_Probe
Star_Choice	LightRed_Choice	Lock_Choice	Hourglass_Choice	Ditto_Choice	DarkYellow_Choice
LightYellow_Probe	Hat_Probe	Tie_Probe	LightGray_Probe	Venn_Probe	Jellyfish_Probe
LightYellow_Choice	Hat_Choice	Tie_Choice	LightGray_Choice	Venn_Choice	Jellyfish_Choice
Lock_Probe	Pacman_Probe	DarkBlue_Probe	Acorn_Probe	LightBlue_Probe	Puzzle_Probe
Lock_Choice	Pacman_Choice	DarkBlue_Choice	Acorn_Choice	LightBlue_Choice	Puzzle_Choice
Ditto_Probe	DarkGreen_Probe	Puzzle_Probe	UpArrow_Probe	Tie_Probe	DarkTurquiose_Probe
Ditto_Choice	DarkGreen_Choice	Puzzle_Choice	UpArrow_Choice	Tie_Choice	DarkTurquiose_Choice
LightTurquiose_Probe	Puzzle_Probe	Acorn_Probe	DarkGreen_Probe	Sawblade_Probe	Stickyhand_Probe
LightTurquiose_Choice	Puzzle_Choice	Acorn_Choice	DarkGreen_Choice	Sawblade_Choice	Stickyhand_Choice
Puzzle_Probe	Chevron_Probe	LightPurple_Probe	Heart_Probe	LightRed_Probe	Diamond_Probe
Puzzle_Choice	Chevron_Choice	LightPurple_Choice	Heart_Choice	LightRed_Choice	Diamond_Choice
Crowbar_Probe	LightTurquiose_Probe	Dodecagon_Probe	Puzzle_Probe	Pacman_Probe	LightTurquiose_Probe
Crowbar_Choice	LightTurquiose_Choice	Dodecagon_Choice	Puzzle_Choice	Pacman_Choice	LightTurquiose_Choice
DarkRed_Probe	Rabbit_Probe	Gem_Probe	LightBlue_Probe	Hat_Probe	Acorn_Probe
DarkRed_Choice	Rabbit_Choice	Gem_Choice	LightBlue_Choice	Hat_Choice	Acorn_Choice
Bar_Probe	House_Probe	LightGreen_Probe	Ditto_Probe	DarkGreen_Probe	Lock_Probe
Bar_Choice	House_Choice	LightGreen_Choice	Ditto_Choice	DarkGreen_Choice	Lock_Choice
Gem_Probe	DarkRed_Probe	Spade_Probe	Venn_Probe	LeftArrow_Probe	DarkGray_Probe
Gem_Choice	DarkRed_Choice	Spade_Choice	Venn_Choice	LeftArrow_Choice	DarkGray_Choice
DarkGreen_Probe	Venn_Probe	Star_Probe	LightPurple_Probe	Nail_Probe	House_Probe
DarkGreen_Choice	Venn_Choice	Star_Choice	LightPurple_Choice	Nail_Choice	House_Choice
Spike_Probe	Crowbar_Probe	DarkGray_Probe	LeftArrow_Probe	DarkYellow_Probe	Venn_Probe
Spike_Choice	Crowbar_Choice	DarkGray_Choice	LeftArrow_Choice	DarkYellow_Choice	Venn_Choice
Jellyfish_Probe	LightBlue_Probe	Hourglass_Probe	Hat_Probe	House_Probe	LightBlue_Probe
