Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
6,6,Wooster,2023-01-20,1,Colors,DarkPurple,1,0,1,0,1,UpperLeft,Diamond,Bar,UpArrow,Puzzle,Puzzle,LowerLeft,UpArrow,0.693181818181818,0.463945164945469,1
6,6,Wooster,2023-01-20,2,Achromatic,Heart,1,1,1,0,1,UpperLeft,Gem,Ditto,Pacman,Heart,Heart,UpperLeft,Heart,0.0752688172043011,3.80366920776048,1
6,6,Wooster,2023-01-20,3,Chromatic,Rabbit,1,1,1,0,1,LowerLeft,DarkGreen,DarkRed,LightPurple,DarkYellow,LightPurple,LowerLeft,LightPurple,0.967391304347826,0.165689534433521,1
6,6,Wooster,2023-01-20,4,Colors,DarkRed,1,1,1,0,1,LowerLeft,Bar,Spade,UpArrow,Nail,UpArrow,LowerLeft,UpArrow,0.186813186813187,3.91320650649783,1
6,6,Wooster,2023-01-20,5,Achromatic,Crowbar,1,1,1,0,1,UpperLeft,Heart,Gem,House,Crowbar,Crowbar,UpperLeft,Crowbar,0.922222222222222,0.210737874644943,1
6,6,Wooster,2023-01-20,6,Chromatic,Nail,1,1,1,0,1,UpperRight,DarkBlue,DarkTurquiose,LightYellow,LightRed,DarkBlue,UpperRight,DarkBlue,0.181818181818182,3.81216317875625,1
6,6,Wooster,2023-01-20,7,Colors,DarkYellow,1,1,1,0,1,UpperRight,Spike,Puzzle,Rabbit,UpArrow,Spike,UpperRight,Spike,0.931818181818182,0.230135622896585,1
6,6,Wooster,2023-01-20,8,Achromatic,Jellyfish,1,1,1,0,1,LowerLeft,Star,Ditto,Jellyfish,Chevron,Jellyfish,LowerLeft,Jellyfish,0.122222222222222,4.05226047194228,1
6,6,Wooster,2023-01-20,9,Chromatic,Puzzle,1,1,1,0,1,LowerLeft,DarkGray,DarkTurquiose,DarkPurple,DarkYellow,DarkPurple,LowerLeft,DarkPurple,0.778947368421053,0.578681128400391,1
6,6,Wooster,2023-01-20,10,Colors,DarkTurquiose,1,1,1,0,1,UpperRight,Dodecagon,Nail,Puzzle,Sawblade,Dodecagon,UpperRight,Dodecagon,0.340659340659341,1.97838650000968,1
6,6,Wooster,2023-01-20,11,Achromatic,Stickyhand,1,1,1,0,1,LowerLeft,Bell,Star,Stickyhand,Gem,Stickyhand,LowerLeft,Stickyhand,1,0.157885438763851,1
