Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
9,9,Wooster,2023-01-20,1,Colors,LightRed,1,0,1,1,1,LowerLeft,Lock,Bar,Hourglass,Hat,Hourglass,UpperRight,Lock,0.292134831460674,2.90353373295125,1
9,9,Wooster,2023-01-20,2,Chromatic,Venn,1,1,1,1,1,UpperLeft,LightBlue,LightRed,DarkRed,LightGray,LightGray,UpperLeft,LightGray,0.382978723404255,1.69644584941293,1
9,9,Wooster,2023-01-20,3,Colors,LightYellow,1,0,1,1,1,UpperLeft,UpArrow,Venn,Rabbit,Diamond,Diamond,UpperRight,UpArrow,0.238636363636364,2.80582463323725,1
9,9,Wooster,2023-01-20,4,Chromatic,Nail,1,0,1,1,1,UpperRight,DarkBlue,LightYellow,LightPurple,DarkRed,DarkBlue,LowerRight,LightYellow,0.811111111111111,0.501660811413664,1
9,9,Wooster,2023-01-20,5,Colors,LightBlue,1,1,1,1,1,LowerLeft,Bar,UpArrow,Sawblade,Hourglass,Sawblade,LowerLeft,Sawblade,0.633333333333333,0.943590406101246,1
9,9,Wooster,2023-01-20,6,Chromatic,Rabbit,1,0,1,1,1,LowerRight,DarkPurple,LightPurple,DarkTurquiose,LightRed,LightPurple,LowerLeft,DarkTurquiose,0.0326086956521739,2.03816576618044,1
9,9,Wooster,2023-01-20,7,Colors,LightGreen,1,0,1,1,1,LowerRight,UpArrow,Lock,Spike,Dodecagon,Lock,None,None,0.818181818181818,0.647069200134339,1
9,9,Wooster,2023-01-20,8,Chromatic,Puzzle,1,0,1,1,1,UpperLeft,LightTurquiose,DarkYellow,DarkBlue,DarkPurple,DarkPurple,None,None,0.988888888888889,0.374570108684194,1
9,9,Wooster,2023-01-20,9,Colors,DarkBlue,1,0,1,1,1,LowerLeft,Venn,Rabbit,Nail,Spike,Nail,None,None,0.0549450549450549,3.69050347393379,1
9,9,Wooster,2023-01-20,10,Chromatic,Bar,1,0,1,1,1,UpperRight,DarkGreen,DarkPurple,LightRed,DarkBlue,DarkGreen,None,None,0.833333333333333,0.549385191771994,1
9,9,Wooster,2023-01-20,11,Colors,LightTurquiose,1,0,1,1,1,UpperRight,Spade,Rabbit,Spike,Hat,Spade,None,None,0.806818181818182,0.699794552080641,1
9,9,Wooster,2023-01-20,12,Chromatic,Dodecagon,1,0,1,1,1,UpperLeft,DarkYellow,DarkRed,LightRed,DarkTurquiose,DarkTurquiose,None,None,0.032967032967033,4.55323648553071,1
9,9,Wooster,2023-01-20,13,Colors,DarkPurple,1,0,1,1,1,UpperRight,Puzzle,Spade,Venn,Lock,Puzzle,None,None,0.67741935483871,0.789558901924308,1
9,9,Wooster,2023-01-20,14,Chromatic,UpArrow,1,0,1,1,1,UpperLeft,DarkPurple,LightGray,DarkYellow,DarkRed,DarkRed,None,None,0.684782608695652,0.718237332486714,1
9,9,Wooster,2023-01-20,15,Colors,DarkTurquiose,1,0,1,1,1,LowerRight,Rabbit,Dodecagon,Nail,UpArrow,Dodecagon,None,None,0.0674157303370786,4.01616259386116,1
9,9,Wooster,2023-01-20,16,Chromatic,Spike,1,0,1,1,1,LowerRight,DarkRed,DarkYellow,DarkGreen,DarkTurquiose,DarkYellow,None,None,0.703296703296703,0.536085786732017,1
9,9,Wooster,2023-01-20,17,Colors,LightPurple,1,0,1,1,1,UpperRight,Rabbit,Hourglass,Dodecagon,Venn,Rabbit,None,None,1,0.297893449799075,1
9,9,Wooster,2023-01-20,18,Chromatic,Sawblade,1,0,1,1,1,UpperRight,LightBlue,DarkTurquiose,DarkRed,LightGreen,LightBlue,None,None,0.122222222222222,3.58404992749344,1
9,9,Wooster,2023-01-20,19,Colors,DarkRed,1,0,1,1,1,UpperLeft,Venn,Spade,Sawblade,UpArrow,UpArrow,LowerLeft,Sawblade,0.775280898876405,0.544762168844064,1
9,9,Wooster,2023-01-20,20,Chromatic,Hourglass,1,0,1,1,1,UpperRight,LightRed,DarkPurple,LightBlue,LightGray,LightRed,None,None,0,10.6497302521847,1
9,9,Wooster,2023-01-20,21,Colors,DarkGreen,1,0,1,1,1,UpperLeft,Puzzle,Venn,Spike,Bar,Bar,None,None,0,10.1618836675184,1
9,9,Wooster,2023-01-20,22,Chromatic,Hat,1,0,1,1,1,LowerRight,DarkYellow,DarkGray,DarkRed,LightBlue,DarkGray,None,None,0,9.90514738500197,1
