IMA10	IMA11	IMA12	IMA13	IMA9
DarkTurquiose_Probe	Spike_Probe	LightGray_Probe	Bar_Probe	DarkGray_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkTurquiose_Choice	Spike_Choice	LightGray_Choice	Bar_Choice	DarkGray_Choice
Spike_Probe	DarkTurquiose_Probe	Spade_Probe	LightGreen_Probe	UpArrow_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Spike_Choice	DarkTurquiose_Choice	Spade_Choice	LightGreen_Choice	UpArrow_Choice
DarkBlue_Probe	Puzzle_Probe	LightPurple_Probe	Hourglass_Probe	LightYellow_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkBlue_Choice	Puzzle_Choice	LightPurple_Choice	Hourglass_Choice	LightYellow_Choice
Puzzle_Probe	LightGray_Probe	Hat_Probe	LightYellow_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Puzzle_Choice	LightGray_Choice	Hat_Choice	LightYellow_Choice	Dodecagon_Choice
LightGreen_Probe	Sawblade_Probe	LightBlue_Probe	Spike_Probe	LightBlue_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightGreen_Choice	Sawblade_Choice	LightBlue_Choice	Spike_Choice	LightBlue_Choice
Sawblade_Probe	DarkGreen_Probe	Diamond_Probe	DarkPurple_Probe	Diamond_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Sawblade_Choice	DarkGreen_Choice	Diamond_Choice	DarkPurple_Choice	Diamond_Choice
DarkGray_Probe	Venn_Probe	DarkTurquiose_Probe	Spade_Probe	LightGray_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkGray_Choice	Venn_Choice	DarkTurquiose_Choice	Spade_Choice	LightGray_Choice
Bar_Probe	DarkRed_Probe	Spike_Probe	DarkGreen_Probe	Puzzle_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Bar_Choice	DarkRed_Choice	Spike_Choice	DarkGreen_Choice	Puzzle_Choice
LightTurquiose_Probe	Diamond_Probe	LightYellow_Probe	Rabbit_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightTurquiose_Choice	Diamond_Choice	LightYellow_Choice	Rabbit_Choice	DarkTurquiose_Choice
Hourglass_Probe	DarkPurple_Probe	Rabbit_Probe	DarkRed_Probe	Nail_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Hourglass_Choice	DarkPurple_Choice	Rabbit_Choice	DarkRed_Choice	Nail_Choice
DarkYellow_Probe	Dodecagon_Probe	DarkGreen_Probe	Venn_Probe	DarkPurple_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkYellow_Choice	Dodecagon_Choice	DarkGreen_Choice	Venn_Choice	DarkPurple_Choice
Lock_Probe	DarkYellow_Probe	Dodecagon_Probe	LightBlue_Probe	Lock_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Lock_Choice	DarkYellow_Choice	Dodecagon_Choice	LightBlue_Choice	Lock_Choice
LightGray_Probe	Spade_Probe	LightGreen_Probe	Puzzle_Probe	DarkRed_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightGray_Choice	Spade_Choice	LightGreen_Choice	Puzzle_Choice	DarkRed_Choice
Dodecagon_Probe	DarkBlue_Probe	UpArrow_Probe	DarkGray_Probe	Hourglass_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Dodecagon_Choice	DarkBlue_Choice	UpArrow_Choice	DarkGray_Choice	Hourglass_Choice
DarkRed_Probe	UpArrow_Probe	DarkPurple_Probe	Lock_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkRed_Choice	UpArrow_Choice	DarkPurple_Choice	Lock_Choice	DarkYellow_Choice
Hat_Probe	DarkGray_Probe	Hourglass_Probe	DarkBlue_Probe	Rabbit_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Hat_Choice	DarkGray_Choice	Hourglass_Choice	DarkBlue_Choice	Rabbit_Choice
LightYellow_Probe	Nail_Probe	DarkGray_Probe	Diamond_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightYellow_Choice	Nail_Choice	DarkGray_Choice	Diamond_Choice	DarkBlue_Choice
Nail_Probe	LightRed_Probe	Bar_Probe	DarkTurquiose_Probe	Hat_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Nail_Choice	LightRed_Choice	Bar_Choice	DarkTurquiose_Choice	Hat_Choice
LightPurple_Probe	Bar_Probe	LightTurquiose_Probe	Sawblade_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightPurple_Choice	Bar_Choice	LightTurquiose_Choice	Sawblade_Choice	LightTurquiose_Choice
Diamond_Probe	LightBlue_Probe	Lock_Probe	LightRed_Probe	Bar_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Diamond_Choice	LightBlue_Choice	Lock_Choice	LightRed_Choice	Bar_Choice
LightBlue_Probe	Hat_Probe	DarkYellow_Probe	Nail_Probe	LightGreen_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightBlue_Choice	Hat_Choice	DarkYellow_Choice	Nail_Choice	LightGreen_Choice
UpArrow_Probe	LightGreen_Probe	Nail_Probe	DarkYellow_Probe	Sawblade_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
UpArrow_Choice	LightGreen_Choice	Nail_Choice	DarkYellow_Choice	Sawblade_Choice
DarkGreen_Probe	Rabbit_Probe	LightRed_Probe	Hat_Probe	LightPurple_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkGreen_Choice	Rabbit_Choice	LightRed_Choice	Hat_Choice	LightPurple_Choice
Spade_Probe	LightYellow_Probe	Puzzle_Probe	LightGray_Probe	Spike_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Spade_Choice	LightYellow_Choice	Puzzle_Choice	LightGray_Choice	Spike_Choice
LightRed_Probe	Hourglass_Probe	DarkBlue_Probe	Dodecagon_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
LightRed_Choice	Hourglass_Choice	DarkBlue_Choice	Dodecagon_Choice	DarkGreen_Choice
Rabbit_Probe	LightTurquiose_Probe	Venn_Probe	LightPurple_Probe	Spade_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Rabbit_Choice	LightTurquiose_Choice	Venn_Choice	LightPurple_Choice	Spade_Choice
DarkPurple_Probe	Lock_Probe	DarkRed_Probe	UpArrow_Probe	LightRed_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
DarkPurple_Choice	Lock_Choice	DarkRed_Choice	UpArrow_Choice	LightRed_Choice
Venn_Probe	LightPurple_Probe	Sawblade_Probe	LightTurquiose_Probe	Venn_Probe
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Venn_Choice	LightPurple_Choice	Sawblade_Choice	LightTurquiose_Choice	Venn_Choice
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
Background	Background	Background	Background	Background
