Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,10,Wooster,2023-01-20,1,Colors,DarkTurquiose,1,0,1,2,1,LowerRight,Hourglass,Dodecagon,Nail,Rabbit,Dodecagon,UpperRight,Hourglass,0.166666666666667,1.56702887445122,1
10,10,Wooster,2023-01-20,2,Chromatic,Spike,1,1,1,2,1,UpperRight,DarkYellow,LightGray,DarkPurple,DarkBlue,DarkYellow,UpperRight,DarkYellow,0.188888888888889,1.3050347695818,1
10,10,Wooster,2023-01-20,3,Colors,DarkBlue,1,1,1,2,1,LowerRight,Rabbit,Nail,Hat,Puzzle,Nail,LowerRight,Nail,0.307692307692308,4.73901493654891,1
10,10,Wooster,2023-01-20,4,Chromatic,Puzzle,1,0,1,2,1,LowerRight,DarkGreen,DarkPurple,DarkBlue,LightGreen,DarkPurple,LowerLeft,DarkBlue,0.0555555555555556,4.51442948067178,1
10,10,Wooster,2023-01-20,5,Colors,LightGreen,1,0,1,2,1,UpperRight,Lock,Spade,Puzzle,Rabbit,Lock,UpperLeft,Rabbit,0.604395604395604,0.503408595499923,1
10,10,Wooster,2023-01-20,6,Chromatic,Sawblade,1,0,1,2,1,UpperLeft,DarkGreen,DarkPurple,LightRed,LightBlue,LightBlue,LowerRight,DarkPurple,0.877777777777778,0.241598668269242,1
10,10,Wooster,2023-01-20,7,Colors,DarkGray,1,1,1,2,1,UpperRight,Hat,Venn,Diamond,Bar,Hat,UpperRight,Hat,0.577777777777778,0.422164267368882,1
10,10,Wooster,2023-01-20,8,Chromatic,Bar,1,0,1,2,1,UpperRight,DarkGreen,LightGray,DarkRed,DarkPurple,DarkGreen,UpperLeft,DarkPurple,0,4.09101366680477,1
10,10,Wooster,2023-01-20,9,Colors,LightTurquiose,1,0,1,2,1,LowerRight,Bar,Spade,Nail,Venn,Spade,LowerLeft,Nail,0.791208791208791,0.294048898935619,1
10,10,Wooster,2023-01-20,10,Chromatic,Hourglass,1,0,1,2,1,LowerRight,LightBlue,LightRed,DarkPurple,DarkRed,LightRed,UpperRight,LightBlue,0.725274725274725,0.335652571943602,1
10,10,Wooster,2023-01-20,11,Colors,DarkYellow,1,0,1,2,1,UpperLeft,UpArrow,Venn,Hourglass,Spike,Spike,UpperRight,UpArrow,0.736263736263736,0.355634762244167,1
10,10,Wooster,2023-01-20,12,Chromatic,Lock,1,1,1,2,1,LowerLeft,DarkPurple,LightBlue,LightGreen,DarkRed,LightGreen,LowerLeft,LightGreen,0.0222222222222222,4.25848298164152,1
10,10,Wooster,2023-01-20,13,Colors,LightGray,1,1,1,2,1,UpperRight,Venn,UpArrow,Nail,Puzzle,Venn,UpperRight,Venn,0.644444444444444,0.423375109467951,1
