Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
13,13,Wooster,2023-01-20,1,Chromatic,Bar,1,0,1,2,1,LowerRight,DarkRed,DarkGreen,LightRed,DarkGray,DarkGreen,UpperRight,DarkRed,0.954545454545455,0.272756587368372,1
13,13,Wooster,2023-01-20,2,Colors,LightGreen,1,0,1,2,1,LowerLeft,Puzzle,Sawblade,Lock,Spike,Lock,UpperRight,Puzzle,1,0.233198875950082,1
13,13,Wooster,2023-01-20,3,Chromatic,Hourglass,1,0,1,2,1,LowerLeft,DarkGreen,DarkTurquiose,LightRed,LightTurquiose,LightRed,UpperLeft,LightTurquiose,1,0.226810796656891,1
13,13,Wooster,2023-01-20,4,Colors,LightYellow,1,0,1,2,1,LowerLeft,Puzzle,UpArrow,Diamond,Sawblade,Diamond,UpperLeft,Sawblade,0.235955056179775,3.64446922470816,1
13,13,Wooster,2023-01-20,5,Chromatic,Spike,1,0,1,2,1,LowerRight,LightGreen,DarkYellow,DarkRed,LightTurquiose,DarkYellow,UpperRight,LightGreen,1,0.283796309717752,1
13,13,Wooster,2023-01-20,6,Colors,DarkPurple,1,0,1,2,1,LowerRight,Lock,Puzzle,Sawblade,Rabbit,Puzzle,UpperRight,Lock,1,0.257081774742376,1
13,13,Wooster,2023-01-20,7,Chromatic,Spade,1,1,1,2,1,LowerLeft,DarkTurquiose,DarkGray,LightTurquiose,LightGray,LightTurquiose,LowerLeft,LightTurquiose,1,0.325185608598077,1
13,13,Wooster,2023-01-20,8,Colors,DarkGreen,1,1,1,2,1,LowerRight,Hourglass,Bar,Sawblade,Lock,Bar,LowerRight,Bar,0.241758241758242,3.2018599259682,1
13,13,Wooster,2023-01-20,9,Chromatic,Rabbit,1,0,1,2,1,UpperLeft,LightGreen,DarkPurple,DarkRed,LightPurple,LightPurple,UpperRight,LightGreen,1,0.280983670832886,1
13,13,Wooster,2023-01-20,10,Colors,DarkRed,1,0,1,2,1,LowerLeft,Venn,Lock,UpArrow,Nail,UpArrow,UpperRight,Venn,0.9,0.322340977120631,1
13,13,Wooster,2023-01-20,11,Chromatic,Venn,1,0,1,2,1,LowerRight,LightPurple,LightGray,DarkPurple,LightYellow,LightGray,UpperLeft,LightYellow,1,0.416788240216171,1
13,13,Wooster,2023-01-20,12,Colors,LightBlue,1,0,1,2,1,LowerLeft,Spike,Lock,Sawblade,Hourglass,Sawblade,UpperLeft,Hourglass,0.150537634408602,3.92713832380836,1
13,13,Wooster,2023-01-20,13,Chromatic,Puzzle,1,0,1,2,1,LowerRight,DarkYellow,DarkPurple,DarkBlue,LightTurquiose,DarkPurple,UpperLeft,LightTurquiose,0.966666666666667,0.509751413819979,1
13,13,Wooster,2023-01-20,14,Colors,DarkGray,1,0,1,2,1,UpperLeft,Bar,Nail,Spike,Hat,Hat,LowerRight,Nail,1,0.392557643405746,1
13,13,Wooster,2023-01-20,15,Chromatic,Lock,1,1,1,2,1,LowerLeft,LightRed,LightPurple,LightGreen,LightYellow,LightGreen,LowerLeft,LightGreen,1,0.438507839972086,1
13,13,Wooster,2023-01-20,16,Colors,DarkBlue,1,1,1,2,1,LowerRight,Venn,Nail,Diamond,UpArrow,Nail,LowerRight,Nail,0.175824175824176,4.12354905286402,1
13,13,Wooster,2023-01-20,17,Chromatic,Diamond,1,0,1,2,1,LowerRight,DarkPurple,LightYellow,DarkTurquiose,LightGreen,LightYellow,UpperLeft,LightGreen,1,0.372791225330278,1
13,13,Wooster,2023-01-20,18,Colors,DarkTurquiose,1,0,1,2,1,UpperLeft,Spike,Bar,Nail,Dodecagon,Dodecagon,LowerLeft,Nail,1,0.369535770362132,1
13,13,Wooster,2023-01-20,19,Chromatic,Sawblade,1,0,1,2,1,LowerRight,LightPurple,LightBlue,LightGreen,LightYellow,LightBlue,LowerLeft,LightGreen,0.89010989010989,0.492878803563348,1
13,13,Wooster,2023-01-20,20,Colors,LightRed,1,0,1,2,1,UpperLeft,Puzzle,Nail,Diamond,Hourglass,Hourglass,UpperRight,Puzzle,0.166666666666667,3.75211544113436,1
13,13,Wooster,2023-01-20,21,Chromatic,Nail,1,0,1,2,1,UpperLeft,DarkPurple,LightTurquiose,LightPurple,DarkBlue,DarkBlue,LowerRight,LightTurquiose,0.910112359550562,0.397484214441567,1
13,13,Wooster,2023-01-20,22,Colors,DarkYellow,1,0,1,2,1,UpperRight,Spike,Hourglass,Bar,Nail,Spike,LowerLeft,Bar,0.923076923076923,0.387816188816765,1
13,13,Wooster,2023-01-20,23,Chromatic,Hat,1,0,1,2,1,LowerRight,LightTurquiose,DarkGray,LightBlue,LightGreen,DarkGray,UpperRight,LightTurquiose,1,0.433259216281691,1
13,13,Wooster,2023-01-20,24,Colors,LightGray,1,0,1,2,1,LowerLeft,Nail,Hourglass,Venn,Hat,Venn,UpperLeft,Hat,0.166666666666667,4.25778684505364,1
13,13,Wooster,2023-01-20,25,Chromatic,Dodecagon,1,1,1,2,1,LowerLeft,DarkGray,DarkRed,DarkTurquiose,LightRed,DarkTurquiose,LowerLeft,DarkTurquiose,0.872340425531915,0.371357243398604,1
13,13,Wooster,2023-01-20,26,Colors,LightPurple,1,1,1,2,1,UpperRight,Rabbit,Bar,Hourglass,Spike,Rabbit,UpperRight,Rabbit,1,0.397484214441567,1
13,13,Wooster,2023-01-20,27,Chromatic,UpArrow,1,1,1,2,1,UpperRight,DarkRed,LightRed,DarkPurple,LightGreen,DarkRed,UpperRight,DarkRed,1,0.501855067694723,1
13,13,Wooster,2023-01-20,28,Colors,LightTurquiose,1,0,1,2,1,LowerLeft,Spike,Rabbit,Spade,Hat,Spade,UpperLeft,Hat,0.129032258064516,3.5092851673962,1
