Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
3,3,Wooster,2023-01-23,1,Colors,LightYellow,1,1,1,0.5,1,UpperRight,Diamond,Rabbit,UpArrow,Venn,Diamond,UpperRight,Diamond,0.777777777777778,0.762545785036045,1
3,3,Wooster,2023-01-23,2,Chromatic,Spade,1,0,1,0.5,1,LowerLeft,DarkPurple,LightBlue,LightTurquiose,DarkRed,LightTurquiose,UpperLeft,DarkRed,0.5,1.02681161263755,1
3,3,Wooster,2023-01-23,3,Colors,LightBlue,1,0,1,0.5,1,UpperRight,Sawblade,Puzzle,UpArrow,Nail,Sawblade,LowerLeft,UpArrow,0.33695652173913,2.44892173289166,1
3,3,Wooster,2023-01-23,4,Chromatic,Venn,1,0,1,0.5,1,UpperRight,LightGray,LightPurple,DarkYellow,DarkGray,LightGray,LowerRight,LightPurple,0.758241758241758,0.756697319902146,1
3,3,Wooster,2023-01-23,5,Colors,DarkBlue,1,1,1,0.5,1,LowerLeft,Diamond,UpArrow,Nail,Puzzle,Nail,LowerLeft,Nail,0,4.19687060432557,1
3,3,Wooster,2023-01-23,6,Chromatic,Hourglass,1,1,1,0.5,1,UpperRight,LightRed,LightGreen,DarkGreen,DarkPurple,LightRed,UpperRight,LightRed,0.0224719101123595,10.8998408005136,1
3,3,Wooster,2023-01-23,7,Colors,DarkTurquiose,1,0,1,0.5,1,LowerLeft,Lock,UpArrow,Dodecagon,Hourglass,Dodecagon,LowerRight,UpArrow,0.48314606741573,1.05090107774862,1
3,3,Wooster,2023-01-23,8,Chromatic,Bar,1,1,1,0.5,1,UpperRight,DarkGreen,DarkGray,LightRed,DarkTurquiose,DarkGreen,UpperRight,DarkGreen,0.224719101123595,2.15805541715875,1
3,3,Wooster,2023-01-23,9,Colors,LightPurple,1,0,1,0.5,1,LowerLeft,Puzzle,Hat,Rabbit,Venn,Rabbit,UpperRight,Puzzle,1,0.543886738596064,1
3,3,Wooster,2023-01-23,10,Chromatic,Sawblade,1,1,1,0.5,1,UpperRight,LightBlue,LightGray,LightPurple,LightGreen,LightBlue,UpperRight,LightBlue,0.131868131868132,3.8380566016286,1
