Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,10,Wooster,2023-01-23,1,Chromatic,Venn,1,0,1,1,1,LowerRight,DarkPurple,LightGray,LightBlue,DarkTurquiose,LightGray,UpperRight,DarkPurple,0.966292134831461,0.56268459681197,1
10,10,Wooster,2023-01-23,2,Colors,DarkGray,1,0,1,1,1,UpperRight,Hat,Dodecagon,UpArrow,Bar,Hat,LowerLeft,UpArrow,0.898876404494382,0.715500395155218,1
10,10,Wooster,2023-01-23,3,Chromatic,Rabbit,1,1,1,1,1,LowerRight,DarkGray,LightPurple,DarkGreen,LightTurquiose,LightPurple,LowerRight,LightPurple,0.488888888888889,1.40767564972824,1
10,10,Wooster,2023-01-23,4,Colors,DarkBlue,1,1,1,1,1,UpperRight,Nail,Spade,Sawblade,Spike,Nail,UpperRight,Nail,0.978260869565217,0.701377929478009,1
10,10,Wooster,2023-01-23,5,Chromatic,Puzzle,1,1,1,1,1,UpperRight,DarkPurple,LightYellow,LightGreen,LightGray,DarkPurple,UpperRight,DarkPurple,0.820224719101124,0.789558901924308,1
10,10,Wooster,2023-01-23,6,Colors,LightPurple,1,0,1,1,1,LowerLeft,Diamond,Venn,Rabbit,UpArrow,Rabbit,UpperRight,Diamond,0.211111111111111,3.94982179094302,1
10,10,Wooster,2023-01-23,7,Chromatic,Hat,1,0,1,1,1,LowerRight,LightBlue,DarkGray,LightGray,DarkTurquiose,DarkGray,UpperLeft,DarkTurquiose,0.967032967032967,0.486230125824369,1
10,10,Wooster,2023-01-23,8,Colors,LightTurquiose,1,0,1,1,1,UpperRight,Spade,Diamond,Bar,Lock,Spade,UpperLeft,Lock,1,0.526522899153116,1
10,10,Wooster,2023-01-23,9,Chromatic,Nail,1,1,1,1,1,LowerLeft,LightRed,DarkGreen,DarkBlue,DarkRed,DarkBlue,LowerLeft,DarkBlue,0.431818181818182,3.23506798079931,1
10,10,Wooster,2023-01-23,10,Colors,LightRed,1,0,1,1,1,LowerLeft,Puzzle,Bar,Hourglass,Rabbit,Hourglass,UpperRight,Puzzle,0.967032967032967,0.578262107996861,1
10,10,Wooster,2023-01-23,11,Chromatic,Diamond,1,1,1,1,1,UpperLeft,LightPurple,DarkGreen,LightGray,LightYellow,LightYellow,UpperLeft,LightYellow,0.436170212765957,1.12496806534375,1
10,10,Wooster,2023-01-23,12,Colors,DarkTurquiose,1,1,1,1,1,LowerRight,Lock,Dodecagon,Puzzle,Hourglass,Dodecagon,LowerRight,Dodecagon,0,4.12616181556935,1
10,10,Wooster,2023-01-23,13,Chromatic,Hourglass,1,1,1,1,1,UpperRight,LightRed,DarkYellow,LightYellow,LightGreen,LightRed,UpperRight,LightRed,0.149425287356322,9.88598972623245,1
