Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
8,8,Jeeves,2023-01-26,1,Achromatic,House,1,1,1,0,1,UpperRight,House,Ditto,Crowbar,Tie,House,UpperRight,House,0.244444444444444,1.66749920094909,1
8,8,Jeeves,2023-01-26,2,Colors,LightRed,1,0,1,0,1,UpperLeft,Spade,Hat,Dodecagon,Hourglass,Hourglass,UpperRight,Spade,0.0106382978723404,2.51791015070135,1
8,8,Jeeves,2023-01-26,3,Chromatic,Spade,1,1,1,0,1,LowerRight,DarkGreen,LightTurquiose,DarkGray,LightGreen,LightTurquiose,LowerRight,LightTurquiose,1,0.547077229418655,1
8,8,Jeeves,2023-01-26,4,Achromatic,Pacman,1,1,1,0,1,UpperLeft,Star,Heart,LeftArrow,Pacman,Pacman,UpperLeft,Pacman,0.032967032967033,3.41830807271542,1
8,8,Jeeves,2023-01-26,5,Colors,DarkGreen,1,1,1,0,1,UpperRight,Bar,UpArrow,Hourglass,Venn,Bar,UpperRight,Bar,0.827586206896552,0.358622706466018,1
8,8,Jeeves,2023-01-26,6,Chromatic,Puzzle,1,0,1,0,1,LowerLeft,LightBlue,DarkGreen,DarkPurple,DarkTurquiose,DarkPurple,UpperRight,LightBlue,0.144444444444444,2.93052309948403,1
8,8,Jeeves,2023-01-26,7,Achromatic,Chevron,1,1,1,0,1,LowerRight,House,Chevron,Bell,Gem,Chevron,LowerRight,Chevron,0.835164835164835,0.568741840030077,1
8,8,Jeeves,2023-01-26,8,Colors,DarkGray,1,0,1,0,1,LowerLeft,Bar,Spade,Hat,Dodecagon,Hat,UpperLeft,Dodecagon,0.032258064516129,4.21683373944748,1
8,8,Jeeves,2023-01-26,9,Chromatic,Sawblade,1,1,1,0,1,LowerLeft,DarkGreen,DarkPurple,LightBlue,LightTurquiose,LightBlue,LowerLeft,LightBlue,0.7,0.596911259734973,1
8,8,Jeeves,2023-01-26,10,Achromatic,Gem,1,1,1,0,1,UpperLeft,Crowbar,Star,Heart,Gem,Gem,UpperLeft,Gem,0,4.2608354455397,1
8,8,Jeeves,2023-01-26,11,Colors,LightBlue,1,1,1,0,1,LowerLeft,Spike,Lock,Sawblade,UpArrow,Sawblade,LowerLeft,Sawblade,0.747252747252747,0.761170875589564,1
8,8,Jeeves,2023-01-26,12,Chromatic,Hourglass,1,1,1,0,1,LowerLeft,DarkGray,DarkGreen,LightRed,DarkYellow,LightRed,LowerLeft,LightRed,0.0674157303370786,3.79543398061491,1
8,8,Jeeves,2023-01-26,13,Achromatic,Tie,1,1,1,0,1,UpperLeft,Bell,Chevron,Stickyhand,Tie,Tie,UpperLeft,Tie,0.655555555555556,0.654051985592625,1
8,8,Jeeves,2023-01-26,14,Colors,DarkPurple,1,0,1,0,1,LowerLeft,Rabbit,UpArrow,Puzzle,Hourglass,Puzzle,UpperRight,Rabbit,0.141304347826087,2.37666564332932,1
8,8,Jeeves,2023-01-26,15,Chromatic,Hat,1,0,1,0,1,LowerRight,DarkTurquiose,DarkGray,LightRed,LightYellow,DarkGray,UpperRight,DarkTurquiose,1,0.47269537211665,1
8,8,Jeeves,2023-01-26,16,Achromatic,Heart,1,1,1,0,1,UpperLeft,Pacman,Acorn,LeftArrow,Heart,Heart,UpperLeft,Heart,0.0549450549450549,3.92005767786528,1
8,8,Jeeves,2023-01-26,17,Colors,DarkTurquiose,1,1,1,0,1,LowerLeft,Nail,Spike,Dodecagon,Puzzle,Dodecagon,LowerLeft,Dodecagon,0.857142857142857,0.492406687152375,1
8,8,Jeeves,2023-01-26,18,Chromatic,Lock,1,1,1,0,1,LowerLeft,LightBlue,DarkGreen,LightGreen,DarkYellow,LightGreen,LowerLeft,LightGreen,0.123595505617978,2.91984319644324,1
8,8,Jeeves,2023-01-26,19,Achromatic,Jellyfish,1,1,1,0,1,UpperRight,Jellyfish,Chevron,Stickyhand,Star,Jellyfish,UpperRight,Jellyfish,0.909090909090909,0.598963077050668,1
8,8,Jeeves,2023-01-26,20,Colors,LightYellow,1,1,1,0,1,LowerLeft,Hat,Spade,Diamond,Puzzle,Diamond,LowerLeft,Diamond,0.0333333333333333,4.56665813788062,1
8,8,Jeeves,2023-01-26,21,Chromatic,Venn,1,0,1,0,1,UpperRight,LightGray,LightTurquiose,DarkYellow,DarkPurple,LightGray,LowerRight,LightTurquiose,0.760416666666667,0.800193900621104,1
8,8,Jeeves,2023-01-26,22,Achromatic,Acorn,1,1,1,0,1,UpperRight,Acorn,Gem,LeftArrow,Ditto,Acorn,UpperRight,Acorn,0.0989010989010989,4.37541162682972,1
8,8,Jeeves,2023-01-26,23,Colors,DarkBlue,1,0,1,0,1,UpperRight,Nail,Venn,Rabbit,UpArrow,Nail,UpperLeft,UpArrow,0.611111111111111,0.834292935170537,1
8,8,Jeeves,2023-01-26,24,Chromatic,Dodecagon,1,0,1,0,1,UpperLeft,LightYellow,DarkYellow,LightPurple,DarkTurquiose,DarkTurquiose,LowerLeft,LightPurple,0,3.93971729331894,1
8,8,Jeeves,2023-01-26,25,Achromatic,Stickyhand,1,1,1,0,1,LowerRight,House,Stickyhand,Pacman,Star,Stickyhand,LowerRight,Stickyhand,0.28735632183908,9.11986789628099,1
8,8,Jeeves,2023-01-26,26,Colors,LightPurple,1,0,1,0,1,LowerLeft,Venn,Lock,Rabbit,Spade,Rabbit,UpperLeft,Spade,0,4.51787607424099,1
8,8,Jeeves,2023-01-26,27,Chromatic,Diamond,1,1,1,0,1,UpperRight,LightYellow,DarkRed,LightTurquiose,LightGreen,LightYellow,UpperRight,LightYellow,0.89010989010989,0.366992735701897,1
8,8,Jeeves,2023-01-26,28,Achromatic,Crowbar,1,1,1,0,1,UpperRight,Crowbar,Heart,Stickyhand,Jellyfish,Crowbar,UpperRight,Crowbar,0.0421052631578947,4.30686217042736,1
8,8,Jeeves,2023-01-26,29,Colors,LightGray,1,0,1,0,1,UpperRight,Venn,UpArrow,Puzzle,Hat,Venn,UpperLeft,Hat,0.43956043956044,1.54885547041218,1
8,8,Jeeves,2023-01-26,30,Chromatic,UpArrow,1,1,1,0,1,UpperLeft,DarkGray,LightPurple,DarkBlue,DarkRed,DarkRed,UpperLeft,DarkRed,0,4.13295606950713,1
8,8,Jeeves,2023-01-26,31,Achromatic,Ditto,1,1,1,0,1,UpperLeft,LeftArrow,Pacman,Jellyfish,Ditto,Ditto,UpperLeft,Ditto,0.617977528089888,0.77072528715158,1
8,8,Jeeves,2023-01-26,32,Colors,DarkRed,1,1,1,0,1,LowerLeft,Puzzle,Nail,UpArrow,Dodecagon,UpArrow,LowerLeft,UpArrow,0,5.52095435260473,1
8,8,Jeeves,2023-01-26,33,Chromatic,Bar,1,0,1,0,1,UpperLeft,DarkBlue,LightRed,LightBlue,DarkGreen,DarkGreen,UpperRight,DarkBlue,0.91304347826087,0.508064854763052,1
8,8,Jeeves,2023-01-26,34,Achromatic,LeftArrow,1,1,1,0,1,LowerRight,House,LeftArrow,Bell,Tie,LeftArrow,LowerRight,LeftArrow,0.0537634408602151,4.96669888309726,1
8,8,Jeeves,2023-01-26,35,Colors,LightGreen,1,1,1,0,1,UpperLeft,Rabbit,Spade,Nail,Lock,Lock,UpperLeft,Lock,0.666666666666667,0.861703665726781,1
8,8,Jeeves,2023-01-26,36,Chromatic,Spike,1,1,1,0,1,UpperLeft,DarkGreen,LightGray,LightGreen,DarkYellow,DarkYellow,UpperLeft,DarkYellow,0,4.67511501324114,1
8,8,Jeeves,2023-01-26,37,Achromatic,Bell,1,1,1,0,1,UpperRight,Bell,Chevron,Tie,Heart,Bell,UpperRight,Bell,0.450549450549451,1.08996217107321,1
8,8,Jeeves,2023-01-26,38,Colors,DarkYellow,1,0,1,0,1,LowerLeft,UpArrow,Hourglass,Spike,Diamond,Spike,UpperLeft,Diamond,0.147727272727273,3.75807798649705,1
8,8,Jeeves,2023-01-26,39,Chromatic,Rabbit,1,1,1,0,1,LowerRight,DarkTurquiose,LightPurple,LightGreen,DarkPurple,LightPurple,LowerRight,LightPurple,0.647727272727273,0.638899552981847,1
