Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
20,20,Wooster,2023-01-27,1,Chromatic,Lock,1,1,2,0,1,UpperRight,LightGreen,DarkYellow,LightTurquiose,DarkGreen,LightGreen,UpperRight,LightGreen,0.949152542372881,0.553003918094414,1
20,20,Wooster,2023-01-27,2,Colors,LightTurquiose,1,1,2,0,1,UpperLeft,Nail,Venn,Hat,Spade,Spade,UpperLeft,Spade,0.811111111111111,0.539283176770136,1
20,20,Wooster,2023-01-27,3,Chromatic,Dodecagon,1,1,2,0,1,LowerLeft,DarkBlue,LightGreen,DarkTurquiose,DarkPurple,DarkTurquiose,LowerLeft,DarkTurquiose,0.52247191011236,0.738744783790282,1
20,20,Wooster,2023-01-27,4,Colors,DarkGreen,1,1,2,0,1,UpperLeft,Dodecagon,Diamond,UpArrow,Bar,Bar,UpperLeft,Bar,0.906593406593407,0.407020023760885,1
20,20,Wooster,2023-01-27,5,Chromatic,Spike,1,1,2,0,1,LowerLeft,LightGreen,LightBlue,DarkYellow,DarkTurquiose,DarkYellow,LowerLeft,DarkYellow,0.692307692307692,0.541825792013683,1
20,20,Wooster,2023-01-27,6,Colors,DarkRed,1,0,2,0,1,UpperLeft,Puzzle,Hourglass,Bar,UpArrow,UpArrow,LowerRight,Hourglass,0.547486033519553,0.756035988856302,1
20,20,Wooster,2023-01-27,7,Chromatic,Diamond,1,1,2,0,1,UpperLeft,LightTurquiose,DarkPurple,DarkRed,LightYellow,LightYellow,UpperLeft,LightYellow,0.915730337078652,0.393164696992024,1
20,20,Wooster,2023-01-27,8,Colors,LightBlue,1,1,2,0,1,UpperRight,Sawblade,Hourglass,Spike,Puzzle,Sawblade,UpperRight,Sawblade,0.666666666666667,0.827439841127132,1
20,20,Wooster,2023-01-27,9,Chromatic,UpArrow,1,1,2,0,1,LowerLeft,LightYellow,DarkBlue,DarkRed,DarkGreen,DarkRed,LowerLeft,DarkRed,0.530386740331492,0.536833783735892,1
20,20,Wooster,2023-01-27,10,Colors,DarkPurple,1,0,2,0,1,LowerLeft,Dodecagon,Nail,Puzzle,Hat,Puzzle,LowerRight,Nail,0.188888888888889,10.7998333365971,1
20,20,Wooster,2023-01-27,11,Chromatic,Rabbit,1,1,2,0,1,UpperRight,LightPurple,LightGreen,LightTurquiose,DarkPurple,LightPurple,UpperRight,LightPurple,0.307692307692308,4.27651161327629,1
20,20,Wooster,2023-01-27,12,Colors,LightGray,1,1,2,0,1,UpperRight,Venn,Hourglass,Dodecagon,UpArrow,Venn,UpperRight,Venn,0.0604395604395604,10.5631107457432,1
20,20,Wooster,2023-01-27,13,Chromatic,Puzzle,1,0,2,0,1,UpperLeft,DarkGray,DarkGreen,DarkBlue,DarkPurple,DarkPurple,LowerLeft,DarkBlue,1,0.37613971965158,1
20,20,Wooster,2023-01-27,14,Colors,DarkGray,1,1,2,0,1,UpperLeft,Venn,Spade,Hourglass,Hat,Hat,UpperLeft,Hat,0.486033519553073,1.61279115412389,1
20,20,Wooster,2023-01-27,15,Chromatic,Spade,1,0,2,0,1,UpperLeft,LightGray,LightGreen,LightYellow,LightTurquiose,LightTurquiose,UpperRight,LightGray,0.565934065934066,0.67261630220164,1
