LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	247	193	203	0.93188	0.54266	0.59858
10	245	195	197	0.923	0.55055	0.55502
20	244	197	190	0.90541	0.56052	0.51439
30	240	198	184	0.87987	0.5722	0.47778
40	236	200	179	0.84729	0.58523	0.4461
50	231	203	174	0.80873	0.59923	0.42009
60	226	205	170	0.76533	0.61379	0.40032
70	219	207	168	0.7183	0.62855	0.38722
80	213	209	166	0.6689	0.6431	0.38104
90	206	211	166	0.61839	0.65709	0.38189
100	198	213	168	0.56808	0.67015	0.38972
110	190	215	171	0.51924	0.68196	0.40436
120	182	216	174	0.47314	0.69219	0.42548
130	175	217	179	0.43102	0.70057	0.4526
140	167	218	185	0.39404	0.70685	0.48512
150	162	218	191	0.36334	0.71079	0.52225
160	157	219	198	0.3399	0.71226	0.56308
170	154	218	204	0.3246	0.71112	0.60654
180	152	218	211	0.31812	0.70734	0.65142
190	153	217	217	0.32093	0.70096	0.69641
200	156	216	223	0.33322	0.6921	0.74009
210	160	215	228	0.35489	0.68096	0.78102
220	166	212	233	0.38547	0.66786	0.81778
230	173	211	237	0.42416	0.65318	0.849
240	182	208	240	0.46981	0.63739	0.87347
250	190	206	242	0.52093	0.62104	0.89022
260	199	203	243	0.57578	0.6047	0.89855
270	207	201	243	0.63242	0.58896	0.89809
280	216	198	242	0.68882	0.57437	0.88882
290	223	197	240	0.74297	0.56147	0.87111
300	229	195	237	0.79294	0.55069	0.84565
310	235	193	232	0.83705	0.54239	0.81345
320	240	193	228	0.87387	0.53681	0.77573
330	243	192	222	0.90231	0.53407	0.7339
340	245	192	216	0.92166	0.53421	0.68943
350	247	193	210	0.93152	0.53713	0.64384
