LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	246	192	200	0.93062	0.54351	0.59677
10	245	193	194	0.92207	0.55125	0.55257
20	243	194	186	0.90484	0.56103	0.51139
30	240	196	180	0.87966	0.57252	0.47432
40	236	198	175	0.84744	0.58535	0.44229
50	230	201	170	0.80922	0.59915	0.41604
60	225	202	166	0.76615	0.61353	0.39616
70	218	205	163	0.71941	0.62811	0.38307
80	211	207	162	0.67026	0.64249	0.37701
90	204	209	162	0.61998	0.65633	0.3781
100	196	211	164	0.56984	0.66927	0.38629
110	188	213	167	0.52112	0.68097	0.40138
120	180	214	171	0.47509	0.69114	0.42304
130	172	215	176	0.43298	0.69947	0.45079
140	165	216	182	0.39597	0.70573	0.48399
150	159	217	188	0.36518	0.70969	0.52184
160	154	217	195	0.34159	0.7112	0.56342
170	150	217	202	0.3261	0.71015	0.60762
180	149	216	209	0.31938	0.70649	0.65323
190	150	216	216	0.3219	0.70025	0.69889
200	152	214	222	0.33387	0.69155	0.74319
210	157	213	228	0.35518	0.68061	0.78464
220	163	211	233	0.3854	0.66771	0.82181
230	170	209	237	0.42371	0.65324	0.85332
240	179	207	240	0.46898	0.63768	0.87795
250	188	204	242	0.51975	0.62154	0.89472
260	196	201	243	0.57427	0.6054	0.90292
270	205	199	243	0.63064	0.58982	0.90219
280	213	197	242	0.68682	0.57539	0.89252
290	221	194	239	0.74081	0.5626	0.8743
300	228	193	236	0.7907	0.5519	0.84823
310	234	192	232	0.83481	0.54363	0.81535
320	239	190	226	0.8717	0.53804	0.77689
330	243	190	221	0.90029	0.53527	0.73429
340	245	190	214	0.91983	0.53532	0.68906
350	246	190	208	0.92996	0.53812	0.64273
