LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	247	194	203	0.93542	0.54239	0.59658
10	246	195	196	0.92752	0.54944	0.55395
20	244	196	190	0.91075	0.5586	0.51427
30	241	198	184	0.88586	0.56956	0.47859
40	237	200	179	0.85375	0.58196	0.44781
50	232	202	174	0.81546	0.59542	0.42263
60	227	204	171	0.77213	0.60957	0.40362
70	220	206	168	0.72498	0.62403	0.39117
80	213	209	167	0.67527	0.63843	0.38552
90	206	210	168	0.62428	0.65239	0.38676
100	198	212	169	0.5733	0.66557	0.39485
110	191	214	171	0.52365	0.67762	0.4096
120	183	215	176	0.4766	0.68822	0.43068
130	175	217	181	0.43342	0.69709	0.45761
140	168	218	186	0.3953	0.70396	0.48978
150	162	219	192	0.36339	0.7086	0.52643
160	156	219	198	0.33873	0.71084	0.56665
170	153	219	204	0.32222	0.71053	0.60937
180	151	218	211	0.31458	0.70761	0.65342
190	152	217	217	0.31631	0.7021	0.6975
200	154	216	223	0.32764	0.69409	0.74023
210	159	215	228	0.3485	0.68376	0.78018
220	165	213	233	0.37847	0.67139	0.81596
230	172	211	237	0.41677	0.65734	0.84625
240	180	209	240	0.46225	0.64206	0.86988
250	189	207	241	0.51345	0.62608	0.88588
260	198	204	242	0.56862	0.60994	0.8936
270	207	202	242	0.62581	0.59422	0.89268
280	214	200	241	0.68298	0.5795	0.88313
290	222	197	239	0.73807	0.5663	0.86532
300	229	196	236	0.78915	0.55507	0.83995
310	235	194	232	0.83446	0.54618	0.80801
320	240	194	227	0.87255	0.5399	0.77073
330	243	193	222	0.90229	0.53638	0.72948
340	245	193	216	0.92289	0.53568	0.68572
350	247	193	209	0.93396	0.53773	0.64095
