LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	254	190	193	0.99668	0.51996	0.58054
10	253	191	187	0.98825	0.52523	0.54453
20	251	192	181	0.96858	0.53277	0.51105
30	247	194	176	0.93855	0.54229	0.48098
40	242	195	171	0.89929	0.55349	0.45507
50	237	197	168	0.85209	0.566	0.4339
60	230	200	165	0.79835	0.57949	0.41794
70	222	201	162	0.73958	0.59357	0.40753
80	213	204	162	0.67734	0.60789	0.40284
90	203	206	162	0.61325	0.62208	0.40397
100	193	208	163	0.54892	0.63578	0.41087
110	183	210	165	0.48598	0.64863	0.42337
120	172	211	169	0.42605	0.66032	0.4412
130	161	213	173	0.37072	0.67051	0.46397
140	151	214	178	0.32153	0.67892	0.49115
150	141	215	183	0.27994	0.68528	0.52212
160	133	216	189	0.24728	0.68937	0.55611
170	127	216	195	0.22476	0.69099	0.59222
180	124	216	201	0.21332	0.69004	0.62946
190	124	215	206	0.21367	0.68645	0.66674
200	128	214	211	0.22616	0.68026	0.70289
210	134	213	216	0.25078	0.67159	0.7367
220	143	211	221	0.28705	0.66065	0.76699
230	153	210	224	0.33406	0.64776	0.79262
240	165	207	226	0.39042	0.63331	0.8126
250	177	206	229	0.45431	0.61779	0.82612
260	189	203	229	0.52355	0.60174	0.8326
270	201	200	229	0.5957	0.58574	0.83174
280	211	198	228	0.66814	0.57035	0.82357
290	221	196	226	0.73828	0.55614	0.80838
300	230	194	223	0.80361	0.5436	0.78679
310	238	192	219	0.8619	0.53316	0.75965
320	244	191	215	0.91126	0.52513	0.728
330	249	190	210	0.95021	0.51974	0.69302
340	252	190	204	0.97773	0.51709	0.65595
350	254	190	199	0.99327	0.51719	0.61805
