LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	256	191	196	0.99966	0.51912	0.58009
10	255	192	191	0.99102	0.52459	0.5439
20	252	194	185	0.97105	0.53235	0.51026
30	249	195	179	0.94067	0.5421	0.48006
40	244	197	175	0.901	0.55352	0.45403
50	238	199	171	0.85333	0.56626	0.43279
60	231	201	168	0.7991	0.57996	0.4168
70	223	203	167	0.73982	0.59424	0.40637
80	215	205	165	0.67707	0.60874	0.40171
90	205	207	166	0.61247	0.62308	0.4029
100	195	209	167	0.54766	0.6369	0.40988
110	184	211	170	0.48427	0.64985	0.4225
120	173	213	172	0.42394	0.66159	0.44048
130	163	214	177	0.36827	0.67181	0.46341
140	152	215	182	0.3188	0.6802	0.49079
150	143	216	187	0.27702	0.68651	0.52195
160	134	217	193	0.24425	0.6905	0.55614
170	129	217	198	0.2217	0.692	0.59246
180	126	217	204	0.21034	0.69088	0.62991
190	126	216	209	0.21085	0.6871	0.66739
200	129	216	215	0.2236	0.6807	0.70371
210	135	214	219	0.24855	0.6718	0.73768
220	145	212	224	0.28524	0.66061	0.76809
230	155	211	227	0.33273	0.64747	0.79381
240	167	209	230	0.38961	0.63279	0.81385
250	179	206	232	0.45406	0.61704	0.82738
260	191	204	233	0.52387	0.60079	0.83383
270	202	202	232	0.59658	0.58461	0.83292
280	213	199	231	0.66955	0.56909	0.82464
290	223	197	229	0.74017	0.55479	0.80932
300	232	195	226	0.80592	0.5422	0.78757
310	239	194	223	0.86456	0.53175	0.76024
320	245	192	218	0.91417	0.52376	0.72838
330	250	191	213	0.95328	0.51845	0.69319
340	253	191	208	0.98087	0.51592	0.65591
350	255	191	202	0.99637	0.51617	0.6178
