LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	251	184	189	0.97384	0.51792	0.57994
10	250	186	182	0.9646	0.52377	0.54253
20	247	187	176	0.94485	0.53193	0.50772
30	243	188	171	0.91544	0.54208	0.47644
40	238	190	166	0.87745	0.55391	0.44947
50	231	193	162	0.83212	0.56704	0.42742
60	224	195	158	0.78081	0.58109	0.41079
70	215	197	156	0.72494	0.5957	0.3999
80	206	200	155	0.666	0.61048	0.39497
90	196	202	155	0.60551	0.62505	0.39609
100	186	204	157	0.545	0.63905	0.4032
110	175	206	159	0.48602	0.65211	0.41613
120	165	207	163	0.43008	0.6639	0.43462
130	154	209	168	0.37866	0.6741	0.45823
140	144	210	173	0.33321	0.6824	0.48645
150	135	212	178	0.29508	0.68855	0.5186
160	128	212	184	0.26551	0.69232	0.55388
170	123	212	191	0.24558	0.69353	0.59138
180	120	212	197	0.23616	0.69208	0.63006
190	121	211	204	0.23787	0.68793	0.66878
200	124	210	209	0.251	0.68112	0.70633
210	130	209	214	0.27549	0.67178	0.74146
220	138	207	219	0.31084	0.66016	0.77293
230	149	205	223	0.35614	0.6466	0.79957
240	161	203	226	0.41005	0.63151	0.82036
250	172	200	228	0.47083	0.6154	0.83444
260	184	198	229	0.53639	0.59883	0.84123
270	196	195	228	0.60443	0.5824	0.8404
280	207	193	227	0.67248	0.5667	0.83198
290	217	190	225	0.7381	0.5523	0.81628
300	227	188	222	0.79897	0.53968	0.79393
310	235	186	218	0.853	0.52929	0.76581
320	241	185	213	0.89845	0.52143	0.733
330	246	184	208	0.93396	0.51632	0.69671
340	249	184	202	0.95862	0.51405	0.65825
350	251	184	196	0.97194	0.51461	0.6189
