LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	255	190	193	1.0043	0.51695	0.58205
10	254	190	187	0.99585	0.52235	0.54812
20	251	192	182	0.97593	0.53011	0.51659
30	247	193	177	0.94546	0.53992	0.48827
40	242	195	172	0.90557	0.55145	0.46387
50	236	197	169	0.85758	0.56437	0.44394
60	229	199	166	0.80292	0.57829	0.42891
70	221	201	164	0.74313	0.59283	0.4191
80	212	203	163	0.67978	0.60763	0.41468
90	202	206	163	0.61452	0.6223	0.41573
100	191	207	165	0.54898	0.63647	0.4222
110	181	210	167	0.48482	0.64979	0.43395
120	169	211	170	0.42369	0.66191	0.45071
130	158	212	174	0.3672	0.6725	0.47212
140	148	214	179	0.31692	0.68125	0.4977
150	138	215	183	0.27434	0.6879	0.52684
160	129	216	189	0.24083	0.69219	0.55884
170	123	216	195	0.21762	0.69395	0.59286
180	119	216	200	0.20568	0.69305	0.62795
190	119	215	206	0.20575	0.68942	0.6631
200	124	214	211	0.21822	0.6831	0.69719
210	130	213	216	0.24306	0.67419	0.7291
220	139	211	220	0.27983	0.66293	0.75769
230	150	210	223	0.32759	0.64963	0.7819
240	162	207	226	0.38494	0.6347	0.80078
250	174	205	227	0.45003	0.61865	0.81357
260	187	203	228	0.52063	0.60203	0.81971
270	199	200	228	0.59424	0.58545	0.81893
280	210	198	227	0.6682	0.56949	0.81123
290	221	195	225	0.73984	0.55475	0.79691
300	230	193	222	0.80659	0.54173	0.77655
310	237	192	218	0.86618	0.53087	0.75094
320	244	190	215	0.91666	0.52251	0.72108
330	249	190	209	0.95652	0.51687	0.68809
340	252	189	204	0.98473	0.51408	0.65313
350	254	189	198	1.0007	0.51414	0.6174
