Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
1,1,Wooster,2023-02-02,1,Colors,DarkGreen,1,1,3,0,1,LowerRight,Hat,Bar,Diamond,Lock,Bar,LowerRight,Bar,0.592727272727273,0.784634176442049,1
1,1,Wooster,2023-02-02,2,Colors,LightGreen,1,0,3,0,1,LowerRight,Diamond,Lock,Hat,Bar,Lock,UpperRight,Diamond,0.796296296296296,0.284770933478052,1
1,1,Wooster,2023-02-02,3,Chromatic,Lock,1,0,3,0,1,LowerRight,DarkGray,LightGreen,DarkGreen,LightYellow,LightGreen,LowerLeft,DarkGreen,0.55719557195572,0.451355901499848,1
1,1,Wooster,2023-02-02,4,Colors,LightGreen,1,0,3,0,1,LowerRight,Bar,Lock,Diamond,Hat,Lock,UpperRight,Bar,0.974169741697417,0.200251669071908,1
1,1,Wooster,2023-02-02,5,Chromatic,Bar,1,1,3,0,1,LowerLeft,LightGreen,DarkGray,DarkGreen,LightYellow,DarkGreen,LowerLeft,DarkGreen,0.642066420664207,0.289146051062786,1
1,1,Wooster,2023-02-02,6,Chromatic,Hat,1,0,3,0,1,LowerRight,DarkGreen,DarkGray,LightGreen,LightYellow,DarkGray,LowerLeft,LightGreen,0.910780669144981,0.201609597028347,1
1,1,Wooster,2023-02-02,7,Chromatic,Bar,1,1,3,0,1,UpperLeft,LightGreen,DarkGray,LightYellow,DarkGreen,DarkGreen,UpperLeft,DarkGreen,0.711111111111111,0.235608501700627,1
1,1,Wooster,2023-02-02,8,Colors,LightGreen,1,1,3,0,1,UpperRight,Lock,Bar,Diamond,Hat,Lock,UpperRight,Lock,0.977859778597786,0.217248245421772,1
1,1,Wooster,2023-02-02,9,Colors,DarkGray,1,1,3,0,1,UpperRight,Hat,Lock,Diamond,Bar,Hat,UpperRight,Hat,0.940520446096654,0.157885438763851,1
1,1,Wooster,2023-02-02,10,Colors,LightGreen,1,0,3,0,1,LowerLeft,Diamond,Hat,Lock,Bar,Lock,UpperRight,Diamond,0.771217712177122,0.245167871328143,1
1,1,Wooster,2023-02-02,11,Colors,LightGreen,1,0,3,0,1,UpperRight,Lock,Hat,Bar,Diamond,Lock,LowerLeft,Bar,0.981549815498155,0.226308009682823,1
1,1,Wooster,2023-02-02,12,Colors,LightYellow,1,1,3,0,1,UpperRight,Diamond,Lock,Bar,Hat,Diamond,UpperRight,Diamond,0.576208178438662,0.431942631984113,1
1,1,Wooster,2023-02-02,13,Colors,LightYellow,1,1,3,0,1,LowerRight,Hat,Diamond,Lock,Bar,Diamond,LowerRight,Diamond,0.928838951310861,0.211320605450504,1
1,1,Wooster,2023-02-02,14,Colors,LightGreen,1,1,3,0,1,UpperRight,Lock,Diamond,Hat,Bar,Lock,UpperRight,Lock,0.782771535580524,0.256868450777411,1
1,1,Wooster,2023-02-02,15,Chromatic,Hat,1,0,3,0,1,LowerRight,LightYellow,DarkGray,LightGreen,DarkGreen,DarkGray,LowerLeft,LightGreen,0.825278810408922,0.226309254458419,1
1,1,Wooster,2023-02-02,16,Colors,DarkGray,1,0,3,0,1,UpperLeft,Diamond,Lock,Bar,Hat,Hat,LowerLeft,Bar,0.977695167286245,0.14671185573957,1
1,1,Wooster,2023-02-02,17,Colors,LightYellow,1,1,3,0,1,LowerRight,Bar,Diamond,Hat,Lock,Diamond,LowerRight,Diamond,0.549815498154982,0.431942631984113,1
