Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,13,Wooster,2023-02-23,1,Colors,LightRed,1,1,3,0,1,3,UpperLeft,Venn,Bar,Dodecagon,Hourglass,Hourglass,UpperLeft,Hourglass,0,15.726576257651,1
10,13,Wooster,2023-02-23,2,Chromatic,Dodecagon,1,0,3,0,1,3,UpperRight,DarkTurquiose,LightGray,LightRed,DarkGreen,DarkTurquiose,UpperLeft,DarkGreen,0,15.726576257651,1
10,13,Wooster,2023-02-23,3,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,LightGray,LightRed,DarkGreen,DarkTurquiose,DarkGreen,LowerLeft,DarkGreen,0.337037037037037,1.8079478011879,1
10,13,Wooster,2023-02-23,4,Colors,DarkTurquiose,1,0,3,0,1,3,LowerRight,Hourglass,Dodecagon,Bar,Venn,Dodecagon,LowerLeft,Bar,1,0.318727545463626,1
10,13,Wooster,2023-02-23,5,Chromatic,Hourglass,1,0,3,0,1,3,LowerLeft,DarkGreen,DarkTurquiose,LightRed,LightGray,LightRed,None,None,0.520446096654275,0.802735435225038,1
10,13,Wooster,2023-02-23,6,Colors,LightRed,1,0,3,0,1,3,UpperRight,Hourglass,Bar,Venn,Dodecagon,Hourglass,LowerRight,Bar,1,0.436380738362143,1
10,13,Wooster,2023-02-23,7,Colors,LightRed,1,1,3,0,1,3,UpperLeft,Dodecagon,Bar,Venn,Hourglass,Hourglass,UpperLeft,Hourglass,0.414814814814815,1.16168208897589,1
10,13,Wooster,2023-02-23,8,Chromatic,Hourglass,1,1,3,0,1,3,UpperLeft,DarkGreen,DarkTurquiose,LightGray,LightRed,LightRed,UpperLeft,LightRed,0.625925925925926,0.822344239426863,1
10,13,Wooster,2023-02-23,9,Chromatic,Venn,1,1,3,0,1,3,UpperRight,LightGray,DarkTurquiose,LightRed,DarkGreen,LightGray,UpperRight,LightGray,0.925925925925926,0.637455090927251,1
10,13,Wooster,2023-02-23,10,Colors,LightGray,1,1,3,0,1,3,UpperRight,Venn,Dodecagon,Bar,Hourglass,Venn,UpperRight,Venn,0.603703703703704,0.802735435225038,1
10,13,Wooster,2023-02-23,11,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,DarkTurquiose,LightRed,DarkGreen,LightGray,DarkGreen,LowerLeft,DarkGreen,0.52962962962963,0.956182636390877,1
10,13,Wooster,2023-02-23,12,Colors,LightGray,1,1,3,0,1,3,UpperRight,Venn,Dodecagon,Hourglass,Bar,Venn,UpperRight,Venn,0.349442379182156,1.54004900313288,1
10,13,Wooster,2023-02-23,13,Colors,LightRed,1,0,3,0,1,3,LowerLeft,Venn,Bar,Hourglass,Dodecagon,Hourglass,None,None,0.922222222222222,0.494376738780643,1
10,13,Wooster,2023-02-23,14,Colors,DarkTurquiose,1,0,3,0,1,3,LowerRight,Bar,Dodecagon,Venn,Hourglass,Dodecagon,UpperLeft,Hourglass,0.564575645756458,0.802735435225038,1
10,13,Wooster,2023-02-23,15,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Hourglass,Venn,Bar,Dodecagon,Bar,LowerLeft,Bar,0.951851851851852,0.436380738362143,1
10,13,Wooster,2023-02-23,16,Chromatic,Venn,1,1,3,0,1,3,LowerLeft,LightRed,DarkGreen,LightGray,DarkTurquiose,LightGray,LowerLeft,LightGray,0.592592592592593,0.822344239426863,1
10,13,Wooster,2023-02-23,17,Colors,LightRed,1,1,3,0,1,3,UpperRight,Hourglass,Dodecagon,Venn,Bar,Hourglass,UpperRight,Hourglass,0.648148148148148,0.730362195426645,1
