Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
31,39,Wooster,2023-03-03,1,Chromatic,Hat,1,1,3,0,1,3,LowerRight,DarkRed,DarkGray,LightBlue,DarkPurple,DarkGray,LowerRight,DarkGray,0.662962962962963,0.51334966771096,1
31,39,Wooster,2023-03-03,2,Chromatic,Sawblade,1,1,3,0,1,3,UpperLeft,DarkPurple,DarkGray,DarkRed,LightBlue,LightBlue,UpperLeft,LightBlue,0.814814814814815,0.464672835590355,1
31,39,Wooster,2023-03-03,3,Colors,DarkRed,1,1,3,0,1,3,UpperRight,UpArrow,Sawblade,Puzzle,Hat,UpArrow,UpperRight,UpArrow,0.644444444444444,0.697009253385532,1
31,39,Wooster,2023-03-03,4,Chromatic,UpArrow,1,1,3,0,1,3,UpperRight,DarkRed,LightBlue,DarkPurple,DarkGray,DarkRed,UpperRight,DarkRed,0.833333333333333,0.51334966771096,1
31,39,Wooster,2023-03-03,5,Colors,DarkRed,1,0,3,0,1,3,UpperRight,UpArrow,Puzzle,Hat,Sawblade,UpArrow,LowerRight,Puzzle,0.648148148148148,0.646013099235233,1
31,39,Wooster,2023-03-03,6,Chromatic,Sawblade,1,1,3,0,1,3,LowerRight,DarkGray,LightBlue,DarkRed,DarkPurple,LightBlue,LowerRight,LightBlue,0.822222222222222,0.494376738780643,1
31,39,Wooster,2023-03-03,7,Chromatic,Puzzle,1,1,3,0,1,3,LowerLeft,DarkGray,LightBlue,DarkPurple,DarkRed,DarkPurple,LowerLeft,DarkPurple,0.574074074074074,0.802735435225038,1
31,39,Wooster,2023-03-03,8,Chromatic,Sawblade,1,1,3,0,1,3,LowerRight,DarkPurple,LightBlue,DarkRed,DarkGray,LightBlue,LowerRight,LightBlue,0.777777777777778,0.730362195426645,1
31,39,Wooster,2023-03-03,9,Chromatic,Hat,1,1,3,0,1,3,UpperLeft,DarkPurple,DarkRed,LightBlue,DarkGray,DarkGray,UpperLeft,DarkGray,0.788104089219331,0.494376738780643,1
31,39,Wooster,2023-03-03,10,Chromatic,Hat,1,1,3,0,1,3,UpperRight,DarkGray,LightBlue,DarkRed,DarkPurple,DarkGray,UpperRight,DarkGray,0.540740740740741,0.802735435225038,1
31,39,Wooster,2023-03-03,11,Chromatic,Puzzle,1,1,3,0,1,3,UpperLeft,DarkRed,DarkGray,LightBlue,DarkPurple,DarkPurple,UpperLeft,DarkPurple,0.807407407407407,0.51334966771096,1
31,39,Wooster,2023-03-03,12,Colors,DarkPurple,1,1,3,0,1,3,LowerRight,Hat,Puzzle,UpArrow,Sawblade,Puzzle,LowerRight,Puzzle,0.611940298507463,0.51334966771096,1
31,39,Wooster,2023-03-03,13,Chromatic,Puzzle,1,1,3,0,1,3,LowerLeft,DarkRed,DarkGray,DarkPurple,LightBlue,DarkPurple,LowerLeft,DarkPurple,0.907063197026022,0.436380738362143,1
31,39,Wooster,2023-03-03,14,Colors,LightBlue,1,1,3,0,1,3,UpperRight,Sawblade,UpArrow,Hat,Puzzle,Sawblade,UpperRight,Sawblade,0.581481481481481,0.802735435225038,1
31,39,Wooster,2023-03-03,15,Colors,LightBlue,1,1,3,0,1,3,LowerRight,Hat,Sawblade,Puzzle,UpArrow,Sawblade,LowerRight,Sawblade,0.933333333333333,0.464672835590355,1
31,39,Wooster,2023-03-03,16,Chromatic,UpArrow,1,0,3,0,1,3,UpperLeft,DarkGray,LightBlue,DarkPurple,DarkRed,DarkRed,LowerLeft,DarkPurple,0.723880597014925,0.51334966771096,1
31,39,Wooster,2023-03-03,17,Colors,DarkGray,1,1,3,0,1,3,LowerRight,UpArrow,Hat,Puzzle,Sawblade,Hat,LowerRight,Hat,0.676579925650558,0.51334966771096,1
