Run;IMA;Subject;Session;Blocknumber;Blocktype;Stimulus;ProbeTrial;Correct;StimulusDuration;GrayDuration;ChoiceDuration;ITIDuration;CorrectLocation;UpperRightChoice;LowerRightChoice;LowerLeftChoice;UpperLeftChoice;CorrectChoiceStim;ChoiceLocation;ChoiceStimuli;PercentFixationStim;MedianDistanceStim;Complete
14;20;Wooster;2023-03-31;1;Chromatic;Dodecagon;1;1;3;0;1;3;LowerLeft;LightGray;DarkYellow;DarkTurquiose;DarkGreen;DarkTurquiose;LowerLeft;DarkTurquiose;0.8259259259;0.4646728356;1
14;20;Wooster;2023-03-31;2;Chromatic;Spike;1;1;3;0;1;3;UpperRight;DarkYellow;DarkTurquiose;LightGray;DarkGreen;DarkYellow;UpperRight;DarkYellow;0.862962963;0.4943767388;1
14;20;Wooster;2023-03-31;3;Colors;DarkGreen;1;1;3;0;1;3;LowerLeft;Venn;Spike;Bar;Dodecagon;Bar;LowerLeft;Bar;0.6259259259;0.5133496677;1
14;20;Wooster;2023-03-31;4;Colors;DarkYellow;1;1;3;0;1;3;UpperLeft;Bar;Dodecagon;Venn;Spike;Spike;UpperLeft;Spike;0.9555555556;0.4363807384;1
14;20;Wooster;2023-03-31;5;Colors;DarkYellow;1;0;3;0;1;3;UpperLeft;Venn;Bar;Dodecagon;Spike;Spike;None;None;0.6037037037;0.5133496677;1
14;20;Wooster;2023-03-31;6;Colors;DarkGreen;1;1;3;0;1;3;LowerLeft;Spike;Venn;Bar;Dodecagon;Bar;LowerLeft;Bar;0.9111111111;0.4363807384;1
14;20;Wooster;2023-03-31;7;Chromatic;Venn;1;1;3;0;1;3;UpperRight;LightGray;DarkTurquiose;DarkYellow;DarkGreen;LightGray;UpperRight;LightGray;0.6259259259;0.5133496677;1
14;20;Wooster;2023-03-31;8;Colors;DarkTurquiose;1;1;3;0;1;3;LowerLeft;Spike;Bar;Dodecagon;Venn;Dodecagon;LowerLeft;Dodecagon;0.9592592593;0.4943767388;1
14;20;Wooster;2023-03-31;9;Chromatic;Spike;1;1;3;0;1;3;UpperRight;DarkYellow;DarkGreen;DarkTurquiose;LightGray;DarkYellow;UpperRight;DarkYellow;0.8592592593;0.5133496677;1
14;20;Wooster;2023-03-31;10;Colors;DarkYellow;1;1;3;0;1;3;UpperRight;Spike;Bar;Dodecagon;Venn;Spike;UpperRight;Spike;0.6185185185;0.8125398373;1
14;20;Wooster;2023-03-31;11;Colors;LightGray;1;1;3;0;1;3;LowerLeft;Spike;Dodecagon;Venn;Bar;Venn;LowerLeft;Venn;0.8777777778;0.5133496677;1
14;20;Wooster;2023-03-31;12;Chromatic;Venn;1;1;3;0;1;3;LowerRight;DarkYellow;LightGray;DarkTurquiose;DarkGreen;LightGray;LowerRight;LightGray;0.4888888889;1.0266993354;1
14;20;Wooster;2023-03-31;13;Colors;DarkGreen;1;0;3;0;1;3;UpperRight;Bar;Venn;Dodecagon;Spike;Bar;UpperLeft;Spike;0.1814814815;5.0532343764;1
14;20;Wooster;2023-03-31;14;Colors;LightGray;1;1;3;0;1;3;LowerLeft;Bar;Dodecagon;Venn;Spike;Venn;LowerLeft;Venn;0.6481481481;0.7303621954;1
14;20;Wooster;2023-03-31;15;Chromatic;Dodecagon;1;1;3;0;1;3;LowerRight;LightGray;DarkTurquiose;DarkYellow;DarkGreen;DarkTurquiose;LowerRight;DarkTurquiose;0.9148148148;0.5133496677;1
14;20;Wooster;2023-03-31;16;Colors;DarkTurquiose;1;1;3;0;1;3;LowerLeft;Venn;Bar;Dodecagon;Spike;Dodecagon;LowerLeft;Dodecagon;0.8592592593;0.5133496677;1
14;20;Wooster;2023-03-31;17;Colors;DarkTurquiose;1;1;3;0;1;3;LowerLeft;Bar;Venn;Dodecagon;Spike;Dodecagon;LowerLeft;Dodecagon;0.6185185185;0.6970092534;1
