Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,14,Wooster,2023-04-06,1,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,LightGreen,LightBlue,DarkGreen,LightPurple,DarkGreen,LowerLeft,DarkGreen,0.4,1.18199505627171,1
10,14,Wooster,2023-04-06,2,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Lock,Bar,Sawblade,Rabbit,UpperRight,Rabbit,0.437037037037037,1.18199505627171,1
10,14,Wooster,2023-04-06,3,Colors,LightBlue,1,0,3,0,1,3,UpperLeft,Lock,Bar,Rabbit,Sawblade,Sawblade,LowerLeft,Rabbit,0.57037037037037,0.92934567118071,1
10,14,Wooster,2023-04-06,4,Colors,LightGreen,1,1,3,0,1,3,LowerRight,Bar,Lock,Sawblade,Rabbit,Lock,LowerRight,Lock,0.648148148148148,0.730362195426645,1
10,14,Wooster,2023-04-06,5,Chromatic,Bar,1,1,3,0,1,3,UpperLeft,LightPurple,LightBlue,LightGreen,DarkGreen,DarkGreen,UpperLeft,DarkGreen,0.518518518518518,0.95461532239206,1
10,14,Wooster,2023-04-06,6,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,DarkGreen,LightPurple,LightGreen,LightBlue,LightGreen,LowerLeft,LightGreen,0.959259259259259,0.51334966771096,1
10,14,Wooster,2023-04-06,7,Chromatic,Sawblade,1,1,3,0,1,3,UpperLeft,LightGreen,DarkGreen,LightPurple,LightBlue,LightBlue,UpperLeft,LightBlue,0.366666666666667,2.72382956051977,1
10,14,Wooster,2023-04-06,8,Chromatic,Sawblade,1,1,3,0,1,3,LowerLeft,DarkGreen,LightGreen,LightBlue,LightPurple,LightBlue,LowerLeft,LightBlue,0.759259259259259,0.637455090927251,1
10,14,Wooster,2023-04-06,9,Colors,LightGreen,1,1,3,0,1,3,LowerLeft,Rabbit,Bar,Lock,Sawblade,Lock,LowerLeft,Lock,0.540740740740741,0.941980496786385,1
10,14,Wooster,2023-04-06,10,Colors,LightBlue,1,0,3,0,1,3,UpperLeft,Rabbit,Bar,Lock,Sawblade,Sawblade,LowerLeft,Lock,0.366666666666667,3.41017893993175,1
10,14,Wooster,2023-04-06,11,Chromatic,Bar,1,1,3,0,1,3,UpperLeft,LightPurple,LightBlue,LightGreen,DarkGreen,DarkGreen,UpperLeft,DarkGreen,0.314814814814815,1.54004900313288,1
10,14,Wooster,2023-04-06,12,Colors,LightBlue,1,0,3,0,1,3,LowerLeft,Rabbit,Lock,Sawblade,Bar,Sawblade,UpperRight,Rabbit,0.12962962962963,2.82198131420008,1
10,14,Wooster,2023-04-06,13,Chromatic,Rabbit,1,1,3,0,1,3,UpperLeft,DarkGreen,LightBlue,LightGreen,LightPurple,LightPurple,UpperLeft,LightPurple,0.362962962962963,1.64280712369772,1
10,14,Wooster,2023-04-06,14,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,LightPurple,LightBlue,LightGreen,DarkGreen,LightGreen,LowerLeft,LightGreen,0.3,2.70224132492083,1
10,14,Wooster,2023-04-06,15,Chromatic,Lock,1,1,3,0,1,3,UpperRight,LightGreen,DarkGreen,LightBlue,LightPurple,LightGreen,UpperRight,LightGreen,0.362962962962963,1.62635492456624,1
10,14,Wooster,2023-04-06,16,Colors,LightGreen,1,1,3,0,1,3,UpperRight,Lock,Sawblade,Rabbit,Bar,Lock,UpperRight,Lock,0.0518518518518519,7.80802709991681,1
10,14,Wooster,2023-04-06,17,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,LightBlue,DarkGreen,LightGreen,LightPurple,UpperRight,LightPurple,0.67037037037037,0.637455090927251,1
11,15,Wooster,2023-04-06,1,Chromatic,Rabbit,1,1,3,0,1,3,UpperLeft,LightBlue,DarkGreen,LightGreen,LightPurple,LightPurple,UpperLeft,LightPurple,0.559259259259259,0.956182636390877,0
11,15,Wooster,2023-04-06,2,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,LightGreen,LightPurple,DarkGreen,LightBlue,DarkGreen,UpperRight,LightGreen,0.507407407407407,0.988753477561286,0
11,15,Wooster,2023-04-06,3,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Rabbit,Lock,Bar,Sawblade,Bar,LowerLeft,Bar,0.391143911439114,1.24094054034062,0
11,15,Wooster,2023-04-06,4,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,LightBlue,LightGreen,DarkGreen,LightPurple,UpperRight,LightPurple,0.255555555555556,1.30415753780249,0
11,15,Wooster,2023-04-06,5,Colors,LightPurple,1,1,3,0,1,3,LowerRight,Bar,Rabbit,Lock,Sawblade,Rabbit,LowerRight,Rabbit,0.351851851851852,2.0910277601566,0
11,15,Wooster,2023-04-06,6,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,LightPurple,LightGreen,DarkGreen,LightBlue,DarkGreen,None,None,0.340740740740741,9.1101846911203,0
11,15,Wooster,2023-04-06,7,Chromatic,Rabbit,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,8,Chromatic,Rabbit,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,9,Colors,DarkGreen,1,0,3,0,1,3,LowerLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,10,Chromatic,Bar,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,11,Colors,LightGreen,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,12,Colors,LightGreen,1,0,3,0,1,3,LowerLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,13,Chromatic,Lock,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,14,Colors,LightPurple,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,15,Colors,DarkGreen,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,16,Colors,LightBlue,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
11,15,Wooster,2023-04-06,17,Colors,DarkGreen,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
12,16,Wooster,2023-04-06,1,Chromatic,Rabbit,1,0,3,0,1,3,UpperLeft,LightGreen,DarkGreen,LightBlue,LightPurple,LightPurple,LowerLeft,LightBlue,0.9,0.436380738362143,1
12,16,Wooster,2023-04-06,2,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,LightBlue,LightGreen,DarkGreen,LightPurple,DarkGreen,LowerLeft,DarkGreen,0.840740740740741,0.637455090927251,1
12,16,Wooster,2023-04-06,3,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Sawblade,Rabbit,Bar,Lock,Bar,LowerLeft,Bar,0.551851851851852,0.694581561707655,1
12,16,Wooster,2023-04-06,4,Chromatic,Rabbit,1,1,3,0,1,3,LowerLeft,DarkGreen,LightBlue,LightPurple,LightGreen,LightPurple,LowerLeft,LightPurple,0.866666666666667,0.494376738780643,1
12,16,Wooster,2023-04-06,5,Colors,LightPurple,1,1,3,0,1,3,LowerLeft,Lock,Bar,Rabbit,Sawblade,Rabbit,LowerLeft,Rabbit,0.574074074074074,0.637455090927251,1
12,16,Wooster,2023-04-06,6,Chromatic,Bar,1,1,3,0,1,3,LowerRight,LightPurple,DarkGreen,LightBlue,LightGreen,DarkGreen,LowerRight,DarkGreen,0.988888888888889,0.436380738362143,1
12,16,Wooster,2023-04-06,7,Chromatic,Rabbit,1,1,3,0,1,3,UpperLeft,LightBlue,LightGreen,DarkGreen,LightPurple,LightPurple,UpperLeft,LightPurple,0.607407407407407,0.694581561707655,1
12,16,Wooster,2023-04-06,8,Chromatic,Rabbit,1,1,3,0,1,3,LowerRight,LightBlue,LightPurple,DarkGreen,LightGreen,LightPurple,LowerRight,LightPurple,0.92962962962963,0.494376738780643,1
12,16,Wooster,2023-04-06,9,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Lock,Rabbit,Bar,Sawblade,Bar,LowerLeft,Bar,0.922222222222222,0.494376738780643,1
12,16,Wooster,2023-04-06,10,Chromatic,Bar,1,1,3,0,1,3,LowerRight,LightPurple,DarkGreen,LightBlue,LightGreen,DarkGreen,LowerRight,DarkGreen,0.581481481481481,0.694581561707655,1
12,16,Wooster,2023-04-06,11,Colors,LightGreen,1,1,3,0,1,3,UpperRight,Lock,Sawblade,Bar,Rabbit,Lock,UpperRight,Lock,0.903703703703704,0.494376738780643,1
12,16,Wooster,2023-04-06,12,Colors,LightGreen,1,1,3,0,1,3,LowerLeft,Bar,Sawblade,Lock,Rabbit,Lock,LowerLeft,Lock,0.6,0.694581561707655,1
12,16,Wooster,2023-04-06,13,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,LightPurple,LightBlue,LightGreen,DarkGreen,LightGreen,LowerLeft,LightGreen,0.840740740740741,0.694581561707655,1
12,16,Wooster,2023-04-06,14,Colors,LightPurple,1,1,3,0,1,3,LowerLeft,Lock,Sawblade,Rabbit,Bar,Rabbit,LowerLeft,Rabbit,0.585185185185185,0.903157132667318,1
12,16,Wooster,2023-04-06,15,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Lock,Rabbit,Bar,Sawblade,Bar,LowerLeft,Bar,0.792592592592593,0.694581561707655,1
12,16,Wooster,2023-04-06,16,Colors,LightBlue,1,0,3,0,1,3,LowerLeft,Rabbit,Lock,Sawblade,Bar,Sawblade,UpperRight,Rabbit,0.92962962962963,0.654571107543214,1
12,16,Wooster,2023-04-06,17,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Lock,Rabbit,Sawblade,Bar,UpperRight,Bar,0.625925925925926,0.694581561707655,1
13,17,Wooster,2023-04-06,1,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Lock,Sawblade,Rabbit,Bar,UpperRight,Bar,0.544444444444444,0.95461532239206,1
13,17,Wooster,2023-04-06,2,Chromatic,Sawblade,1,1,3,0,1,3,UpperRight,LightBlue,LightGreen,DarkGreen,LightPurple,LightBlue,UpperRight,LightBlue,0.374074074074074,1.54004900313288,1
13,17,Wooster,2023-04-06,3,Colors,LightBlue,1,0,3,0,1,3,LowerRight,Rabbit,Sawblade,Lock,Bar,Sawblade,LowerLeft,Lock,0.333333333333333,1.45300305268136,1
13,17,Wooster,2023-04-06,4,Chromatic,Sawblade,1,1,3,0,1,3,UpperLeft,LightPurple,LightGreen,DarkGreen,LightBlue,LightBlue,UpperLeft,LightBlue,0.377777777777778,1.18199505627171,1
13,17,Wooster,2023-04-06,5,Chromatic,Rabbit,1,0,3,0,1,3,UpperLeft,LightGreen,LightBlue,DarkGreen,LightPurple,LightPurple,None,None,0.196296296296296,2.38989266797921,1
13,17,Wooster,2023-04-06,6,Chromatic,Sawblade,1,1,3,0,1,3,LowerRight,DarkGreen,LightBlue,LightPurple,LightGreen,LightBlue,LowerRight,LightBlue,0.477777777777778,1.02669933542192,1
13,17,Wooster,2023-04-06,7,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Lock,Bar,Sawblade,Rabbit,UpperRight,Rabbit,0.251851851851852,1.33340489375048,1
13,17,Wooster,2023-04-06,8,Chromatic,Lock,1,1,3,0,1,3,UpperRight,LightGreen,LightPurple,DarkGreen,LightBlue,LightGreen,UpperRight,LightGreen,0.733333333333333,0.694581561707655,1
13,17,Wooster,2023-04-06,9,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Rabbit,Lock,Sawblade,Bar,UpperRight,Bar,0.12962962962963,3.11721499463747,1
13,17,Wooster,2023-04-06,10,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Rabbit,Sawblade,Bar,Lock,Bar,LowerLeft,Bar,0.374074074074074,2.18807124817786,1
13,17,Wooster,2023-04-06,11,Colors,LightPurple,1,1,3,0,1,3,LowerLeft,Bar,Lock,Rabbit,Sawblade,Rabbit,LowerLeft,Rabbit,0.744444444444444,0.637455090927251,1
13,17,Wooster,2023-04-06,12,Chromatic,Sawblade,1,1,3,0,1,3,LowerRight,LightPurple,LightBlue,DarkGreen,LightGreen,LightBlue,LowerRight,LightBlue,0.125925925925926,15.920448041252,1
13,17,Wooster,2023-04-06,13,Colors,DarkGreen,1,1,3,0,1,3,UpperLeft,Rabbit,Lock,Sawblade,Bar,Bar,UpperLeft,Bar,0.996296296296296,0.494376738780643,1
