Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
17,21,Wooster,2023-04-06,1,Colors,LightGreen,1,1,3,0,1,3,LowerRight,Rabbit,Lock,Diamond,Sawblade,Lock,LowerRight,Lock,0.859259259259259,0.51334966771096,1
17,21,Wooster,2023-04-06,2,Colors,LightGreen,1,1,3,0,1,3,LowerRight,Sawblade,Lock,Rabbit,Diamond,Lock,LowerRight,Lock,0.896296296296296,0.51334966771096,1
17,21,Wooster,2023-04-06,3,Chromatic,Rabbit,1,0,3,0,1,3,UpperLeft,LightYellow,LightGreen,LightBlue,LightPurple,LightPurple,LowerLeft,LightBlue,0.518518518518518,0.903157132667318,1
17,21,Wooster,2023-04-06,4,Colors,LightBlue,1,1,3,0,1,3,LowerLeft,Lock,Diamond,Sawblade,Rabbit,Sawblade,LowerLeft,Sawblade,0.855555555555556,0.654571107543214,1
17,21,Wooster,2023-04-06,5,Colors,LightGreen,1,1,3,0,1,3,LowerLeft,Diamond,Rabbit,Lock,Sawblade,Lock,LowerLeft,Lock,0.592592592592593,0.694581561707655,1
17,21,Wooster,2023-04-06,6,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,LightBlue,LightPurple,LightGreen,LightYellow,LightGreen,LowerLeft,LightGreen,0.97037037037037,0.637455090927251,1
17,21,Wooster,2023-04-06,7,Colors,LightPurple,1,1,3,0,1,3,LowerRight,Sawblade,Rabbit,Diamond,Lock,Rabbit,LowerRight,Rabbit,0.614814814814815,0.694581561707655,1
17,21,Wooster,2023-04-06,8,Colors,LightBlue,1,1,3,0,1,3,LowerLeft,Lock,Rabbit,Sawblade,Diamond,Sawblade,LowerLeft,Sawblade,0.948148148148148,0.637455090927251,1
17,21,Wooster,2023-04-06,9,Chromatic,Lock,1,1,3,0,1,3,UpperLeft,LightPurple,LightBlue,LightYellow,LightGreen,LightGreen,UpperLeft,LightGreen,0.87037037037037,0.694581561707655,1
17,21,Wooster,2023-04-06,10,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,LightPurple,LightYellow,LightGreen,LightBlue,LightGreen,LowerLeft,LightGreen,0.648148148148148,0.802735435225038,1
17,21,Wooster,2023-04-06,11,Colors,LightYellow,1,1,3,0,1,3,UpperLeft,Lock,Rabbit,Sawblade,Diamond,Diamond,UpperLeft,Diamond,0.9,0.637455090927251,1
17,21,Wooster,2023-04-06,12,Chromatic,Diamond,1,1,3,0,1,3,LowerLeft,LightGreen,LightPurple,LightYellow,LightBlue,LightYellow,LowerLeft,LightYellow,0.622222222222222,0.730362195426645,1
17,21,Wooster,2023-04-06,13,Chromatic,Diamond,1,1,3,0,1,3,LowerRight,LightGreen,LightYellow,LightPurple,LightBlue,LightYellow,LowerRight,LightYellow,0.907407407407407,0.637455090927251,1
17,21,Wooster,2023-04-06,14,Chromatic,Rabbit,1,1,3,0,1,3,LowerRight,LightBlue,LightPurple,LightGreen,LightYellow,LightPurple,LowerRight,LightPurple,0.625925925925926,0.81253983732595,1
17,21,Wooster,2023-04-06,15,Colors,LightYellow,1,0,3,0,1,3,UpperLeft,Lock,Sawblade,Rabbit,Diamond,Diamond,None,None,0.911111111111111,0.637455090927251,1
17,21,Wooster,2023-04-06,16,Colors,LightPurple,1,1,3,0,1,3,UpperLeft,Lock,Diamond,Sawblade,Rabbit,Rabbit,UpperLeft,Rabbit,0.822222222222222,0.697009253385532,1
17,21,Wooster,2023-04-06,17,Chromatic,Rabbit,1,1,3,0,1,3,UpperLeft,LightBlue,LightYellow,LightGreen,LightPurple,LightPurple,UpperLeft,LightPurple,0.596296296296296,0.802735435225038,1
