IMA5	IMA6	IMA7	IMA8
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Nail_Probe	Bar_Probe	Nail_Probe	Bar_Probe
Nail_Probe	Bar_Probe	Nail_Probe	Bar_Probe
Nail_Probe	Bar_Probe	Nail_Probe	Bar_Probe
Nail_Choice	Bar_Choice	Nail_Choice	Bar_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
LightGray_Probe	LightGray_Probe	DarkGreen_Probe	DarkGreen_Probe
LightGray_Probe	LightGray_Probe	DarkGreen_Probe	DarkGreen_Probe
LightGray_Probe	LightGray_Probe	DarkGreen_Probe	DarkGreen_Probe
LightGray_Choice	LightGray_Choice	DarkGreen_Choice	DarkGreen_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Nail_Probe	DarkGreen_Probe	Nail_Probe	Bar_Probe
Nail_Probe	DarkGreen_Probe	Nail_Probe	Bar_Probe
Nail_Probe	DarkGreen_Probe	Nail_Probe	Bar_Probe
Nail_Choice	DarkGreen_Choice	Nail_Choice	Bar_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Nail_Probe	DarkBlue_Probe	Bar_Probe	LightRed_Probe
Nail_Probe	DarkBlue_Probe	Bar_Probe	LightRed_Probe
Nail_Probe	DarkBlue_Probe	Bar_Probe	LightRed_Probe
Nail_Choice	DarkBlue_Choice	Bar_Choice	LightRed_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Hourglass_Probe	LightGray_Probe	DarkBlue_Probe	LightRed_Probe
Hourglass_Probe	LightGray_Probe	DarkBlue_Probe	LightRed_Probe
Hourglass_Probe	LightGray_Probe	DarkBlue_Probe	LightRed_Probe
Hourglass_Choice	LightGray_Choice	DarkBlue_Choice	LightRed_Choice
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
LightRed_Probe	Bar_Probe	DarkBlue_Probe	DarkBlue_Probe
