Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
6,9,Wooster,2023-06-23,1,Colors,DarkYellow,1,1,3,0,1,3,LowerLeft,Bar,Sawblade,Spike,Rabbit,Spike,LowerLeft,Spike,0.303703703703704,1.41099065710004,1
6,9,Wooster,2023-06-23,2,Chromatic,Spike,1,0,3,0,1,3,LowerLeft,LightBlue,LightPurple,DarkYellow,DarkGreen,DarkYellow,UpperLeft,DarkGreen,0.462962962962963,1.02669933542192,1
6,9,Wooster,2023-06-23,3,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Rabbit,Spike,Sawblade,Bar,UpperRight,Bar,0.507407407407407,0.988753477561286,1
6,9,Wooster,2023-06-23,4,Chromatic,Spike,1,1,3,0,1,3,LowerRight,DarkGreen,DarkYellow,LightPurple,LightBlue,DarkYellow,LowerRight,DarkYellow,0.396296296296296,1.13672631331058,1
6,9,Wooster,2023-06-23,5,Chromatic,Sawblade,1,1,3,0,1,3,LowerLeft,DarkGreen,LightPurple,LightBlue,DarkYellow,LightBlue,LowerLeft,LightBlue,0.0740740740740741,7.47119247938438,1
6,9,Wooster,2023-06-23,6,Colors,LightBlue,1,0,3,0,1,3,UpperRight,Sawblade,Bar,Spike,Rabbit,Sawblade,LowerRight,Bar,0.348148148148148,1.18199505627171,1
6,9,Wooster,2023-06-23,7,Chromatic,Sawblade,1,1,3,0,1,3,UpperLeft,LightPurple,DarkGreen,DarkYellow,LightBlue,LightBlue,UpperLeft,LightBlue,0.451851851851852,1.16168208897589,1
6,9,Wooster,2023-06-23,8,Chromatic,Bar,1,1,3,0,1,3,LowerRight,DarkYellow,DarkGreen,LightPurple,LightBlue,DarkGreen,LowerRight,DarkGreen,0.592592592592593,0.92934567118071,1
6,9,Wooster,2023-06-23,9,Chromatic,Bar,1,1,3,0,1,3,UpperLeft,LightPurple,LightBlue,DarkYellow,DarkGreen,DarkGreen,UpperLeft,DarkGreen,0.77037037037037,0.822344239426863,1
6,9,Wooster,2023-06-23,10,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,DarkYellow,DarkGreen,LightPurple,LightBlue,LightPurple,UpperRight,DarkYellow,0.42962962962963,1.18199505627171,1
6,9,Wooster,2023-06-23,11,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,DarkYellow,LightPurple,DarkGreen,LightBlue,DarkGreen,LowerLeft,DarkGreen,0.637037037037037,0.95461532239206,1
6,9,Wooster,2023-06-23,12,Chromatic,Spike,1,1,3,0,1,3,UpperRight,DarkYellow,LightPurple,LightBlue,DarkGreen,DarkYellow,UpperRight,DarkYellow,0.4,1.16168208897589,1
6,9,Wooster,2023-06-23,13,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,LightBlue,DarkGreen,DarkYellow,LightPurple,UpperRight,LightPurple,0.740740740740741,0.654571107543214,1
6,9,Wooster,2023-06-23,14,Colors,DarkYellow,1,1,3,0,1,3,UpperRight,Spike,Sawblade,Rabbit,Bar,Spike,UpperRight,Spike,0.557620817843866,0.802735435225038,1
6,9,Wooster,2023-06-23,15,Colors,DarkYellow,1,1,3,0,1,3,UpperRight,Spike,Bar,Rabbit,Sawblade,Spike,UpperRight,Spike,0.892592592592593,0.637455090927251,1
6,9,Wooster,2023-06-23,16,Chromatic,Sawblade,1,0,3,0,1,3,UpperRight,LightBlue,DarkGreen,DarkYellow,LightPurple,LightBlue,LowerRight,DarkGreen,0.825925925925926,0.674576334625435,1
6,9,Wooster,2023-06-23,17,Chromatic,Sawblade,1,1,3,0,1,3,LowerLeft,DarkYellow,DarkGreen,LightBlue,LightPurple,LightBlue,LowerLeft,LightBlue,0.474074074074074,1.13672631331058,1
