Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
1,1,Helen,2023-06-28,1,Chromatic,Hourglass,1,1,3,0,1,3,UpperRight,LightRed,DarkBlue,LightYellow,DarkGreen,LightRed,UpperRight,LightRed,0.875,0.19997023646203,1
1,1,Helen,2023-06-28,2,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,LightRed,DarkBlue,DarkGreen,LightYellow,LightYellow,UpperLeft,LightYellow,0.74169741697417,0.19997023646203,1
1,1,Helen,2023-06-28,3,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,DarkBlue,LightRed,DarkGreen,LightYellow,LightYellow,UpperLeft,LightYellow,0.440740740740741,1.61221158834509,1
1,1,Helen,2023-06-28,4,Colors,LightRed,1,0,3,0,1,3,UpperRight,Hourglass,Nail,Diamond,Bar,Hourglass,None,None,0.745387453874539,0.565601240951115,1
1,1,Helen,2023-06-28,5,Chromatic,Diamond,1,1,3,0,1,3,LowerRight,DarkBlue,LightYellow,DarkGreen,LightRed,LightYellow,LowerRight,LightYellow,0.440740740740741,1.72020901777381,1
1,1,Helen,2023-06-28,6,Colors,DarkBlue,1,0,3,0,1,3,UpperLeft,Diamond,Hourglass,Bar,Nail,Nail,None,None,0.944649446494465,0.447147042205806,1
1,1,Helen,2023-06-28,7,Chromatic,Diamond,1,1,3,0,1,3,LowerRight,LightRed,LightYellow,DarkGreen,DarkBlue,LightYellow,LowerRight,LightYellow,0.767790262172285,0.447147042205806,1
1,1,Helen,2023-06-28,8,Chromatic,Bar,1,1,3,0,1,3,UpperRight,DarkGreen,LightYellow,DarkBlue,LightRed,DarkGreen,UpperRight,DarkGreen,0.507462686567164,0.999851182310149,1
1,1,Helen,2023-06-28,9,Colors,LightRed,1,1,3,0,1,3,UpperLeft,Bar,Nail,Diamond,Hourglass,Hourglass,UpperLeft,Hourglass,1,0.39994047292406,1
1,1,Helen,2023-06-28,10,Chromatic,Nail,1,0,3,0,1,3,LowerLeft,LightRed,LightYellow,DarkBlue,DarkGreen,DarkBlue,None,None,0.782287822878229,0.565601240951115,1
1,1,Helen,2023-06-28,11,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,DarkBlue,LightRed,DarkGreen,LightYellow,DarkGreen,LowerLeft,DarkGreen,1,0.282800620475557,1
1,1,Helen,2023-06-28,12,Colors,LightYellow,1,0,3,0,1,3,UpperLeft,Bar,Hourglass,Nail,Diamond,Diamond,None,None,0.461254612546125,1.59976189169624,1
1,1,Helen,2023-06-28,13,Colors,LightRed,1,1,3,0,1,3,UpperLeft,Diamond,Bar,Nail,Hourglass,Hourglass,UpperLeft,Hourglass,0.981481481481482,0.599910709386089,1
1,1,Helen,2023-06-28,14,Colors,LightYellow,1,1,3,0,1,3,LowerLeft,Bar,Nail,Diamond,Hourglass,Diamond,LowerLeft,Diamond,0.866171003717472,0,1
1,1,Helen,2023-06-28,15,Colors,DarkBlue,1,1,3,0,1,3,LowerLeft,Hourglass,Diamond,Nail,Bar,Nail,LowerLeft,Nail,0.699570815450644,0.39994047292406,1
1,1,Helen,2023-06-28,16,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,LightYellow,DarkBlue,DarkGreen,LightRed,DarkGreen,None,None,1,0.282800620475557,1
1,1,Helen,2023-06-28,17,Chromatic,Bar,1,1,3,0,1,3,LowerRight,DarkBlue,DarkGreen,LightYellow,LightRed,DarkGreen,LowerRight,DarkGreen,0.47970479704797,1.2804342678552,1
