Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
13,17,Jeeves,2023-07-12,1,Chromatic,Spade,1,0,3,0,1,3,UpperLeft,LightBlue,LightPurple,LightRed,LightTurquiose,LightTurquiose,None,None,0,16.9722409173823,1
13,17,Jeeves,2023-07-12,2,Chromatic,Hourglass,1,0,3,0,1,3,UpperLeft,LightBlue,LightTurquiose,LightPurple,LightRed,LightRed,None,None,0.0407407407407407,16.9722409173823,1
13,17,Jeeves,2023-07-12,3,Colors,LightTurquiose,1,1,3,0,1,3,UpperLeft,Sawblade,Rabbit,Hourglass,Spade,Spade,UpperLeft,Spade,0.390334572490706,2.78851969315109,1
13,17,Jeeves,2023-07-12,4,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,LightTurquiose,LightBlue,LightPurple,LightRed,LightPurple,None,None,0.588888888888889,0.911269197349827,1
13,17,Jeeves,2023-07-12,5,Colors,LightRed,1,0,3,0,1,3,LowerRight,Spade,Hourglass,Sawblade,Rabbit,Hourglass,UpperRight,Spade,0.211111111111111,1.54273465813482,1
13,17,Jeeves,2023-07-12,6,Colors,LightTurquiose,1,1,3,0,1,3,UpperRight,Spade,Rabbit,Sawblade,Hourglass,Spade,UpperRight,Spade,0.278810408921933,1.3365058563424,1
13,17,Jeeves,2023-07-12,7,Colors,LightTurquiose,1,1,3,0,1,3,UpperLeft,Sawblade,Rabbit,Hourglass,Spade,Spade,UpperLeft,Spade,0.451851851851852,1.12350043983514,1
13,17,Jeeves,2023-07-12,8,Colors,LightPurple,1,1,3,0,1,3,LowerRight,Hourglass,Rabbit,Spade,Sawblade,Rabbit,LowerRight,Rabbit,0.359259259259259,1.18238413154743,1
13,17,Jeeves,2023-07-12,9,Colors,LightTurquiose,1,1,3,0,1,3,UpperRight,Spade,Hourglass,Sawblade,Rabbit,Spade,UpperRight,Spade,0.0333333333333333,1.57178585131721,1
13,17,Jeeves,2023-07-12,10,Colors,LightRed,1,0,3,0,1,3,LowerRight,Sawblade,Hourglass,Rabbit,Spade,Hourglass,UpperRight,Sawblade,0.0333333333333333,1.86519561439504,1
13,17,Jeeves,2023-07-12,11,Chromatic,Sawblade,1,1,3,0,1,3,UpperRight,LightBlue,LightPurple,LightRed,LightTurquiose,LightBlue,UpperRight,LightBlue,0.0777777777777778,1.54273465813482,1
13,17,Jeeves,2023-07-12,12,Colors,LightBlue,1,0,3,0,1,3,UpperLeft,Spade,Rabbit,Hourglass,Sawblade,Sawblade,UpperRight,Spade,0.481481481481481,1.02848977208988,1
13,17,Jeeves,2023-07-12,13,Colors,LightRed,1,1,3,0,1,3,LowerRight,Rabbit,Hourglass,Spade,Sawblade,Hourglass,LowerRight,Hourglass,0.344444444444444,1.18238413154743,1
13,17,Jeeves,2023-07-12,14,Chromatic,Hourglass,1,1,3,0,1,3,UpperLeft,LightPurple,LightBlue,LightTurquiose,LightRed,LightRed,UpperLeft,LightRed,0.248148148148148,1.2920624960712,1
13,17,Jeeves,2023-07-12,15,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,LightTurquiose,LightBlue,LightPurple,LightRed,LightPurple,UpperRight,LightTurquiose,0.218518518518519,1.40266755524062,1
13,17,Jeeves,2023-07-12,16,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Hourglass,Sawblade,Spade,Rabbit,UpperRight,Rabbit,0.0814814814814815,1.46198338977274,1
13,17,Jeeves,2023-07-12,17,Colors,LightRed,1,0,3,0,1,3,UpperLeft,Rabbit,Sawblade,Spade,Hourglass,Hourglass,LowerLeft,Spade,0.0259259259259259,2.3337840650063,1
