IMA5	IMA6
Background	Background
Background	Background
Background	Background
DarkGreen_Probe	LightYellow_Probe
DarkGreen_Probe	LightYellow_Probe
DarkGreen_Probe	LightYellow_Probe
DarkGreen_Choice	LightYellow_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	Bar_Probe
LightGreen_Probe	Bar_Probe
LightGreen_Probe	Bar_Probe
LightGreen_Choice	Bar_Choice
Background	Background
Background	Background
Background	Background
Lock_Probe	LightYellow_Probe
Lock_Probe	LightYellow_Probe
Lock_Probe	LightYellow_Probe
Lock_Choice	LightYellow_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	Lock_Probe
LightGreen_Probe	Lock_Probe
LightGreen_Probe	Lock_Probe
LightGreen_Choice	Lock_Choice
Background	Background
Background	Background
Background	Background
Bar_Probe	DarkGreen_Probe
Bar_Probe	DarkGreen_Probe
Bar_Probe	DarkGreen_Probe
Bar_Choice	DarkGreen_Choice
Background	Background
Background	Background
Background	Background
Hat_Probe	Bar_Probe
Hat_Probe	Bar_Probe
Hat_Probe	Bar_Probe
Hat_Choice	Bar_Choice
Background	Background
Background	Background
Background	Background
Bar_Probe	DarkGreen_Probe
Bar_Probe	DarkGreen_Probe
Bar_Probe	DarkGreen_Probe
Bar_Choice	DarkGreen_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	LightYellow_Probe
LightGreen_Probe	LightYellow_Probe
LightGreen_Probe	LightYellow_Probe
LightGreen_Choice	LightYellow_Choice
Background	Background
Background	Background
Background	Background
DarkGray_Probe	Hat_Probe
DarkGray_Probe	Hat_Probe
DarkGray_Probe	Hat_Probe
DarkGray_Choice	Hat_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	Lock_Probe
LightGreen_Probe	Lock_Probe
LightGreen_Probe	Lock_Probe
LightGreen_Choice	Lock_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	Hat_Probe
LightGreen_Probe	Hat_Probe
LightGreen_Probe	Hat_Probe
LightGreen_Choice	Hat_Choice
Background	Background
Background	Background
Background	Background
LightYellow_Probe	DarkGreen_Probe
LightYellow_Probe	DarkGreen_Probe
LightYellow_Probe	DarkGreen_Probe
LightYellow_Choice	DarkGreen_Choice
Background	Background
Background	Background
Background	Background
LightYellow_Probe	Lock_Probe
LightYellow_Probe	Lock_Probe
LightYellow_Probe	Lock_Probe
LightYellow_Choice	Lock_Choice
Background	Background
Background	Background
Background	Background
LightGreen_Probe	LightYellow_Probe
LightGreen_Probe	LightYellow_Probe
LightGreen_Probe	LightYellow_Probe
LightGreen_Choice	LightYellow_Choice
Background	Background
Background	Background
Background	Background
Hat_Probe	Diamond_Probe
Hat_Probe	Diamond_Probe
Hat_Probe	Diamond_Probe
Hat_Choice	Diamond_Choice
Background	Background
Background	Background
Background	Background
DarkGray_Probe	Lock_Probe
DarkGray_Probe	Lock_Probe
DarkGray_Probe	Lock_Probe
DarkGray_Choice	Lock_Choice
Background	Background
Background	Background
Background	Background
LightYellow_Probe	Diamond_Probe
LightYellow_Probe	Diamond_Probe
LightYellow_Probe	Diamond_Probe
LightYellow_Choice	Diamond_Choice
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
Background	Background
