Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
8,13,Jeeves,2023-07-14,1,Colors,LightGray,1,0,3,0,1,3,UpperLeft,Diamond,UpArrow,Hat,Venn,Venn,LowerRight,UpArrow,0.523985239852399,0.988753477561286,1
8,13,Jeeves,2023-07-14,2,Chromatic,UpArrow,1,1,3,0,1,3,LowerRight,LightYellow,DarkRed,LightGray,DarkGray,DarkRed,LowerRight,DarkRed,0.762962962962963,0.694581561707655,1
8,13,Jeeves,2023-07-14,3,Chromatic,Venn,1,0,3,0,1,3,LowerLeft,DarkGray,DarkRed,LightGray,LightYellow,LightGray,LowerRight,DarkRed,0.562962962962963,0.903157132667318,1
8,13,Jeeves,2023-07-14,4,Chromatic,Hat,1,0,3,0,1,3,LowerRight,LightYellow,DarkGray,DarkRed,LightGray,DarkGray,UpperRight,LightYellow,0.803703703703704,0.654571107543214,1
8,13,Jeeves,2023-07-14,5,Colors,DarkRed,1,1,3,0,1,3,UpperLeft,Venn,Hat,Diamond,UpArrow,UpArrow,UpperLeft,UpArrow,0.356877323420074,2.49925456904916,1
8,13,Jeeves,2023-07-14,6,Colors,LightYellow,1,0,3,0,1,3,UpperRight,Diamond,UpArrow,Venn,Hat,Diamond,None,None,0.422222222222222,1.25792536109756,1
8,13,Jeeves,2023-07-14,7,Colors,LightYellow,1,0,3,0,1,3,LowerRight,Hat,Diamond,Venn,UpArrow,Diamond,UpperLeft,UpArrow,0.548148148148148,0.916251401924014,1
8,13,Jeeves,2023-07-14,8,Chromatic,Hat,1,0,3,0,1,3,UpperLeft,LightGray,DarkRed,LightYellow,DarkGray,DarkGray,LowerRight,DarkRed,0.588888888888889,0.822344239426863,1
8,13,Jeeves,2023-07-14,9,Colors,LightYellow,1,0,3,0,1,3,UpperLeft,Hat,UpArrow,Venn,Diamond,Diamond,None,None,0.62962962962963,0.766548815325842,1
8,13,Jeeves,2023-07-14,10,Chromatic,Diamond,1,0,3,0,1,3,LowerRight,DarkRed,LightYellow,DarkGray,LightGray,LightYellow,UpperRight,DarkRed,0.388888888888889,1.33150195619277,1
8,13,Jeeves,2023-07-14,11,Chromatic,Hat,1,0,3,0,1,3,UpperRight,DarkGray,LightYellow,LightGray,DarkRed,DarkGray,LowerRight,LightYellow,0.607407407407407,0.822344239426863,1
8,13,Jeeves,2023-07-14,12,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,LightGray,DarkRed,DarkGray,LightYellow,LightYellow,UpperLeft,LightYellow,0.496296296296296,1.10318465991091,1
8,13,Jeeves,2023-07-14,13,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,LightGray,DarkRed,DarkGray,LightYellow,LightYellow,UpperLeft,LightYellow,0.662962962962963,0.81253983732595,1
8,13,Jeeves,2023-07-14,14,Colors,DarkRed,1,1,3,0,1,3,UpperLeft,Diamond,Hat,Venn,UpArrow,UpArrow,UpperLeft,UpArrow,0.544444444444444,0.956182636390877,1
8,13,Jeeves,2023-07-14,15,Chromatic,Venn,1,0,3,0,1,3,LowerLeft,DarkRed,LightYellow,LightGray,DarkGray,LightGray,None,None,0.737037037037037,0.695795407546594,1
8,13,Jeeves,2023-07-14,16,Chromatic,Venn,1,0,3,0,1,3,LowerRight,DarkGray,LightGray,DarkRed,LightYellow,LightGray,LowerLeft,DarkRed,0.674074074074074,0.730362195426645,1
8,13,Jeeves,2023-07-14,17,Colors,LightGray,1,0,3,0,1,3,LowerRight,Diamond,Venn,UpArrow,Hat,Venn,None,None,0.459259259259259,1.11541747391647,1
