Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
6,9,Jeeves,2023-07-17,1,Colors,DarkBlue,1,1,3,0,1,3,UpperRight,Nail,Rabbit,Bar,Hat,Nail,UpperRight,Nail,0,6.13706362438645,1
6,9,Jeeves,2023-07-17,2,Colors,DarkBlue,1,1,3,0,1,3,LowerRight,Bar,Nail,Rabbit,Hat,Nail,LowerRight,Nail,0.544444444444444,0.92934567118071,1
6,9,Jeeves,2023-07-17,3,Colors,DarkGray,1,0,3,0,1,3,UpperRight,Hat,Rabbit,Bar,Nail,Hat,UpperLeft,Nail,0.633333333333333,0.694581561707655,1
6,9,Jeeves,2023-07-17,4,Colors,DarkGray,1,0,3,0,1,3,UpperLeft,Nail,Rabbit,Bar,Hat,Hat,LowerRight,Rabbit,0.87360594795539,0.637455090927251,1
6,9,Jeeves,2023-07-17,5,Colors,LightPurple,1,1,3,0,1,3,UpperLeft,Hat,Bar,Nail,Rabbit,Rabbit,UpperLeft,Rabbit,0.537037037037037,0.903157132667318,1
6,9,Jeeves,2023-07-17,6,Colors,DarkBlue,1,1,3,0,1,3,UpperLeft,Rabbit,Bar,Hat,Nail,Nail,UpperLeft,Nail,0.833333333333333,0.654571107543214,1
6,9,Jeeves,2023-07-17,7,Chromatic,Rabbit,1,1,3,0,1,3,LowerRight,DarkGray,LightPurple,DarkGreen,DarkBlue,LightPurple,LowerRight,LightPurple,0.577777777777778,0.903157132667318,1
6,9,Jeeves,2023-07-17,8,Chromatic,Nail,1,1,3,0,1,3,UpperLeft,LightPurple,DarkGreen,DarkGray,DarkBlue,DarkBlue,UpperLeft,DarkBlue,0.762962962962963,0.637455090927251,1
6,9,Jeeves,2023-07-17,9,Chromatic,Bar,1,1,3,0,1,3,LowerRight,DarkGray,DarkGreen,DarkBlue,LightPurple,DarkGreen,LowerRight,DarkGreen,0.944444444444444,0.637455090927251,1
6,9,Jeeves,2023-07-17,10,Colors,DarkBlue,1,1,3,0,1,3,LowerLeft,Rabbit,Bar,Nail,Hat,Nail,LowerLeft,Nail,0.559259259259259,0.903157132667318,1
6,9,Jeeves,2023-07-17,11,Chromatic,Nail,1,0,3,0,1,3,LowerLeft,LightPurple,DarkGray,DarkBlue,DarkGreen,DarkBlue,UpperRight,LightPurple,0.744444444444444,0.654571107543214,1
6,9,Jeeves,2023-07-17,12,Colors,LightPurple,1,0,3,0,1,3,LowerLeft,Hat,Bar,Rabbit,Nail,Rabbit,UpperLeft,Nail,0.474074074074074,1.11541747391647,1
6,9,Jeeves,2023-07-17,13,Chromatic,Nail,1,0,3,0,1,3,LowerLeft,DarkGray,LightPurple,DarkBlue,DarkGreen,DarkBlue,LowerRight,LightPurple,0.785185185185185,0.694581561707655,1
6,9,Jeeves,2023-07-17,14,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,DarkGray,DarkGreen,DarkBlue,LightPurple,DarkBlue,LowerLeft,DarkBlue,0.588888888888889,0.872761476724285,1
6,9,Jeeves,2023-07-17,15,Chromatic,Hat,1,0,3,0,1,3,LowerRight,LightPurple,DarkGray,DarkGreen,DarkBlue,DarkGray,UpperLeft,DarkBlue,0.849624060150376,0.637455090927251,1
6,9,Jeeves,2023-07-17,16,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,LightPurple,DarkBlue,DarkGreen,DarkGray,DarkGreen,LowerLeft,DarkGreen,0.755555555555556,0.694581561707655,1
6,9,Jeeves,2023-07-17,17,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,DarkBlue,DarkGreen,LightPurple,DarkGray,LightPurple,UpperLeft,DarkGray,0.338289962825279,1.24094054034062,1
