Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
13,17,Jeeves,2023-08-04,1,Chromatic,Bar,1,1,3,0,1,3,LowerRight,LightPurple,DarkGreen,LightYellow,DarkGray,DarkGreen,LowerRight,DarkGreen,0.0037037037037037,23.4238847788019,1
13,17,Jeeves,2023-08-04,2,Colors,DarkBlue,1,1,3,0,1,3,UpperLeft,Bar,Rabbit,Spade,Nail,Nail,UpperLeft,Nail,0.333333333333333,1.51209661563633,1
13,17,Jeeves,2023-08-04,3,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,DarkGreen,LightTurquiose,DarkBlue,DarkRed,DarkBlue,LowerLeft,DarkBlue,0.411111111111111,2.09788333373366,1
13,17,Jeeves,2023-08-04,4,Chromatic,Hat,1,1,3,0,1,3,UpperRight,DarkGray,DarkBlue,LightTurquiose,LightYellow,DarkGray,UpperRight,DarkGray,0.733333333333333,0.69528609849362,1
13,17,Jeeves,2023-08-04,5,Colors,DarkGray,1,0,3,0,1,3,LowerLeft,Bar,Nail,Hat,Rabbit,Hat,UpperRight,Bar,0.438661710037175,1.32996720382479,1
13,17,Jeeves,2023-08-04,6,Colors,DarkBlue,1,1,3,0,1,3,LowerLeft,Rabbit,Bar,Nail,UpArrow,Nail,LowerLeft,Nail,0.633333333333333,0.937737054216202,1
13,17,Jeeves,2023-08-04,7,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,DarkRed,DarkGreen,DarkGray,LightPurple,UpperRight,LightPurple,0.611111111111111,0.816428367160594,1
13,17,Jeeves,2023-08-04,8,Colors,DarkRed,1,1,3,0,1,3,LowerRight,Nail,UpArrow,Rabbit,Diamond,UpArrow,LowerRight,UpArrow,0.859259259259259,0.640519979802355,1
13,17,Jeeves,2023-08-04,9,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,DarkBlue,DarkRed,LightYellow,LightPurple,UpperRight,LightPurple,0.837037037037037,0.640519979802355,1
13,17,Jeeves,2023-08-04,10,Colors,DarkBlue,1,1,3,0,1,3,LowerRight,UpArrow,Nail,Bar,Diamond,Nail,LowerRight,Nail,0.582089552238806,0.736370730377398,1
13,17,Jeeves,2023-08-04,11,Colors,DarkGreen,1,1,3,0,1,3,UpperLeft,UpArrow,Nail,Rabbit,Bar,Bar,UpperLeft,Bar,0.740740740740741,0.703302790662151,1
13,17,Jeeves,2023-08-04,12,Chromatic,Diamond,1,1,3,0,1,3,LowerRight,DarkGray,LightYellow,LightTurquiose,DarkBlue,LightYellow,LowerRight,LightYellow,0.600746268656716,0.816428367160594,1
13,17,Jeeves,2023-08-04,13,Chromatic,Rabbit,1,1,3,0,1,3,LowerRight,DarkBlue,LightPurple,LightTurquiose,DarkRed,LightPurple,LowerRight,LightPurple,0.827067669172932,0.736370730377398,1
13,17,Jeeves,2023-08-04,14,Chromatic,Hat,1,1,3,0,1,3,LowerLeft,LightTurquiose,LightPurple,DarkGray,DarkBlue,DarkGray,LowerLeft,DarkGray,0.555970149253731,0.903699075567794,1
13,17,Jeeves,2023-08-04,15,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,UpArrow,Nail,Diamond,Bar,UpperRight,Bar,0.67910447761194,0.827685305032449,1
