Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
9,14,Jeeves,2023-08-11,1,Colors,LightYellow,1,0,3,0,1,3,UpperLeft,Nail,Hat,Spade,Diamond,Diamond,None,None,0.237037037037037,9.00871895356861,1
9,14,Jeeves,2023-08-11,2,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Diamond,UpArrow,Rabbit,Bar,UpperRight,Bar,0.87037037037037,0.51334966771096,1
9,14,Jeeves,2023-08-11,3,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Diamond,Nail,Spade,Rabbit,UpperRight,Rabbit,0.0185185185185185,2.3585107639843,1
9,14,Jeeves,2023-08-11,4,Colors,LightYellow,1,1,3,0,1,3,UpperRight,Diamond,Hat,UpArrow,Bar,Diamond,UpperRight,Diamond,0.0592592592592593,1.64092576854172,1
9,14,Jeeves,2023-08-11,5,Chromatic,Spade,1,0,3,0,1,3,UpperLeft,DarkBlue,LightPurple,LightYellow,LightTurquiose,LightTurquiose,UpperRight,DarkBlue,0.148148148148148,2.22847198562236,1
9,14,Jeeves,2023-08-11,6,Colors,LightYellow,1,0,3,0,1,3,LowerRight,Spade,Diamond,Nail,Hat,Diamond,UpperRight,Spade,0.22962962962963,1.46072439085329,1
9,14,Jeeves,2023-08-11,7,Colors,LightYellow,1,1,3,0,1,3,UpperRight,Diamond,Bar,Rabbit,Hat,Diamond,UpperRight,Diamond,0.296296296296296,1.33150195619277,1
9,14,Jeeves,2023-08-11,8,Chromatic,Rabbit,1,0,3,0,1,3,LowerRight,DarkRed,LightPurple,DarkGray,LightYellow,LightPurple,UpperRight,DarkRed,0.814814814814815,0.694581561707655,1
9,14,Jeeves,2023-08-11,9,Chromatic,UpArrow,1,1,3,0,1,3,UpperLeft,DarkGreen,LightTurquiose,LightYellow,DarkRed,DarkRed,UpperLeft,DarkRed,0.503703703703704,0.972468056976081,1
9,14,Jeeves,2023-08-11,10,Colors,LightYellow,1,1,3,0,1,3,UpperLeft,Hat,UpArrow,Spade,Diamond,Diamond,UpperLeft,Diamond,0.0037037037037037,11.5846577467884,1
9,14,Jeeves,2023-08-11,11,Chromatic,UpArrow,1,1,3,0,1,3,UpperRight,DarkRed,DarkGray,DarkGreen,DarkBlue,DarkRed,UpperRight,DarkRed,0.0037037037037037,2.59268850499145,1
9,14,Jeeves,2023-08-11,12,Chromatic,Bar,1,1,3,0,1,3,UpperRight,DarkGreen,LightYellow,DarkBlue,LightPurple,DarkGreen,UpperRight,DarkGreen,0.0037037037037037,2.97730588923385,1
9,14,Jeeves,2023-08-11,13,Colors,LightPurple,1,1,3,0,1,3,UpperLeft,Hat,UpArrow,Nail,Rabbit,Rabbit,UpperLeft,Rabbit,0.00740740740740741,2.11922882755285,1
9,14,Jeeves,2023-08-11,14,Chromatic,Nail,1,1,3,0,1,3,UpperRight,DarkBlue,DarkGray,DarkGreen,DarkRed,DarkBlue,UpperRight,DarkBlue,0.192592592592593,1.61591289750816,1
9,14,Jeeves,2023-08-11,15,Chromatic,Bar,1,1,3,0,1,3,LowerRight,LightTurquiose,DarkGreen,LightYellow,DarkBlue,DarkGreen,LowerRight,DarkGreen,0.577777777777778,0.95461532239206,1
