Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,13,Wooster,2023-08-13,1,Colors,DarkRed,1,1,3,0,1,3,UpperLeft,Bar,Spade,Rabbit,UpArrow,UpArrow,UpperLeft,UpArrow,0.0996309963099631,17.6471249141715,1
10,13,Wooster,2023-08-13,2,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Hat,UpArrow,Bar,Spade,Bar,LowerLeft,Bar,0.42962962962963,1.19459324893276,1
10,13,Wooster,2023-08-13,3,Chromatic,Bar,1,1,3,0,1,3,UpperLeft,LightYellow,LightTurquiose,LightPurple,DarkGreen,DarkGreen,UpperLeft,DarkGreen,0.159259259259259,1.76240450978022,1
10,13,Wooster,2023-08-13,4,Colors,LightYellow,1,1,3,0,1,3,LowerRight,Rabbit,Diamond,Nail,Hat,Diamond,LowerRight,Diamond,0.588888888888889,0.976964637195478,1
10,13,Wooster,2023-08-13,5,Chromatic,Bar,1,0,3,0,1,3,UpperLeft,LightPurple,DarkRed,LightYellow,DarkGreen,DarkGreen,LowerRight,DarkRed,0.440740740740741,1.18380573268124,1
10,13,Wooster,2023-08-13,6,Chromatic,UpArrow,1,1,3,0,1,3,UpperRight,DarkRed,DarkGreen,LightPurple,LightTurquiose,DarkRed,UpperRight,DarkRed,0.792592592592593,0.654571107543214,1
10,13,Wooster,2023-08-13,7,Chromatic,UpArrow,1,1,3,0,1,3,LowerRight,DarkGreen,DarkRed,LightTurquiose,DarkBlue,DarkRed,LowerRight,DarkRed,0.453531598513011,1.19459324893276,1
10,13,Wooster,2023-08-13,8,Colors,DarkRed,1,1,3,0,1,3,LowerRight,Diamond,UpArrow,Rabbit,Bar,UpArrow,LowerRight,UpArrow,0.695167286245353,0.69834275961608,1
10,13,Wooster,2023-08-13,9,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,DarkRed,LightPurple,DarkBlue,DarkGreen,DarkBlue,LowerLeft,DarkBlue,0.803703703703704,0.654128501196245,1
10,13,Wooster,2023-08-13,10,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Nail,Spade,Diamond,Rabbit,UpperRight,Rabbit,0.533333333333333,0.976964637195478,1
10,13,Wooster,2023-08-13,11,Colors,DarkGray,1,1,3,0,1,3,UpperLeft,Spade,Bar,Diamond,Hat,Hat,UpperLeft,Hat,0.688888888888889,0.815684028985342,1
10,13,Wooster,2023-08-13,12,Colors,LightPurple,1,1,3,0,1,3,LowerRight,Nail,Rabbit,Diamond,Bar,Rabbit,LowerRight,Rabbit,0.496296296296296,1.07884646724134,1
10,13,Wooster,2023-08-13,13,Chromatic,UpArrow,1,1,3,0,1,3,LowerRight,DarkGray,DarkRed,LightPurple,DarkGreen,DarkRed,LowerRight,DarkRed,0.803703703703704,0.69834275961608,1
10,13,Wooster,2023-08-13,14,Chromatic,Hat,1,1,3,0,1,3,LowerRight,DarkRed,DarkGray,LightYellow,DarkBlue,DarkGray,LowerRight,DarkGray,0.548148148148148,0.980528842273915,1
10,13,Wooster,2023-08-13,15,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,DarkRed,LightPurple,DarkBlue,LightTurquiose,DarkBlue,LowerLeft,DarkBlue,0.776951672862453,0.654571107543214,1
11,14,Wooster,2023-08-13,1,Chromatic,Nail,1,1,3,0,1,3,LowerRight,DarkGreen,DarkBlue,DarkRed,LightYellow,DarkBlue,LowerRight,DarkBlue,0.330855018587361,2.02312805175168,1
11,14,Wooster,2023-08-13,2,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,DarkGray,DarkRed,DarkBlue,DarkGreen,DarkBlue,LowerLeft,DarkBlue,0.707407407407407,0.761958340661776,1
11,14,Wooster,2023-08-13,3,Colors,DarkGray,1,1,3,0,1,3,UpperLeft,Bar,Diamond,Spade,Hat,Hat,UpperLeft,Hat,0.47037037037037,1.13784272681009,1
11,14,Wooster,2023-08-13,4,Chromatic,Hat,1,1,3,0,1,3,UpperRight,DarkGray,LightPurple,DarkBlue,LightYellow,DarkGray,UpperRight,DarkGray,0.744444444444444,0.69834275961608,1
11,14,Wooster,2023-08-13,5,Colors,DarkRed,1,1,3,0,1,3,LowerLeft,Diamond,Rabbit,UpArrow,Bar,UpArrow,LowerLeft,UpArrow,0.535315985130111,0.980528842273915,1
11,14,Wooster,2023-08-13,6,Colors,DarkGray,1,1,3,0,1,3,UpperLeft,Diamond,Nail,UpArrow,Hat,Hat,UpperLeft,Hat,0.8,0.653685894849277,1
11,14,Wooster,2023-08-13,7,Chromatic,Spade,1,1,3,0,1,3,UpperRight,LightTurquiose,DarkBlue,DarkGray,LightPurple,LightTurquiose,UpperRight,LightTurquiose,0.562962962962963,0.889407191875568,1
11,14,Wooster,2023-08-13,8,Colors,DarkGray,1,1,3,0,1,3,LowerLeft,Rabbit,Diamond,Hat,Nail,Hat,LowerLeft,Hat,0.87037037037037,0.533370544288661,1
11,14,Wooster,2023-08-13,9,Colors,LightYellow,1,1,3,0,1,3,UpperLeft,Hat,Rabbit,UpArrow,Diamond,Diamond,UpperLeft,Diamond,0.818518518518519,0.653685894849277,1
11,14,Wooster,2023-08-13,10,Colors,DarkBlue,1,1,3,0,1,3,LowerRight,Hat,Nail,UpArrow,Spade,Nail,LowerRight,Nail,0.562962962962963,0.906052907026851,1
11,14,Wooster,2023-08-13,11,Chromatic,UpArrow,1,1,3,0,1,3,UpperRight,DarkRed,DarkGray,DarkGreen,DarkBlue,DarkRed,UpperRight,DarkRed,0.685185185185185,0.761958340661776,1
11,14,Wooster,2023-08-13,12,Colors,LightTurquiose,1,1,3,0,1,3,UpperRight,Spade,UpArrow,Rabbit,Hat,Spade,UpperRight,Spade,0.462962962962963,1.13784272681009,1
11,14,Wooster,2023-08-13,13,Colors,DarkGray,1,1,3,0,1,3,UpperRight,Hat,Bar,Spade,Diamond,Hat,UpperRight,Hat,0.851851851851852,0.653685894849277,1
11,14,Wooster,2023-08-13,14,Chromatic,Bar,1,0,3,0,1,3,UpperRight,DarkGreen,DarkBlue,LightYellow,DarkGray,DarkGreen,UpperLeft,DarkGray,0.540740740740741,0.889407191875568,1
11,14,Wooster,2023-08-13,15,Chromatic,Bar,1,0,3,0,1,3,UpperRight,DarkGreen,DarkGray,LightTurquiose,LightYellow,DarkGreen,LowerRight,DarkGray,0.774074074074074,0.653685894849277,1
12,15,Wooster,2023-08-13,1,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,DarkBlue,DarkRed,DarkGreen,DarkGray,DarkGreen,UpperLeft,DarkGray,0.155555555555556,5.60994504849155,1
12,15,Wooster,2023-08-13,2,Colors,DarkBlue,1,1,3,0,1,3,LowerLeft,Hat,Bar,Nail,Diamond,Nail,LowerLeft,Nail,0.0148148148148148,3.97608585634205,1
12,15,Wooster,2023-08-13,3,Chromatic,Nail,1,1,3,0,1,3,LowerRight,DarkRed,DarkBlue,LightTurquiose,LightYellow,DarkBlue,LowerRight,DarkBlue,0.256505576208178,2.41239938167085,1
12,15,Wooster,2023-08-13,4,Chromatic,Hat,1,1,3,0,1,3,LowerRight,DarkGreen,DarkGray,LightPurple,DarkRed,DarkGray,LowerRight,DarkGray,0.539033457249071,0.980528842273915,1
12,15,Wooster,2023-08-13,5,Colors,DarkGray,1,0,3,0,1,3,UpperRight,Hat,Rabbit,Diamond,UpArrow,Hat,None,None,0.288888888888889,1.73791253462104,1
12,15,Wooster,2023-08-13,6,Colors,DarkBlue,1,0,3,0,1,3,UpperLeft,UpArrow,Rabbit,Spade,Nail,Nail,None,None,0.381481481481481,1.22645473789054,1
12,15,Wooster,2023-08-13,7,Chromatic,Rabbit,1,1,3,0,1,3,LowerRight,DarkGray,LightPurple,LightYellow,DarkBlue,LightPurple,LowerRight,LightPurple,0.214814814814815,1.69284325874131,1
12,15,Wooster,2023-08-13,8,Colors,DarkRed,1,1,3,0,1,3,UpperRight,UpArrow,Diamond,Hat,Bar,UpArrow,UpperRight,UpArrow,0.644444444444444,0.861645839362143,1
12,15,Wooster,2023-08-13,9,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,LightYellow,DarkBlue,DarkGreen,LightPurple,UpperRight,LightPurple,0.622222222222222,0.850530202000001,1
12,15,Wooster,2023-08-13,10,Colors,DarkBlue,1,1,3,0,1,3,UpperRight,Nail,UpArrow,Hat,Rabbit,Nail,UpperRight,Nail,0.203703703703704,2.92862981998181,1
12,15,Wooster,2023-08-13,11,Colors,DarkGreen,1,1,3,0,1,3,UpperLeft,Hat,UpArrow,Rabbit,Bar,Bar,UpperLeft,Bar,0.602230483271376,0.906052907026851,1
12,15,Wooster,2023-08-13,12,Chromatic,Diamond,1,1,3,0,1,3,UpperRight,LightYellow,DarkGray,LightPurple,LightTurquiose,LightYellow,UpperRight,LightYellow,0.292592592592593,1.53696508594554,1
12,15,Wooster,2023-08-13,13,Chromatic,Rabbit,1,1,3,0,1,3,LowerLeft,DarkGray,DarkGreen,LightPurple,DarkBlue,LightPurple,LowerLeft,LightPurple,0.123134328358209,1.54659758762358,1
12,15,Wooster,2023-08-13,14,Chromatic,Hat,1,1,3,0,1,3,UpperLeft,LightPurple,DarkGreen,LightYellow,DarkGray,DarkGray,UpperLeft,DarkGray,0.371747211895911,1.19459324893276,1
12,15,Wooster,2023-08-13,15,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Diamond,UpArrow,Bar,Hat,Bar,LowerLeft,Bar,0.250936329588015,2.44894438522386,1
13,17,Wooster,2023-08-13,1,Colors,DarkGray,1,1,3,0,1,3,LowerLeft,Diamond,UpArrow,Hat,Rabbit,Hat,LowerLeft,Hat,0.140740740740741,1.97645038251625,1
13,17,Wooster,2023-08-13,2,Colors,DarkRed,1,1,3,0,1,3,LowerRight,Hat,UpArrow,Diamond,Rabbit,UpArrow,LowerRight,UpArrow,0.422222222222222,1.19809687889855,1
13,17,Wooster,2023-08-13,3,Chromatic,UpArrow,1,0,3,0,1,3,UpperLeft,DarkGreen,DarkBlue,LightPurple,DarkRed,DarkRed,LowerRight,DarkBlue,0.225925925925926,1.93098376205371,1
13,17,Wooster,2023-08-13,4,Chromatic,Nail,1,1,3,0,1,3,LowerLeft,LightPurple,DarkGreen,DarkBlue,LightTurquiose,DarkBlue,LowerLeft,DarkBlue,0.574074074074074,0.853843285420738,1
13,17,Wooster,2023-08-13,5,Colors,DarkRed,1,1,3,0,1,3,UpperLeft,Rabbit,Bar,Hat,UpArrow,UpArrow,UpperLeft,UpArrow,0.446494464944649,1.13918352864948,1
13,17,Wooster,2023-08-13,6,Colors,LightTurquiose,1,1,3,0,1,3,UpperLeft,Rabbit,Nail,Diamond,Spade,Spade,UpperLeft,Spade,0.122222222222222,2.41878940187924,1
13,17,Wooster,2023-08-13,7,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Diamond,Spade,Bar,UpArrow,Bar,LowerLeft,Bar,0.0520446096654275,2.48004640589388,1
13,17,Wooster,2023-08-13,8,Chromatic,Nail,1,0,3,0,1,3,LowerRight,DarkGray,DarkBlue,LightYellow,LightPurple,DarkBlue,None,None,0.366666666666667,1.31205659282989,1
13,17,Wooster,2023-08-13,9,Colors,DarkGreen,1,0,3,0,1,3,UpperRight,Bar,Hat,UpArrow,Rabbit,Bar,LowerLeft,UpArrow,0.755555555555556,0.71067228200639,1
13,17,Wooster,2023-08-13,10,Colors,LightYellow,1,1,3,0,1,3,UpperLeft,UpArrow,Hat,Spade,Diamond,Diamond,UpperLeft,Diamond,0.148148148148148,1.7353960474898,1
13,17,Wooster,2023-08-13,11,Chromatic,Nail,1,1,3,0,1,3,UpperLeft,DarkRed,DarkGray,LightYellow,DarkBlue,DarkBlue,UpperLeft,DarkBlue,0.533333333333333,0.981856661314821,1
13,17,Wooster,2023-08-13,12,Colors,LightTurquiose,1,1,3,0,1,3,UpperLeft,Rabbit,Bar,Nail,Spade,Spade,UpperLeft,Spade,0.218518518518519,1.47278499197223,1
13,17,Wooster,2023-08-13,13,Chromatic,UpArrow,1,1,3,0,1,3,LowerLeft,DarkBlue,DarkGray,DarkRed,LightPurple,DarkRed,LowerLeft,DarkRed,0.337037037037037,1.22056638876806,1
13,17,Wooster,2023-08-13,14,Chromatic,Bar,1,0,3,0,1,3,UpperLeft,LightYellow,DarkGray,DarkBlue,DarkGreen,DarkGreen,LowerLeft,DarkBlue,0.374074074074074,1.22732082664353,1
13,17,Wooster,2023-08-13,15,Colors,LightTurquiose,1,1,3,0,1,3,UpperLeft,Bar,UpArrow,Nail,Spade,Spade,UpperLeft,Spade,0.396296296296296,1.09586477435845,1
14,18,Wooster,2023-08-13,1,Colors,LightTurquiose,1,1,3,0,1,3,UpperRight,Spade,UpArrow,Nail,Rabbit,Spade,UpperRight,Spade,0.0111524163568773,21.4105906505658,1
14,18,Wooster,2023-08-13,2,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,DarkBlue,DarkGray,LightPurple,LightYellow,LightYellow,UpperLeft,LightYellow,0.337037037037037,1.31205659282989,1
14,18,Wooster,2023-08-13,3,Chromatic,Diamond,1,1,3,0,1,3,UpperLeft,DarkGreen,LightPurple,DarkBlue,LightYellow,LightYellow,UpperLeft,LightYellow,0.374074074074074,1.32030053844735,1
14,18,Wooster,2023-08-13,4,Colors,DarkRed,1,1,3,0,1,3,LowerRight,Nail,UpArrow,Diamond,Bar,UpArrow,LowerRight,UpArrow,0.5,0.992864844996167,1
14,18,Wooster,2023-08-13,5,Colors,DarkRed,1,1,3,0,1,3,UpperLeft,Bar,Diamond,Nail,UpArrow,UpArrow,UpperLeft,UpArrow,0.355555555555556,1.2512136854234,1
14,18,Wooster,2023-08-13,6,Chromatic,Bar,1,1,3,0,1,3,LowerLeft,DarkRed,DarkBlue,DarkGreen,LightPurple,DarkGreen,LowerLeft,DarkGreen,0.633333333333333,0.775559915946224,1
14,18,Wooster,2023-08-13,7,Chromatic,Rabbit,1,0,3,0,1,3,LowerRight,DarkRed,LightPurple,DarkGray,DarkBlue,LightPurple,UpperRight,DarkRed,0.218518518518519,1.7353960474898,1
14,18,Wooster,2023-08-13,8,Colors,DarkGray,1,1,3,0,1,3,LowerLeft,Rabbit,UpArrow,Hat,Nail,Hat,LowerLeft,Hat,0.392592592592593,1.09586477435845,1
14,18,Wooster,2023-08-13,9,Chromatic,Rabbit,1,1,3,0,1,3,UpperRight,LightPurple,DarkGreen,DarkGray,LightTurquiose,LightPurple,UpperRight,LightPurple,0.402985074626866,1.02425269288167,1
14,18,Wooster,2023-08-13,10,Colors,LightTurquiose,1,0,3,0,1,3,LowerRight,Rabbit,Spade,Nail,Bar,Spade,None,None,0.103703703703704,3.87779957973112,1
14,18,Wooster,2023-08-13,11,Colors,LightYellow,1,1,3,0,1,3,LowerLeft,Rabbit,Nail,Diamond,UpArrow,Diamond,LowerLeft,Diamond,0.485185185185185,1.01156402587584,1
14,18,Wooster,2023-08-13,12,Colors,DarkGreen,1,1,3,0,1,3,LowerLeft,Rabbit,Diamond,Bar,UpArrow,Bar,LowerLeft,Bar,0.403703703703704,1.2512136854234,1
14,18,Wooster,2023-08-13,13,Chromatic,Hat,1,1,3,0,1,3,LowerRight,LightTurquiose,DarkGray,LightPurple,DarkBlue,DarkGray,LowerRight,DarkGray,0.677777777777778,0.71067228200639,1
14,18,Wooster,2023-08-13,14,Colors,LightPurple,1,0,3,0,1,3,LowerLeft,Spade,Bar,Rabbit,Diamond,Rabbit,UpperRight,Spade,0.540740740740741,0.882695308957781,1
