Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
9,12,Jeeves,2023-12-19,1,Colors,DarkPurple,1,1,3,0,1,3,UpperLeft,Hourglass,Spike,Sawblade,Puzzle,Puzzle,UpperLeft,Puzzle,0,125.307531210074,0
9,12,Jeeves,2023-12-19,2,Chromatic,Hourglass,1,1,3,0,1,3,UpperLeft,DarkTurquiose,DarkPurple,LightGreen,LightRed,LightRed,UpperLeft,LightRed,0,10.3243319834776,0
9,12,Jeeves,2023-12-19,3,Chromatic,Sawblade,1,1,3,0,1,3,UpperRight,LightBlue,LightRed,LightGray,DarkPurple,LightBlue,UpperRight,LightBlue,0.196296296296296,3.09691950597211,0
9,12,Jeeves,2023-12-19,4,Chromatic,Dodecagon,1,0,3,0,1,3,LowerRight,LightGreen,DarkTurquiose,LightRed,DarkYellow,DarkTurquiose,UpperLeft,DarkYellow,0.0929368029739777,23.8150271352284,0
9,12,Jeeves,2023-12-19,5,Chromatic,Puzzle,1,0,3,0,1,3,LowerLeft,LightGray,LightBlue,DarkPurple,LightGreen,DarkPurple,None,None,0,31.0164521508853,0
9,12,Jeeves,2023-12-19,6,Chromatic,Spike,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,7,Chromatic,Venn,1,0,3,0,1,3,LowerLeft,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,8,Colors,LightGreen,1,0,3,0,1,3,UpperRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,9,Chromatic,Sawblade,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,10,Chromatic,Puzzle,1,0,3,0,1,3,LowerRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,11,Colors,DarkPurple,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,12,Colors,DarkTurquiose,1,0,3,0,1,3,UpperRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,13,Chromatic,Dodecagon,1,0,3,0,1,3,LowerLeft,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,14,Chromatic,Spike,1,0,3,0,1,3,UpperRight,,,,,,None,None,NaN,NaN,0
9,12,Jeeves,2023-12-19,15,Colors,DarkTurquiose,1,0,3,0,1,3,UpperLeft,,,,,,None,None,NaN,NaN,0
