IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	IMA11	IMA12
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Probe	UpArrow_Probe	LightYellow_Probe	LightYellow_Probe	LightPurple_Probe	LightPurple_Probe	Bar_Probe	Spade_Probe	DarkRed_Probe
Spade_Probe	UpArrow_Probe	LightYellow_Probe	LightYellow_Probe	LightPurple_Probe	LightPurple_Probe	Bar_Probe	Spade_Probe	DarkRed_Probe
Spade_Probe	UpArrow_Probe	LightYellow_Probe	LightYellow_Probe	LightPurple_Probe	LightPurple_Probe	Bar_Probe	Spade_Probe	DarkRed_Probe
Spade_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Probe	Spade_Probe	LightYellow_Probe	DarkRed_Probe	DarkGreen_Probe	Hat_Probe	Nail_Probe	Rabbit_Probe	DarkGreen_Probe
Hat_Probe	Spade_Probe	LightYellow_Probe	DarkRed_Probe	DarkGreen_Probe	Hat_Probe	Nail_Probe	Rabbit_Probe	DarkGreen_Probe
Hat_Probe	Spade_Probe	LightYellow_Probe	DarkRed_Probe	DarkGreen_Probe	Hat_Probe	Nail_Probe	Rabbit_Probe	DarkGreen_Probe
Hat_Choice	Spade_Choice	LightYellow_Choice	DarkRed_Choice	DarkGreen_Choice	Hat_Choice	Nail_Choice	Rabbit_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar_Probe	LightTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	DarkBlue_Probe	Diamond_Probe	Spade_Probe	UpArrow_Probe	Bar_Probe
Bar_Probe	LightTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	DarkBlue_Probe	Diamond_Probe	Spade_Probe	UpArrow_Probe	Bar_Probe
Bar_Probe	LightTurquiose_Probe	LightTurquiose_Probe	Spade_Probe	DarkBlue_Probe	Diamond_Probe	Spade_Probe	UpArrow_Probe	Bar_Probe
Bar_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Spade_Choice	DarkBlue_Choice	Diamond_Choice	Spade_Choice	UpArrow_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Probe	Hat_Probe	Nail_Probe	DarkRed_Probe	LightYellow_Probe	Bar_Probe	Nail_Probe	DarkGreen_Probe	LightYellow_Probe
Hat_Probe	Hat_Probe	Nail_Probe	DarkRed_Probe	LightYellow_Probe	Bar_Probe	Nail_Probe	DarkGreen_Probe	LightYellow_Probe
Hat_Probe	Hat_Probe	Nail_Probe	DarkRed_Probe	LightYellow_Probe	Bar_Probe	Nail_Probe	DarkGreen_Probe	LightYellow_Probe
Hat_Choice	Hat_Choice	Nail_Choice	DarkRed_Choice	LightYellow_Choice	Bar_Choice	Nail_Choice	DarkGreen_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Probe	Hat_Probe	DarkBlue_Probe	Hat_Probe	Spade_Probe	Diamond_Probe	Diamond_Probe	DarkGreen_Probe	Bar_Probe
Spade_Probe	Hat_Probe	DarkBlue_Probe	Hat_Probe	Spade_Probe	Diamond_Probe	Diamond_Probe	DarkGreen_Probe	Bar_Probe
Spade_Probe	Hat_Probe	DarkBlue_Probe	Hat_Probe	Spade_Probe	Diamond_Probe	Diamond_Probe	DarkGreen_Probe	Bar_Probe
Spade_Choice	Hat_Choice	DarkBlue_Choice	Hat_Choice	Spade_Choice	Diamond_Choice	Diamond_Choice	DarkGreen_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple_Probe	UpArrow_Probe	Diamond_Probe	Rabbit_Probe	Bar_Probe	DarkGray_Probe	Nail_Probe	Rabbit_Probe	UpArrow_Probe
LightPurple_Probe	UpArrow_Probe	Diamond_Probe	Rabbit_Probe	Bar_Probe	DarkGray_Probe	Nail_Probe	Rabbit_Probe	UpArrow_Probe
LightPurple_Probe	UpArrow_Probe	Diamond_Probe	Rabbit_Probe	Bar_Probe	DarkGray_Probe	Nail_Probe	Rabbit_Probe	UpArrow_Probe
LightPurple_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background
