Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
1,4,Jeeves,2024-01-22,1,Chromatic,Spade,1,1,3,0,1,3,LowerRight,DarkGreen,LightTurquiose,DarkRed,LightPurple,LightTurquiose,LowerRight,LightTurquiose,0.222222222222222,3.70675865674091,1
1,4,Jeeves,2024-01-22,2,Chromatic,Hat,1,0,3,0,1,3,UpperLeft,LightTurquiose,LightPurple,DarkGreen,DarkGray,DarkGray,UpperRight,LightTurquiose,0.67037037037037,0.754854083781006,1
1,4,Jeeves,2024-01-22,3,Chromatic,Bar,1,0,3,0,1,3,UpperLeft,DarkBlue,LightTurquiose,DarkGray,DarkGreen,DarkGreen,LowerRight,LightTurquiose,0.466666666666667,1.01497108209798,1
1,4,Jeeves,2024-01-22,4,Chromatic,Hat,1,0,3,0,1,3,UpperRight,DarkGray,DarkGreen,DarkRed,LightPurple,DarkGray,LowerRight,DarkGreen,0.72962962962963,0.72491887654086,1
1,4,Jeeves,2024-01-22,5,Chromatic,Spade,1,1,3,0,1,3,UpperRight,LightTurquiose,DarkBlue,LightYellow,LightPurple,LightTurquiose,UpperRight,LightTurquiose,0.418518518518519,1.14340266681804,1
1,4,Jeeves,2024-01-22,6,Colors,LightPurple,1,1,3,0,1,3,UpperLeft,Nail,Hat,UpArrow,Rabbit,Rabbit,UpperLeft,Rabbit,0.72962962962963,0.788192619966715,1
1,4,Jeeves,2024-01-22,7,Colors,DarkRed,1,1,3,0,1,3,LowerRight,Bar,UpArrow,Nail,Hat,UpArrow,LowerRight,UpArrow,0.555555555555556,0.905242410941904,1
1,4,Jeeves,2024-01-22,8,Chromatic,Diamond,1,0,3,0,1,3,UpperRight,LightYellow,DarkGray,LightTurquiose,LightPurple,LightYellow,LowerLeft,LightTurquiose,0.585185185185185,0.871789114405601,1
1,4,Jeeves,2024-01-22,9,Colors,DarkBlue,1,0,3,0,1,3,LowerLeft,Bar,UpArrow,Nail,Hat,Nail,UpperRight,Bar,0.740740740740741,0.779663357891688,1
1,4,Jeeves,2024-01-22,10,Colors,DarkGray,1,0,3,0,1,3,UpperLeft,Diamond,Rabbit,UpArrow,Hat,Hat,None,None,0.607407407407407,0.82590182403485,1
1,4,Jeeves,2024-01-22,11,Colors,LightTurquiose,1,0,3,0,1,3,LowerLeft,Rabbit,Diamond,Spade,UpArrow,Spade,UpperLeft,UpArrow,0.896296296296296,0.611243594555302,1
1,4,Jeeves,2024-01-22,12,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,DarkRed,DarkBlue,LightPurple,DarkGreen,LightPurple,LowerRight,DarkBlue,0.605947955390335,0.7971024781751,1
1,4,Jeeves,2024-01-22,13,Chromatic,Rabbit,1,0,3,0,1,3,UpperLeft,DarkGray,DarkRed,DarkGreen,LightPurple,LightPurple,LowerLeft,DarkGreen,0.748148148148148,0.65603068594307,1
1,4,Jeeves,2024-01-22,14,Chromatic,Spade,1,1,3,0,1,3,UpperLeft,LightPurple,DarkGray,DarkRed,LightTurquiose,LightTurquiose,UpperLeft,LightTurquiose,0.396296296296296,1.18357349166847,1
1,4,Jeeves,2024-01-22,15,Chromatic,UpArrow,1,0,3,0,1,3,LowerLeft,LightPurple,DarkGreen,DarkRed,DarkGray,DarkRed,LowerRight,DarkGreen,0.692592592592593,0.647283835023624,1
