Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
26,29,Wooster,2024-01-25,1,Chromatic,Dodecagon,1,1,3,0,1,3,UpperLeft,LightGreen,LightGray,DarkPurple,DarkTurquiose,DarkTurquiose,UpperLeft,DarkTurquiose,0.218518518518519,1.63219772577167,1
26,29,Wooster,2024-01-25,2,Colors,LightGray,1,1,3,0,1,3,LowerRight,Dodecagon,Venn,Puzzle,Spike,Venn,LowerRight,Venn,0.240740740740741,1.29438781900587,1
26,29,Wooster,2024-01-25,3,Chromatic,Dodecagon,1,1,3,0,1,3,UpperLeft,LightGreen,LightGray,LightBlue,DarkTurquiose,DarkTurquiose,UpperLeft,DarkTurquiose,0.0703703703703704,1.66395694717076,1
26,29,Wooster,2024-01-25,4,Colors,LightGreen,1,1,3,0,1,3,LowerLeft,Spike,Hourglass,Lock,Venn,Lock,LowerLeft,Lock,0.062962962962963,1.65879210708922,1
26,29,Wooster,2024-01-25,5,Chromatic,Puzzle,1,1,3,0,1,3,UpperLeft,DarkYellow,LightRed,LightBlue,DarkPurple,DarkPurple,UpperLeft,DarkPurple,0.511111111111111,0.939828951896624,1
26,29,Wooster,2024-01-25,6,Colors,LightBlue,1,1,3,0,1,3,LowerLeft,Puzzle,Dodecagon,Sawblade,Spike,Sawblade,LowerLeft,Sawblade,0.981481481481482,0.414972227191969,1
26,29,Wooster,2024-01-25,7,Chromatic,Hourglass,1,1,3,0,1,3,UpperRight,LightRed,LightGray,LightGreen,DarkPurple,LightRed,UpperRight,LightRed,0.67037037037037,0.540564217691917,1
26,29,Wooster,2024-01-25,8,Chromatic,Hourglass,1,1,3,0,1,3,UpperRight,LightRed,LightGreen,LightGray,DarkTurquiose,LightRed,UpperRight,LightRed,0.97037037037037,0.43835978635313,1
26,29,Wooster,2024-01-25,9,Chromatic,Spike,1,1,3,0,1,3,LowerLeft,DarkPurple,LightBlue,DarkYellow,LightGray,DarkYellow,LowerLeft,DarkYellow,0.996296296296296,0.533568808347868,1
26,29,Wooster,2024-01-25,10,Chromatic,Lock,1,1,3,0,1,3,LowerLeft,LightBlue,LightGray,LightGreen,DarkTurquiose,LightGreen,LowerLeft,LightGreen,0.67037037037037,0.540564217691917,1
26,29,Wooster,2024-01-25,11,Chromatic,Venn,1,1,3,0,1,3,UpperRight,LightGray,LightRed,LightBlue,DarkTurquiose,LightGray,UpperRight,LightGray,0.974074074074074,0.472569954442121,1
26,29,Wooster,2024-01-25,12,Colors,DarkTurquiose,1,1,3,0,1,3,LowerRight,Puzzle,Dodecagon,Venn,Lock,Dodecagon,LowerRight,Dodecagon,0.581481481481481,0.73446556949373,1
26,29,Wooster,2024-01-25,13,Colors,DarkYellow,1,1,3,0,1,3,LowerRight,Lock,Spike,Sawblade,Dodecagon,Spike,LowerRight,Spike,0.955555555555556,0.546747460027494,1
26,29,Wooster,2024-01-25,14,Colors,DarkPurple,1,0,3,0,1,3,UpperLeft,Sawblade,Hourglass,Venn,Puzzle,Puzzle,LowerRight,Hourglass,0.684014869888476,0.708408038095157,1
26,29,Wooster,2024-01-25,15,Colors,DarkYellow,1,1,3,0,1,3,UpperRight,Spike,Puzzle,Lock,Hourglass,Spike,UpperRight,Spike,0.962962962962963,0.430350312072149,1
