Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,17,Jeeves,2024-03-14,1,Chromatic,Sawblade,1,0,3,0,1,3,UpperLeft,DarkPurple,LightGray,LightGreen,LightBlue,LightBlue,UpperRight,DarkPurple,0.244444444444444,1.81287862353071,1
10,17,Jeeves,2024-03-14,2,Chromatic,Sawblade,1,0,3,0,1,3,UpperLeft,DarkTurquiose,DarkYellow,DarkPurple,LightBlue,LightBlue,LowerLeft,DarkPurple,0.974074074074074,0.56391622962836,1
10,17,Jeeves,2024-03-14,3,Colors,LightGray,1,1,3,0,1,3,UpperLeft,Hourglass,Spike,Dodecagon,Venn,Venn,UpperLeft,Venn,0.166666666666667,2.00449869295605,1
10,17,Jeeves,2024-03-14,4,Chromatic,Venn,1,1,3,0,1,3,LowerRight,DarkPurple,LightGray,DarkYellow,LightGreen,LightGray,LowerRight,LightGray,0.618518518518518,0.888887467110322,1
10,17,Jeeves,2024-03-14,5,Colors,LightRed,1,0,3,0,1,3,UpperLeft,Spike,Venn,Lock,Hourglass,Hourglass,UpperRight,Spike,0.3,1.32123497636882,1
10,17,Jeeves,2024-03-14,6,Colors,LightGray,1,1,3,0,1,3,LowerLeft,Hourglass,Spike,Venn,Sawblade,Venn,LowerLeft,Venn,0.592592592592593,0.567617596242184,1
10,17,Jeeves,2024-03-14,7,Chromatic,Dodecagon,1,1,3,0,1,3,LowerRight,DarkYellow,DarkTurquiose,LightGreen,DarkPurple,DarkTurquiose,LowerRight,DarkTurquiose,0.685185185185185,0.480388099567629,1
10,17,Jeeves,2024-03-14,8,Colors,LightGray,1,1,3,0,1,3,LowerRight,Puzzle,Venn,Sawblade,Hourglass,Venn,LowerRight,Venn,0.944444444444444,0.333371239485244,1
10,17,Jeeves,2024-03-14,9,Colors,DarkYellow,1,1,3,0,1,3,UpperLeft,Lock,Dodecagon,Puzzle,Spike,Spike,UpperLeft,Spike,0.859259259259259,0.59219748546666,1
10,17,Jeeves,2024-03-14,10,Colors,LightBlue,1,0,3,0,1,3,LowerLeft,Lock,Dodecagon,Sawblade,Spike,Sawblade,LowerRight,Dodecagon,0.314814814814815,1.46943575693658,1
10,17,Jeeves,2024-03-14,11,Chromatic,Hourglass,1,1,3,0,1,3,LowerRight,DarkTurquiose,LightRed,DarkPurple,LightGray,LightRed,LowerRight,LightRed,0.311111111111111,1.5239437811623,1
10,17,Jeeves,2024-03-14,12,Colors,DarkTurquiose,1,0,3,0,1,3,UpperRight,Dodecagon,Sawblade,Lock,Spike,Dodecagon,LowerRight,Sawblade,0.566666666666667,0.827003230488769,1
10,17,Jeeves,2024-03-14,13,Colors,LightGray,1,1,3,0,1,3,UpperRight,Venn,Lock,Puzzle,Hourglass,Venn,UpperRight,Venn,0.737037037037037,0.790940088281384,1
10,17,Jeeves,2024-03-14,14,Chromatic,Lock,1,0,3,0,1,3,LowerRight,LightRed,LightGreen,LightGray,LightBlue,LightGreen,LowerLeft,LightGray,0.585185185185185,0.753553578779053,1
10,17,Jeeves,2024-03-14,15,Chromatic,Lock,1,0,3,0,1,3,UpperLeft,DarkTurquiose,DarkPurple,LightGray,LightGreen,LightGreen,LowerLeft,LightGray,0.225925925925926,1.42875077704814,1
