Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
14,14,Jeeves,2023-08-15,1,Chromatic,Spade,1,1,3,0,1,3,UpperRight,LightTurquiose,DarkRed,LightYellow,DarkGreen,LightTurquiose,UpperRight,LightTurquiose,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,2,Colors,LightPurple,1,0,3,0,1,3,LowerLeft,Bar,UpArrow,Rabbit,Spade,Rabbit,UpperRight,Bar,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,3,Colors,DarkGray,1,0,3,0,1,3,LowerRight,UpArrow,Hat,Rabbit,Spade,Hat,UpperRight,UpArrow,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,4,Colors,DarkGray,1,0,3,0,1,3,LowerRight,Bar,Hat,UpArrow,Spade,Hat,UpperRight,Bar,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,5,Colors,LightPurple,1,1,3,0,1,3,UpperRight,Rabbit,Spade,UpArrow,Diamond,Rabbit,UpperRight,Rabbit,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,6,Chromatic,Nail,1,1,3,0,1,3,UpperRight,DarkBlue,DarkRed,DarkGreen,LightTurquiose,DarkBlue,UpperRight,DarkBlue,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,7,Chromatic,Rabbit,1,0,3,0,1,3,LowerRight,LightTurquiose,LightPurple,DarkGreen,DarkRed,LightPurple,UpperRight,LightTurquiose,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,8,Chromatic,Rabbit,1,0,3,0,1,3,LowerLeft,DarkGray,DarkBlue,LightPurple,DarkGreen,LightPurple,UpperRight,DarkGray,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,9,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,LightPurple,LightYellow,DarkGreen,LightTurquiose,DarkGreen,UpperRight,LightPurple,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,10,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,UpArrow,Nail,Diamond,Bar,UpperRight,Bar,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,11,Chromatic,Hat,1,0,3,0,1,3,LowerLeft,LightPurple,DarkGreen,DarkGray,LightTurquiose,DarkGray,UpperRight,LightPurple,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,12,Chromatic,Bar,1,0,3,0,1,3,UpperLeft,LightYellow,LightPurple,LightTurquiose,DarkGreen,DarkGreen,UpperRight,LightYellow,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,13,Colors,LightPurple,1,0,3,0,1,3,UpperLeft,Diamond,Bar,Hat,Rabbit,Rabbit,UpperRight,Diamond,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,14,Chromatic,Diamond,1,0,3,0,1,3,LowerLeft,DarkGreen,DarkBlue,LightYellow,DarkRed,LightYellow,UpperRight,DarkGreen,0,14.9204063636596,1
14,14,Jeeves,2023-08-15,15,Colors,DarkBlue,1,0,3,0,1,3,LowerLeft,Spade,Hat,Nail,Rabbit,Nail,UpperRight,Spade,0,14.9204063636596,1
