Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
5,4,Wooster,2023-01-30,1,Chromatic,Hat,1,0,3,0,1,UpperRight,DarkGray,LightGray,DarkTurquiose,DarkYellow,DarkGray,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,2,Colors,DarkYellow,1,0,3,0,1,UpperRight,Spike,Dodecagon,Hat,Venn,Spike,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,3,Chromatic,Spike,1,0,3,0,1,UpperRight,DarkYellow,DarkTurquiose,LightGray,DarkGray,DarkYellow,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,4,Colors,DarkTurquiose,1,0,3,0,1,LowerRight,Venn,Dodecagon,Hat,Spike,Dodecagon,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,5,Chromatic,Dodecagon,1,0,3,0,1,LowerLeft,DarkGray,LightGray,DarkTurquiose,DarkYellow,DarkTurquiose,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,6,Colors,DarkTurquiose,1,0,3,0,1,UpperRight,Dodecagon,Hat,Venn,Spike,Dodecagon,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,7,Colors,DarkGray,1,0,3,0,1,LowerLeft,Spike,Dodecagon,Hat,Venn,Hat,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,8,Colors,LightGray,1,0,3,0,1,LowerRight,Spike,Venn,Dodecagon,Hat,Venn,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,9,Chromatic,Spike,1,0,3,0,1,LowerRight,LightGray,DarkYellow,DarkTurquiose,DarkGray,DarkYellow,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,10,Chromatic,Spike,1,0,3,0,1,UpperLeft,DarkGray,LightGray,DarkTurquiose,DarkYellow,DarkYellow,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,11,Colors,LightGray,1,0,3,0,1,LowerRight,Spike,Venn,Hat,Dodecagon,Venn,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,12,Colors,DarkTurquiose,1,0,3,0,1,LowerLeft,Hat,Venn,Dodecagon,Spike,Dodecagon,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,13,Chromatic,Spike,1,0,3,0,1,UpperRight,DarkYellow,DarkGray,LightGray,DarkTurquiose,DarkYellow,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,14,Colors,DarkGray,1,0,3,0,1,LowerLeft,Venn,Dodecagon,Hat,Spike,Hat,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,15,Colors,DarkGray,1,0,3,0,1,LowerRight,Spike,Hat,Dodecagon,Venn,Hat,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,16,Chromatic,Spike,1,0,3,0,1,LowerRight,LightGray,DarkYellow,DarkGray,DarkTurquiose,DarkYellow,None,None,1,0.21257127717984,1
5,4,Wooster,2023-01-30,17,Chromatic,Dodecagon,1,0,3,0,1,UpperRight,DarkTurquiose,LightGray,DarkGray,DarkYellow,DarkTurquiose,None,None,1,0.21257127717984,1
